Time,Value
2021-07-01 00:00:00,412.051
2021-07-01 01:00:00,413.105
2021-07-01 02:00:00,413.233
2021-07-01 03:00:00,413.809
2021-07-01 04:00:00,414.305
2021-07-01 05:00:00,414.483
2021-07-01 06:00:00,414.654
2021-07-01 07:00:00,415.875
2021-07-01 08:00:00,414.536
2021-07-01 09:00:00,413.874
2021-07-01 10:00:00,417.241
2021-07-01 11:00:00,417.879
2021-07-01 12:00:00,417.003
2021-07-01 13:00:00,415.502
2021-07-01 14:00:00,415.551
2021-07-01 15:00:00,415.054
2021-07-01 16:00:00,415.801
2021-07-01 17:00:00,416.237
2021-07-01 18:00:00,416.335
2021-07-01 19:00:00,416.091
2021-07-01 20:00:00,414.551
2021-07-01 21:00:00,415.713
2021-07-01 22:00:00,415.937
2021-07-02 00:00:00,413.849
2021-07-02 01:00:00,412.334
2021-07-02 02:00:00,412.919
2021-07-02 03:00:00,414.206
2021-07-02 04:00:00,414.287
2021-07-02 05:00:00,414.648
2021-07-02 06:00:00,415.053
2021-07-02 07:00:00,414.976
2021-07-02 08:00:00,414.764
2021-07-02 09:00:00,414.712
2021-07-02 10:00:00,414.899
2021-07-02 11:00:00,415.006
2021-07-06 11:00:00,411.752
2021-07-06 12:00:00,411.814
2021-07-06 13:00:00,411.773
2021-07-06 14:00:00,411.723
2021-07-06 15:00:00,411.659
2021-07-06 16:00:00,411.679
2021-07-06 17:00:00,411.677
2021-07-06 18:00:00,411.679
2021-07-06 19:00:00,411.876
2021-07-06 20:00:00,411.948
2021-07-06 21:00:00,411.641
2021-07-06 22:00:00,411.696
2021-07-07 00:00:00,411.907
2021-07-07 01:00:00,411.744
2021-07-07 02:00:00,411.911
2021-07-07 03:00:00,412.303
2021-07-07 04:00:00,422.049
2021-07-07 05:00:00,412.322
2021-07-07 06:00:00,413.085
2021-07-07 07:00:00,414.026
2021-07-07 08:00:00,415.827
2021-07-07 09:00:00,416.233
2021-07-07 10:00:00,422.6
2021-07-07 11:00:00,418.565
2021-07-07 12:00:00,412.733
2021-07-07 13:00:00,414.636
2021-07-07 14:00:00,413.406
2021-07-07 15:00:00,413.788
2021-07-07 16:00:00,412.109
2021-07-07 17:00:00,411.914
2021-07-07 18:00:00,412.586
2021-07-07 19:00:00,413.402
2021-07-07 20:00:00,413.403
2021-07-07 21:00:00,413.484
2021-07-07 22:00:00,413.788
2021-07-08 00:00:00,412.614
2021-07-08 01:00:00,414.604
2021-07-08 02:00:00,416.48
2021-07-08 03:00:00,416.616
2021-07-08 04:00:00,416.994
2021-07-08 05:00:00,417.055
2021-07-08 06:00:00,419.302
2021-07-08 07:00:00,417.882
2021-07-08 08:00:00,419.823
2021-07-08 09:00:00,417.606
2021-07-08 10:00:00,416.931
2021-07-08 11:00:00,411.276
2021-07-08 12:00:00,411.273
2021-07-08 13:00:00,411.639
2021-07-08 14:00:00,411.777
2021-07-08 15:00:00,414.515
2021-07-08 16:00:00,414.567
2021-07-08 17:00:00,415.025
2021-07-08 18:00:00,412.151
2021-07-08 19:00:00,412.049
2021-07-08 20:00:00,412.348
2021-07-08 21:00:00,413.237
2021-07-08 22:00:00,413.121
2021-07-09 00:00:00,417.203
2021-07-09 01:00:00,414.945
2021-07-09 02:00:00,413.806
2021-07-09 03:00:00,415.137
2021-07-09 04:00:00,414.855
2021-07-09 05:00:00,414.098
2021-07-09 06:00:00,413.206
2021-07-09 07:00:00,412.599
2021-07-09 08:00:00,412.683
2021-07-09 09:00:00,413.313
2021-07-09 10:00:00,412.956
2021-07-09 11:00:00,412.393
2021-07-09 12:00:00,412.452
2021-07-09 13:00:00,412.769
2021-07-09 14:00:00,412.253
2021-07-09 15:00:00,412.478
2021-07-09 16:00:00,412.572
2021-07-09 17:00:00,413.165
2021-07-09 18:00:00,413.137
2021-07-09 19:00:00,412.892
2021-07-09 20:00:00,411.982
2021-07-09 21:00:00,411.964
2021-07-09 22:00:00,411.372
2021-07-10 00:00:00,410.939
