Time,Value
2021-07-01 00:00:00,411.897
2021-07-01 01:00:00,412.617
2021-07-01 02:00:00,413.007
2021-07-01 03:00:00,413.496
2021-07-01 04:00:00,414.126
2021-07-01 05:00:00,414.326
2021-07-01 06:00:00,414.594
2021-07-01 07:00:00,415.344
2021-07-01 08:00:00,411.938
2021-07-01 09:00:00,412.991
2021-07-01 10:00:00,416.481
2021-07-01 11:00:00,417.503
2021-07-01 12:00:00,416.36
2021-07-01 13:00:00,415.093
2021-07-01 14:00:00,415.29
2021-07-01 15:00:00,414.665
2021-07-01 16:00:00,415.684
2021-07-01 17:00:00,415.954
2021-07-01 18:00:00,416.223
2021-07-01 19:00:00,415.525
2021-07-01 20:00:00,414.359
2021-07-01 21:00:00,414.53
2021-07-01 22:00:00,414.15
2021-07-02 00:00:00,412.894
2021-07-02 01:00:00,412.175
2021-07-02 02:00:00,412.609
2021-07-02 03:00:00,413.684
2021-07-02 04:00:00,413.762
2021-07-02 05:00:00,414.386
2021-07-02 06:00:00,414.649
2021-07-02 07:00:00,414.662
2021-07-02 08:00:00,414.464
2021-07-02 09:00:00,414.21
2021-07-02 10:00:00,414.498
2021-07-02 11:00:00,414.484
2021-07-06 11:00:00,411.692
2021-07-06 12:00:00,411.768
2021-07-06 13:00:00,411.695
2021-07-06 14:00:00,411.653
2021-07-06 15:00:00,411.605
2021-07-06 16:00:00,411.587
2021-07-06 17:00:00,411.629
2021-07-06 18:00:00,411.62
2021-07-06 19:00:00,411.606
2021-07-06 20:00:00,411.699
2021-07-06 21:00:00,411.543
2021-07-06 22:00:00,411.573
2021-07-07 00:00:00,411.733
2021-07-07 01:00:00,411.689
2021-07-07 02:00:00,411.715
2021-07-07 03:00:00,411.776
2021-07-07 04:00:00,412.156
2021-07-07 05:00:00,412.076
2021-07-07 06:00:00,412.27
2021-07-07 07:00:00,413.367
2021-07-07 08:00:00,414.031
2021-07-07 09:00:00,414.423
2021-07-07 10:00:00,418.264
2021-07-07 11:00:00,413.321
2021-07-07 12:00:00,412.262
2021-07-07 13:00:00,413.385
2021-07-07 14:00:00,412.638
2021-07-07 15:00:00,412.859
2021-07-07 16:00:00,411.95
2021-07-07 17:00:00,411.72
2021-07-07 18:00:00,412.165
2021-07-07 19:00:00,412.825
2021-07-07 20:00:00,412.858
2021-07-07 21:00:00,412.705
2021-07-07 22:00:00,413.278
2021-07-08 00:00:00,412.431
2021-07-08 01:00:00,413.363
2021-07-08 02:00:00,414.595
2021-07-08 03:00:00,415.596
2021-07-08 04:00:00,415.321
2021-07-08 05:00:00,414.462
2021-07-08 06:00:00,417.574
2021-07-08 07:00:00,416.593
2021-07-08 08:00:00,419.115
2021-07-08 09:00:00,416.975
2021-07-08 10:00:00,415.735
2021-07-08 11:00:00,410.809
2021-07-08 12:00:00,410.657
2021-07-08 13:00:00,410.987
2021-07-08 14:00:00,411.427
2021-07-08 15:00:00,414.131
2021-07-08 16:00:00,414.297
2021-07-08 17:00:00,414.304
2021-07-08 18:00:00,412.034
2021-07-08 19:00:00,411.94
2021-07-08 20:00:00,412.055
2021-07-08 21:00:00,412.489
2021-07-08 22:00:00,412.421
2021-07-09 00:00:00,415.677
2021-07-09 01:00:00,413.902
2021-07-09 02:00:00,413.583
2021-07-09 03:00:00,414.772
2021-07-09 04:00:00,414.266
2021-07-09 05:00:00,413.681
2021-07-09 06:00:00,412.939
2021-07-09 07:00:00,412.438
2021-07-09 08:00:00,412.478
2021-07-09 09:00:00,412.953
2021-07-09 10:00:00,412.457
2021-07-09 11:00:00,411.775
2021-07-09 12:00:00,412.139
2021-07-09 13:00:00,412.379
2021-07-09 14:00:00,411.905
2021-07-09 15:00:00,412.174
2021-07-09 16:00:00,412.432
2021-07-09 17:00:00,412.898
2021-07-09 18:00:00,413.031
2021-07-09 19:00:00,412.585
2021-07-09 20:00:00,411.903
2021-07-09 21:00:00,411.878
2021-07-09 22:00:00,411.053
2021-07-10 00:00:00,410.813
