Time,Value
2021-07-01 00:17:00,411.955
2021-07-01 00:18:00,412.029
2021-07-01 00:19:00,412.051
2021-07-01 00:20:00,412.023
2021-07-01 00:21:00,411.997
2021-07-01 00:22:00,411.969
2021-07-01 00:23:00,411.938
2021-07-01 00:24:00,411.914
2021-07-01 00:25:00,411.975
2021-07-01 00:26:00,411.986
2021-07-01 00:27:00,412.021
2021-07-01 00:28:00,412.003
2021-07-01 00:29:00,411.972
2021-07-01 00:30:00,411.951
2021-07-01 00:31:00,411.927
2021-07-01 00:32:00,411.925
2021-07-01 00:33:00,411.934
2021-07-01 00:34:00,411.939
2021-07-01 00:35:00,411.935
2021-07-01 00:36:00,411.944
2021-07-01 00:37:00,411.878
2021-07-01 00:38:00,411.864
2021-07-01 00:39:00,411.874
2021-07-01 00:40:00,411.912
2021-07-01 00:41:00,411.919
2021-07-01 00:42:00,411.883
2021-07-01 00:43:00,411.878
2021-07-01 00:44:00,411.834
2021-07-01 00:45:00,411.799
2021-07-01 00:46:00,411.799
2021-07-01 00:47:00,411.799
2021-07-01 00:48:00,411.82
2021-07-01 00:49:00,411.816
2021-07-01 00:50:00,411.81
2021-07-01 00:51:00,411.79
2021-07-01 00:52:00,411.768
2021-07-01 00:53:00,411.746
2021-07-01 00:54:00,411.791
2021-07-01 00:55:00,411.788
2021-07-01 00:56:00,411.817
2021-07-01 00:57:00,411.863
2021-07-01 00:58:00,411.876
2021-07-01 00:59:00,411.872
2021-07-01 01:17:00,412.102
2021-07-01 01:18:00,412.132
2021-07-01 01:19:00,412.195
2021-07-01 01:20:00,412.208
2021-07-01 01:21:00,412.176
2021-07-01 01:22:00,412.163
2021-07-01 01:23:00,412.147
2021-07-01 01:24:00,412.176
2021-07-01 01:25:00,412.26
2021-07-01 01:26:00,412.295
2021-07-01 01:27:00,412.383
2021-07-01 01:28:00,412.378
2021-07-01 01:29:00,412.397
2021-07-01 01:30:00,412.393
2021-07-01 01:31:00,412.436
2021-07-01 01:32:00,412.488
2021-07-01 01:33:00,412.523
2021-07-01 01:34:00,412.551
2021-07-01 01:35:00,412.556
2021-07-01 01:36:00,412.555
2021-07-01 01:37:00,412.555
2021-07-01 01:38:00,412.593
2021-07-01 01:39:00,412.631
2021-07-01 01:40:00,412.703
2021-07-01 01:41:00,412.771
2021-07-01 01:42:00,412.778
