Time,Value
2021-07-01 00:00:00,410.769
2021-07-01 00:01:00,410.749
2021-07-01 00:02:00,410.775
2021-07-01 00:03:00,410.814
2021-07-01 00:04:00,410.731
2021-07-01 00:05:00,410.766
2021-07-01 00:06:00,410.818
2021-07-01 00:07:00,410.765
2021-07-01 00:08:00,410.727
2021-07-01 00:09:00,410.816
2021-07-01 00:10:00,410.782
2021-07-01 00:11:00,410.826
2021-07-01 00:12:00,410.781
2021-07-01 00:13:00,410.8
2021-07-01 00:14:00,410.796
2021-07-01 00:15:00,410.818
2021-07-01 00:16:00,410.82
2021-07-01 00:17:00,410.789
2021-07-01 00:18:00,410.796
2021-07-01 00:19:00,410.842
2021-07-01 00:20:00,410.762
2021-07-01 00:21:00,410.737
2021-07-01 00:22:00,410.767
2021-07-01 00:23:00,410.78
2021-07-01 00:24:00,410.757
2021-07-01 00:25:00,410.805
2021-07-01 00:26:00,410.793
2021-07-01 00:27:00,410.813
2021-07-01 00:28:00,410.754
2021-07-01 00:29:00,410.739
2021-07-01 00:30:00,410.727
2021-07-01 00:31:00,410.711
2021-07-01 00:32:00,410.7
2021-07-01 00:33:00,410.747
2021-07-01 00:34:00,410.69
2021-07-01 00:35:00,410.714
2021-07-01 00:36:00,410.685
2021-07-01 00:37:00,410.728
2021-07-01 00:38:00,410.7
2021-07-01 00:39:00,410.649
2021-07-01 00:40:00,410.651
2021-07-01 00:41:00,410.651
2021-07-01 00:42:00,410.637
2021-07-01 00:43:00,410.641
2021-07-01 00:44:00,410.613
2021-07-01 00:45:00,410.608
2021-07-01 00:46:00,410.586
2021-07-01 00:47:00,410.596
2021-07-01 00:48:00,410.579
2021-07-01 00:49:00,410.578
2021-07-01 00:50:00,410.583
2021-07-01 00:51:00,410.63
2021-07-01 00:52:00,410.625
2021-07-01 00:53:00,410.611
2021-07-01 00:54:00,410.625
2021-07-01 00:55:00,410.641
2021-07-01 00:56:00,410.674
2021-07-01 00:57:00,410.745
2021-07-01 00:58:00,410.73
2021-07-01 00:59:00,410.774
2021-07-01 01:00:00,410.765
2021-07-01 01:01:00,410.773
2021-07-01 01:02:00,410.848
2021-07-01 01:03:00,410.849
2021-07-01 01:04:00,410.862
2021-07-01 01:05:00,410.9
2021-07-01 01:06:00,410.931
2021-07-01 01:07:00,410.938
2021-07-01 01:08:00,410.96
2021-07-01 01:09:00,410.964
2021-07-01 01:10:00,410.95
2021-07-01 01:11:00,410.972
2021-07-01 01:12:00,410.998
2021-07-01 01:13:00,410.928
2021-07-01 01:14:00,410.95
2021-07-01 01:15:00,410.937
2021-07-01 01:16:00,410.939
2021-07-01 01:17:00,410.968
2021-07-01 01:18:00,410.92
2021-07-01 01:19:00,410.941
2021-07-01 01:20:00,410.942
2021-07-01 01:21:00,410.97
2021-07-01 01:22:00,410.987
2021-07-01 01:23:00,411.045
2021-07-01 01:24:00,411.129
2021-07-01 01:25:00,411.16
2021-07-01 01:26:00,411.183
2021-07-01 01:27:00,411.225
2021-07-01 01:28:00,411.229
2021-07-01 01:29:00,411.271
2021-07-01 01:30:00,411.264
2021-07-01 01:31:00,411.295
2021-07-01 01:32:00,411.297
2021-07-01 01:33:00,411.328
2021-07-01 01:34:00,411.384
2021-07-01 01:35:00,411.385
2021-07-01 01:36:00,411.41
2021-07-01 01:37:00,411.486
2021-07-01 01:38:00,411.505
2021-07-01 01:39:00,411.546
2021-07-01 01:40:00,411.554
2021-07-01 01:41:00,411.588
