Time,Value
2021-07-01 00:00:00,10.597
2021-07-01 00:01:00,10.639
2021-07-01 00:02:00,10.684
2021-07-01 00:03:00,10.596
2021-07-01 00:04:00,10.674
2021-07-01 00:05:00,10.625
2021-07-01 00:06:00,10.566
2021-07-01 00:07:00,10.579
2021-07-01 00:08:00,10.62
2021-07-01 00:09:00,10.65
2021-07-01 00:10:00,10.661
2021-07-01 00:11:00,10.654
2021-07-01 00:12:00,10.67
2021-07-01 00:13:00,10.676
2021-07-01 00:14:00,10.668
2021-07-01 00:15:00,10.622
2021-07-01 00:16:00,10.655
2021-07-01 00:17:00,10.637
2021-07-01 00:18:00,10.665
2021-07-01 00:19:00,10.738
2021-07-01 00:20:00,10.767
2021-07-01 00:21:00,10.743
2021-07-01 00:22:00,10.771
2021-07-01 00:23:00,10.786
2021-07-01 00:24:00,10.75
2021-07-01 00:25:00,10.811
2021-07-01 00:26:00,10.756
2021-07-01 00:27:00,10.813
2021-07-01 00:28:00,10.848
2021-07-01 00:29:00,10.814
2021-07-01 00:30:00,10.819
2021-07-01 00:31:00,10.826
2021-07-01 00:32:00,10.798
2021-07-01 00:33:00,10.774
2021-07-01 00:34:00,10.77
2021-07-01 00:35:00,10.806
2021-07-01 00:36:00,10.775
2021-07-01 00:37:00,10.783
2021-07-01 00:38:00,10.892
2021-07-01 00:39:00,10.882
2021-07-01 00:40:00,10.997
2021-07-01 00:41:00,11.027
2021-07-01 00:42:00,11.162
2021-07-01 00:43:00,11.104
2021-07-01 00:44:00,11.215
2021-07-01 00:45:00,11.178
2021-07-01 00:46:00,11.273
2021-07-01 00:47:00,11.265
2021-07-01 00:48:00,11.313
2021-07-01 00:49:00,11.378
2021-07-01 00:50:00,11.383
2021-07-01 00:51:00,11.397
2021-07-01 00:52:00,11.36
2021-07-01 00:53:00,11.33
2021-07-01 00:54:00,11.376
2021-07-01 00:55:00,11.388
2021-07-01 00:56:00,11.383
2021-07-01 00:57:00,11.396
2021-07-01 00:58:00,11.351
2021-07-01 00:59:00,11.319
2021-07-01 01:00:00,11.307
2021-07-01 01:01:00,11.304
2021-07-01 01:02:00,11.263
2021-07-01 01:03:00,11.2
2021-07-01 01:04:00,11.186
2021-07-01 01:05:00,11.15
2021-07-01 01:06:00,11.143
2021-07-01 01:07:00,11.122
2021-07-01 01:08:00,11.072
2021-07-01 01:09:00,11.092
2021-07-01 01:10:00,11.029
2021-07-01 01:11:00,10.988
2021-07-01 01:12:00,11.019
2021-07-01 01:13:00,11.038
2021-07-01 01:14:00,11.033
2021-07-01 01:15:00,11.06
2021-07-01 01:16:00,11.099
2021-07-01 01:17:00,11.102
2021-07-01 01:18:00,11.14
2021-07-01 01:19:00,11.152
2021-07-01 01:20:00,11.201
2021-07-01 01:21:00,11.22
2021-07-01 01:22:00,11.195
2021-07-01 01:23:00,11.237
2021-07-01 01:24:00,11.219
2021-07-01 01:25:00,11.24
2021-07-01 01:26:00,11.264
2021-07-01 01:27:00,11.322
2021-07-01 01:28:00,11.351
2021-07-01 01:29:00,11.302
2021-07-01 01:30:00,11.345
2021-07-01 01:31:00,11.293
2021-07-01 01:32:00,11.34
2021-07-01 01:33:00,11.348
2021-07-01 01:34:00,11.401
2021-07-01 01:35:00,11.452
2021-07-01 01:36:00,11.381
2021-07-01 01:37:00,11.409
2021-07-01 01:38:00,11.402
2021-07-01 01:39:00,11.431
2021-07-01 01:40:00,11.465
2021-07-01 01:41:00,11.461
2021-07-01 01:42:00,11.452
2021-07-01 01:43:00,11.454
2021-07-01 01:44:00,11.424
2021-07-01 01:45:00,11.4
2021-07-01 01:46:00,11.438
2021-07-01 01:47:00,11.402
2021-07-01 01:48:00,11.43
2021-07-01 01:49:00,11.416
2021-07-01 01:50:00,11.396
2021-07-01 01:51:00,11.398
2021-07-01 01:52:00,11.375
2021-07-01 01:53:00,11.429
2021-07-01 01:54:00,11.412
2021-07-01 01:55:00,11.401
2021-07-01 01:56:00,11.38
2021-07-01 01:57:00,11.341
2021-07-01 01:58:00,11.376
2021-07-01 01:59:00,11.377
2021-07-01 02:00:00,11.368
2021-07-01 02:01:00,11.386
2021-07-01 02:02:00,11.358
2021-07-01 02:03:00,11.351
2021-07-01 02:04:00,11.336
2021-07-01 02:05:00,11.287
2021-07-01 02:06:00,11.279
2021-07-01 02:07:00,11.264
2021-07-01 02:08:00,11.208
2021-07-01 02:09:00,11.25
2021-07-01 02:10:00,11.247
2021-07-01 02:11:00,11.244
2021-07-01 02:12:00,11.281
2021-07-01 02:13:00,11.253
2021-07-01 02:14:00,11.238
2021-07-01 02:15:00,11.221
2021-07-01 02:16:00,11.141
2021-07-01 02:17:00,11.122
2021-07-01 02:18:00,11.125
2021-07-01 02:19:00,11.105
2021-07-01 02:20:00,11.084
2021-07-01 02:21:00,11.048
2021-07-01 02:22:00,11.063
2021-07-01 02:23:00,11.031
2021-07-01 02:24:00,11.052
2021-07-01 02:25:00,11.064
2021-07-01 02:26:00,11.07
2021-07-01 02:27:00,11.038
2021-07-01 02:28:00,11.004
2021-07-01 02:29:00,10.981
2021-07-01 02:30:00,11.044
2021-07-01 02:31:00,11.061
2021-07-01 02:32:00,11.043
2021-07-01 02:33:00,11.03
2021-07-01 02:34:00,11.092
2021-07-01 02:35:00,11.069
2021-07-01 02:36:00,11.052
2021-07-01 02:37:00,11.013
2021-07-01 02:38:00,11.036
2021-07-01 02:39:00,11.071
2021-07-01 02:40:00,11.079
2021-07-01 02:41:00,11.077
2021-07-01 02:42:00,11.076
2021-07-01 02:43:00,11.084
2021-07-01 02:44:00,11.094
2021-07-01 02:45:00,11.063
2021-07-01 02:46:00,11.045
2021-07-01 02:47:00,11.063
2021-07-01 02:48:00,11.04
2021-07-01 02:49:00,11.044
2021-07-01 02:50:00,11.011
2021-07-01 02:51:00,10.978
2021-07-01 02:52:00,11.039
2021-07-01 02:53:00,11.002
2021-07-01 02:54:00,11.006
2021-07-01 02:55:00,11.016
2021-07-01 02:56:00,11.014
2021-07-01 02:57:00,11.056
2021-07-01 02:58:00,11.034
2021-07-01 02:59:00,11.077
2021-07-01 03:00:00,11.065
2021-07-01 03:01:00,11.081
2021-07-01 03:02:00,11.108
2021-07-01 03:03:00,11.119
2021-07-01 03:04:00,11.133
2021-07-01 03:05:00,11.114
2021-07-01 03:06:00,11.093
2021-07-01 03:07:00,11.065
2021-07-01 03:08:00,11.023
2021-07-01 03:09:00,11.062
2021-07-01 03:10:00,11.056
2021-07-01 03:11:00,11.021
2021-07-01 03:12:00,11.015
2021-07-01 03:13:00,10.949
2021-07-01 03:14:00,10.92
2021-07-01 03:15:00,10.904
2021-07-01 03:16:00,10.912
2021-07-01 03:17:00,10.905
2021-07-01 03:18:00,10.863
2021-07-01 03:19:00,10.885
2021-07-01 03:20:00,10.922
2021-07-01 03:21:00,10.908
2021-07-01 03:22:00,10.91
2021-07-01 03:23:00,10.926
2021-07-01 03:24:00,10.895
2021-07-01 03:25:00,10.923
2021-07-01 03:26:00,10.935
2021-07-01 03:27:00,10.964
2021-07-01 03:28:00,10.954
2021-07-01 03:29:00,10.961
2021-07-01 03:30:00,10.969
2021-07-01 03:31:00,10.928
2021-07-01 03:32:00,10.976
2021-07-01 03:33:00,10.938
2021-07-01 03:34:00,10.92
2021-07-01 03:35:00,10.924
2021-07-01 03:36:00,10.962
2021-07-01 03:37:00,10.88
2021-07-01 03:38:00,10.921
2021-07-01 03:39:00,10.897
2021-07-01 03:40:00,12.108
2021-07-01 03:51:00,10.686
2021-07-01 03:52:00,10.719
2021-07-01 03:53:00,10.779
2021-07-01 03:54:00,10.803
2021-07-01 03:55:00,10.805
2021-07-01 03:56:00,10.806
2021-07-01 03:57:00,10.857
2021-07-01 03:58:00,10.888
2021-07-01 03:59:00,10.844
2021-07-01 04:00:00,10.894
2021-07-01 04:01:00,10.878
2021-07-01 04:02:00,10.931
2021-07-01 04:03:00,10.918
2021-07-01 04:04:00,10.972
2021-07-01 04:05:00,11.008
2021-07-01 04:06:00,11.058
2021-07-01 04:07:00,11.047
2021-07-01 04:08:00,11.094
2021-07-01 04:09:00,11.068
2021-07-01 04:10:00,11.132
2021-07-01 04:11:00,11.106
2021-07-01 04:12:00,11.155
2021-07-01 04:13:00,11.161
2021-07-01 04:14:00,11.144
2021-07-01 04:15:00,11.171
2021-07-01 04:16:00,11.154
2021-07-01 04:17:00,11.22
2021-07-01 04:18:00,11.16
2021-07-01 04:19:00,11.217
2021-07-01 04:20:00,11.157
2021-07-01 04:21:00,11.164
2021-07-01 04:22:00,11.099
2021-07-01 04:23:00,11.099
2021-07-01 04:24:00,11.104
2021-07-01 04:25:00,11.056
2021-07-01 04:26:00,10.984
2021-07-01 04:27:00,10.959
2021-07-01 04:28:00,10.889
2021-07-01 04:29:00,10.902
2021-07-01 04:30:00,10.8
2021-07-01 04:31:00,10.798
2021-07-01 04:32:00,10.738
2021-07-01 04:33:00,10.773
2021-07-01 04:34:00,10.851
2021-07-01 04:35:00,10.854
2021-07-01 04:36:00,10.848
2021-07-01 04:37:00,10.864
2021-07-01 04:38:00,10.863
2021-07-01 04:39:00,10.837
2021-07-01 04:40:00,10.894
2021-07-01 04:41:00,10.839
2021-07-01 04:42:00,10.863
2021-07-01 04:43:00,10.794
2021-07-01 04:44:00,10.829
2021-07-01 04:45:00,10.764
2021-07-01 04:46:00,10.761
