Time,Value
2021-07-01 00:00:00,10.5762
2021-07-01 01:00:00,10.7872
2021-07-01 02:00:00,10.6821
2021-07-01 03:00:00,10.2796
2021-07-01 04:00:00,10.7765
2021-07-01 05:00:00,10.7767
2021-07-01 06:00:00,10.3864
2021-07-01 07:00:00,10.2794
2021-07-01 08:00:00,11.1471
2021-07-01 09:00:00,12.1569
2021-07-01 10:00:00,12.4796
2021-07-01 11:00:00,12.5338
2021-07-01 12:00:00,12.3449
2021-07-01 13:00:00,11.6795
2021-07-01 14:00:00,11.3935
2021-07-01 15:00:00,10.5182
2021-07-01 16:00:00,10.5784
2021-07-01 17:00:00,10.5491
2021-07-01 18:00:00,10.3414
2021-07-01 19:00:00,10.2374
2021-07-01 20:00:00,9.72806
2021-07-01 21:00:00,10.0305
2021-07-01 22:00:00,11.2293
2021-07-01 23:00:00,10.9247
2021-07-02 00:00:00,11.5223
2021-07-02 01:00:00,10.9442
2021-07-02 02:00:00,10.7697
2021-07-02 03:00:00,11.0706
2021-07-02 04:00:00,10.967
2021-07-02 05:00:00,10.7599
2021-07-02 06:00:00,10.6667
2021-07-02 07:00:00,10.8638
2021-07-02 08:00:00,10.8639
2021-07-02 09:00:00,10.5841
2021-07-02 10:00:00,10.4455
2021-07-02 11:00:00,9.70573
2021-07-02 12:00:00,9.58691
2021-07-02 13:00:00,10.3309
2021-07-02 14:00:00,10.5364
2021-07-02 15:00:00,10.4607
2021-07-02 16:00:00,9.51627
2021-07-02 17:00:00,8.7876
2021-07-02 18:00:00,8.68726
2021-07-02 19:00:00,8.68958
2021-07-02 20:00:00,8.58795
2021-07-02 21:00:00,8.99511
2021-07-02 22:00:00,8.3841
2021-07-02 23:00:00,8.28759
2021-07-03 00:00:00,6.94338
2021-07-03 01:00:00,6.48752
2021-07-03 02:00:00,6.18863
2021-07-03 03:00:00,6.1887
2021-07-03 04:00:00,5.99816
2021-07-03 05:00:00,5.99809
2021-07-03 06:00:00,5.77006
2021-07-03 07:00:00,5.68576
2021-07-03 08:00:00,6.29059
2021-07-03 09:00:00,7.49525
2021-07-03 10:00:00,6.23755
2021-07-03 11:00:00,6.51565
2021-07-03 12:00:00,7.0313
2021-07-03 13:00:00,5.75494
2021-07-03 14:00:00,5.87983
2021-07-03 15:00:00,5.49435
2021-07-03 16:00:00,4.57033
2021-07-03 17:00:00,4.76164
2021-07-03 18:00:00,4.85066
2021-07-03 19:00:00,5.85386
2021-07-03 20:00:00,5.95899
2021-07-03 21:00:00,4.93896
2021-07-03 22:00:00,5.45532
2021-07-03 23:00:00,5.24657
2021-07-04 00:00:00,5.37466
2021-07-04 01:00:00,4.88346
2021-07-04 02:00:00,5.93453
2021-07-04 03:00:00,6.10111
2021-07-04 04:00:00,6.01689
2021-07-04 05:00:00,5.93475
2021-07-04 06:00:00,6.05747
2021-07-04 07:00:00,6.4633
2021-07-04 08:00:00,6.86885
2021-07-04 09:00:00,6.86882
2021-07-04 10:00:00,6.24109
2021-07-04 11:00:00,6.4631
2021-07-04 12:00:00,6.97008
2021-07-04 13:00:00,7.32341
2021-07-04 14:00:00,6.99853
2021-07-04 15:00:00,5.32854
2021-07-04 16:00:00,6.00104
2021-07-04 17:00:00,6.80184
2021-07-04 18:00:00,8.36338
2021-07-04 19:00:00,8.26046
2021-07-04 20:00:00,8.04296
2021-07-04 21:00:00,6.82022
2021-07-04 22:00:00,6.22059
2021-07-04 23:00:00,6.90374
2021-07-05 00:00:00,7.80875
2021-07-05 01:00:00,7.81105
2021-07-05 02:00:00,8.24712
2021-07-05 03:00:00,8.14126
2021-07-05 04:00:00,8.13735
2021-07-05 05:00:00,6.91534
2021-07-05 06:00:00,6.33776
2021-07-05 07:00:00,4.62168
2021-07-05 08:00:00,3.8923
2021-07-05 09:00:00,4.16908
2021-07-05 10:00:00,6.25036
2021-07-05 11:00:00,8.9887
2021-07-05 12:00:00,7.61581
2021-07-05 13:00:00,5.37406
2021-07-05 14:00:00,4.75706
2021-07-05 15:00:00,4.63684
2021-07-05 16:00:00,6.24294
2021-07-05 17:00:00,7.32719
2021-07-05 18:00:00,6.51772
2021-07-05 19:00:00,7.0585
2021-07-05 20:00:00,6.95043
2021-07-05 21:00:00,6.47512
2021-07-05 22:00:00,5.39796
2021-07-05 23:00:00,5.85222
2021-07-06 00:00:00,5.48237
2021-07-06 01:00:00,5.85413
2021-07-06 02:00:00,7.93006
2021-07-06 03:00:00,7.61103
2021-07-06 04:00:00,7.70862
2021-07-06 05:00:00,7.82015
2021-07-06 06:00:00,7.81588
2021-07-06 07:00:00,7.92269
2021-07-06 08:00:00,8.02549
2021-07-06 09:00:00,8.67765
2021-07-06 10:00:00,8.05368
2021-07-06 11:00:00,8.77914
2021-07-06 12:00:00,8.88309
2021-07-06 13:00:00,9.62086
2021-07-06 14:00:00,10.132
2021-07-06 15:00:00,9.50772
2021-07-06 16:00:00,9.40144
2021-07-06 17:00:00,8.98765
2021-07-06 18:00:00,9.19347
2021-07-06 19:00:00,9.29588
2021-07-06 20:00:00,8.16222
2021-07-06 21:00:00,8.06607
2021-07-06 22:00:00,7.75808
2021-07-06 23:00:00,7.54234
2021-07-07 00:00:00,6.86958
2021-07-07 01:00:00,6.86958
2021-07-07 02:00:00,6.89433
2021-07-07 03:00:00,5.91111
2021-07-07 04:00:00,5.37718
2021-07-07 05:00:00,5.39971
2021-07-07 06:00:00,4.10692
2021-07-07 07:00:00,3.52125
2021-07-07 08:00:00,5.07016
2021-07-07 09:00:00,7.80234
2021-07-07 10:00:00,8.55958
2021-07-07 11:00:00,8.66737
2021-07-07 12:00:00,7.91369
2021-07-07 13:00:00,7.34751
2021-07-07 14:00:00,7.45952
2021-07-07 15:00:00,8.02421
2021-07-07 16:00:00,7.92458
2021-07-07 17:00:00,7.62738
2021-07-07 18:00:00,7.52283
2021-07-07 19:00:00,7.32365
2021-07-07 20:00:00,7.54161
2021-07-07 21:00:00,7.74821
2021-07-07 22:00:00,7.73933
2021-07-07 23:00:00,7.74816
2021-07-08 00:00:00,7.64487
2021-07-08 01:00:00,7.6551
2021-07-08 02:00:00,7.27117
2021-07-08 03:00:00,7.27127
2021-07-08 04:00:00,7.37266
2021-07-08 05:00:00,7.37266
2021-07-08 06:00:00,7.08408
2021-07-08 07:00:00,6.66294
2021-07-08 08:00:00,6.86563
2021-07-08 09:00:00,7.27111
2021-07-08 10:00:00,8.37904
2021-07-08 11:00:00,8.37904
2021-07-08 12:00:00,7.11217
2021-07-08 13:00:00,7.23385
2021-07-08 14:00:00,6.88186
2021-07-08 15:00:00,8.24676
2021-07-08 16:00:00,7.82656
2021-07-08 17:00:00,7.74186
2021-07-08 18:00:00,7.5339
2021-07-08 19:00:00,5.84628
2021-07-08 20:00:00,5.82659
2021-07-08 21:00:00,5.95157
2021-07-08 22:00:00,5.84683
2021-07-08 23:00:00,5.55364
2021-07-09 00:00:00,5.21549
2021-07-09 01:00:00,5.2661
2021-07-09 02:00:00,4.64252
2021-07-09 03:00:00,3.45755
2021-07-09 04:00:00,2.30824
2021-07-09 05:00:00,1.82671
2021-07-09 06:00:00,1.60899
2021-07-09 07:00:00,0.664527
2021-07-09 08:00:00,0.838353
2021-07-09 09:00:00,2.71484
2021-07-09 10:00:00,4.71902
2021-07-09 11:00:00,5.96208
2021-07-09 12:00:00,6.19078
2021-07-09 13:00:00,6.42614
2021-07-09 14:00:00,6.31493
2021-07-09 15:00:00,6.22739
2021-07-09 16:00:00,6.30196
2021-07-09 17:00:00,6.64968
2021-07-09 18:00:00,6.6618
2021-07-09 19:00:00,6.6744
2021-07-09 20:00:00,6.66084
2021-07-09 21:00:00,6.6602
2021-07-09 22:00:00,6.44738
2021-07-09 23:00:00,5.33822
2021-07-10 00:00:00,5.98733
