Time,Value
2021-07-01 00:00:00,10.0369
2021-07-01 01:00:00,10.5279
2021-07-01 02:00:00,10.3002
2021-07-01 03:00:00,10.111
2021-07-01 04:00:00,10.422
2021-07-01 05:00:00,10.4536
2021-07-01 06:00:00,10.2377
2021-07-01 07:00:00,9.93767
2021-07-01 08:00:00,10.6771
2021-07-01 09:00:00,11.3992
2021-07-01 10:00:00,11.5098
2021-07-01 11:00:00,11.7754
2021-07-01 12:00:00,11.2837
2021-07-01 13:00:00,10.9817
2021-07-01 14:00:00,10.718
2021-07-01 15:00:00,10.254
2021-07-01 16:00:00,10.3109
2021-07-01 17:00:00,10.3507
2021-07-01 18:00:00,10.0438
2021-07-01 19:00:00,9.93193
2021-07-01 20:00:00,9.35865
2021-07-01 21:00:00,9.73427
2021-07-01 22:00:00,10.0529
2021-07-01 23:00:00,9.91431
2021-07-02 00:00:00,10.9763
2021-07-02 01:00:00,10.6926
2021-07-02 02:00:00,10.5667
2021-07-02 03:00:00,10.9056
2021-07-02 04:00:00,10.3738
2021-07-02 05:00:00,10.4707
2021-07-02 06:00:00,10.2449
2021-07-02 07:00:00,10.5074
2021-07-02 08:00:00,10.3583
2021-07-02 09:00:00,9.88845
2021-07-02 10:00:00,9.83145
2021-07-02 11:00:00,9.29631
2021-07-02 12:00:00,9.16547
2021-07-02 13:00:00,9.49998
2021-07-02 14:00:00,10.0932
2021-07-02 15:00:00,9.35134
2021-07-02 16:00:00,9.16543
2021-07-02 17:00:00,8.58295
2021-07-02 18:00:00,8.46069
2021-07-02 19:00:00,8.49089
2021-07-02 20:00:00,8.40734
2021-07-02 21:00:00,8.41485
2021-07-02 22:00:00,7.97457
2021-07-02 23:00:00,7.88481
2021-07-03 00:00:00,6.43763
2021-07-03 01:00:00,6.14727
2021-07-03 02:00:00,5.7356
2021-07-03 03:00:00,5.75099
2021-07-03 04:00:00,5.42025
2021-07-03 05:00:00,5.76965
2021-07-03 06:00:00,5.50527
2021-07-03 07:00:00,5.03016
2021-07-03 08:00:00,5.99532
2021-07-03 09:00:00,6.54693
2021-07-03 10:00:00,5.3932
2021-07-03 11:00:00,5.67753
2021-07-03 12:00:00,5.9179
2021-07-03 13:00:00,5.20688
2021-07-03 14:00:00,5.39348
2021-07-03 15:00:00,4.80826
2021-07-03 16:00:00,4.21307
