Time,Value
2021-07-01 00:00:00,9.56858
2021-07-01 01:00:00,10.0749
2021-07-01 02:00:00,10.0752
2021-07-01 03:00:00,9.8698
2021-07-01 04:00:00,10.1732
2021-07-01 05:00:00,10.183
2021-07-01 06:00:00,10.0756
2021-07-01 07:00:00,9.45204
2021-07-01 08:00:00,9.86883
2021-07-01 09:00:00,10.9518
2021-07-01 10:00:00,10.9624
2021-07-01 11:00:00,10.9739
2021-07-01 12:00:00,10.8936
2021-07-01 13:00:00,10.4937
2021-07-01 14:00:00,10.1845
2021-07-01 15:00:00,9.97013
2021-07-01 16:00:00,9.9614
2021-07-01 17:00:00,10.1408
2021-07-01 18:00:00,9.82729
2021-07-01 19:00:00,9.42163
2021-07-01 20:00:00,9.10619
2021-07-01 21:00:00,9.30196
2021-07-01 22:00:00,8.14082
2021-07-01 23:00:00,7.92132
2021-07-02 00:00:00,10.4167
2021-07-02 01:00:00,10.4658
2021-07-02 02:00:00,10.371
2021-07-02 03:00:00,10.5714
2021-07-02 04:00:00,9.43976
2021-07-02 05:00:00,10.2771
2021-07-02 06:00:00,9.85287
2021-07-02 07:00:00,9.95903
2021-07-02 08:00:00,9.86125
2021-07-02 09:00:00,9.26319
2021-07-02 10:00:00,9.16126
2021-07-02 11:00:00,8.62732
2021-07-02 12:00:00,8.74152
2021-07-02 13:00:00,8.8987
2021-07-02 14:00:00,9.62012
2021-07-02 15:00:00,8.89654
2021-07-02 16:00:00,8.57889
2021-07-02 17:00:00,8.47461
2021-07-02 18:00:00,8.26611
2021-07-02 19:00:00,8.17502
2021-07-02 20:00:00,8.27744
2021-07-02 21:00:00,7.86743
2021-07-02 22:00:00,7.54252
2021-07-02 23:00:00,6.94338
2021-07-03 00:00:00,5.92823
2021-07-03 01:00:00,5.69758
2021-07-03 02:00:00,4.92101
2021-07-03 03:00:00,5.1585
2021-07-03 04:00:00,4.59409
2021-07-03 05:00:00,5.43519
2021-07-03 06:00:00,4.93302
2021-07-03 07:00:00,4.40894
2021-07-03 08:00:00,5.68576
2021-07-03 09:00:00,5.53063
2021-07-03 10:00:00,4.43218
2021-07-03 11:00:00,4.70207
2021-07-03 12:00:00,5.17233
2021-07-03 13:00:00,4.53933
2021-07-03 14:00:00,4.89886
2021-07-03 15:00:00,4.179
2021-07-03 16:00:00,3.76032
2021-07-03 17:00:00,3.52288
2021-07-03 18:00:00,3.87987
2021-07-03 19:00:00,4.29442
2021-07-03 20:00:00,3.95955
2021-07-03 21:00:00,4.01596
2021-07-03 22:00:00,4.39926
2021-07-03 23:00:00,3.92275
2021-07-04 00:00:00,4.12725
2021-07-04 01:00:00,3.88431
2021-07-04 02:00:00,4.33561
2021-07-04 03:00:00,5.0634
2021-07-04 04:00:00,5.08986
2021-07-04 05:00:00,5.16765
2021-07-04 06:00:00,4.78062
2021-07-04 07:00:00,5.42362
2021-07-04 08:00:00,6.24145
2021-07-04 09:00:00,5.5609
2021-07-04 10:00:00,5.76976
2021-07-04 11:00:00,5.81083
2021-07-04 12:00:00,6.3433
2021-07-04 13:00:00,6.49996
2021-07-04 14:00:00,4.25398
2021-07-04 15:00:00,4.03935
2021-07-04 16:00:00,4.03791
2021-07-04 17:00:00,5.50784
2021-07-04 18:00:00,6.1046
2021-07-04 19:00:00,5.86315
2021-07-04 20:00:00,5.75237
2021-07-04 21:00:00,5.00225
2021-07-04 22:00:00,5.00225
2021-07-04 23:00:00,5.47815
2021-07-05 00:00:00,6.07523
2021-07-05 01:00:00,6.32026
2021-07-05 02:00:00,6.58925
2021-07-05 03:00:00,6.57308
2021-07-05 04:00:00,5.84464
2021-07-05 05:00:00,5.23535
2021-07-05 06:00:00,4.10276
2021-07-05 07:00:00,2.24673
2021-07-05 08:00:00,2.2718
2021-07-05 09:00:00,2.1406
2021-07-05 10:00:00,2.11049
2021-07-05 11:00:00,4.9908
2021-07-05 12:00:00,4.76914
2021-07-05 13:00:00,3.8397
2021-07-05 14:00:00,3.44644
2021-07-05 15:00:00,2.66131
