Time,Value
2021-07-01 00:00:00,831.92
2021-07-01 00:01:00,813.16
2021-07-01 00:02:00,811.84
2021-07-01 00:03:00,810.98
2021-07-01 00:04:00,819.0
2021-07-01 00:05:00,814.01
2021-07-01 00:06:00,804.09
2021-07-01 00:07:00,811.94
2021-07-01 00:08:00,805.46
2021-07-01 00:09:00,821.04
2021-07-01 00:10:00,800.19
2021-07-01 00:11:00,796.34
2021-07-01 00:12:00,792.16
2021-07-01 00:13:00,810.43
2021-07-01 00:14:00,779.29
2021-07-01 00:15:00,784.34
2021-07-01 00:16:00,788.84
2021-07-01 00:17:00,786.97
2021-07-01 00:18:00,771.39
2021-07-01 00:19:00,789.17
2021-07-01 00:20:00,772.86
2021-07-01 00:21:00,782.3
2021-07-01 00:22:00,778.32
2021-07-01 00:23:00,777.3
2021-07-01 00:24:00,766.08
2021-07-01 00:25:00,788.73
2021-07-01 00:26:00,771.17
2021-07-01 00:27:00,762.2
2021-07-01 00:28:00,762.0
2021-07-01 00:29:00,775.21
2021-07-01 00:30:00,771.4
2021-07-01 00:31:00,775.94
2021-07-01 00:32:00,762.04
2021-07-01 00:33:00,764.18
2021-07-01 00:34:00,761.89
2021-07-01 00:35:00,759.18
2021-07-01 00:36:00,749.33
2021-07-01 00:37:00,752.72
2021-07-01 00:38:00,739.42
2021-07-01 00:39:00,753.29
2021-07-01 00:40:00,735.01
2021-07-01 00:41:00,734.33
2021-07-01 00:42:00,715.87
2021-07-01 00:43:00,726.74
2021-07-01 00:44:00,717.36
2021-07-01 00:45:00,715.35
2021-07-01 00:46:00,705.17
2021-07-01 00:47:00,700.2
2021-07-01 00:48:00,700.84
2021-07-01 00:49:00,690.63
2021-07-01 00:50:00,711.17
2021-07-01 00:51:00,696.97
2021-07-01 00:52:00,692.68
2021-07-01 00:53:00,688.15
2021-07-01 00:54:00,692.2
2021-07-01 00:55:00,690.82
2021-07-01 00:56:00,682.77
2021-07-01 00:57:00,694.98
2021-07-01 00:58:00,705.68
2021-07-01 00:59:00,941.38
2021-07-01 01:00:00,639.05
2021-07-01 01:01:00,426.11
2021-07-01 01:02:00,416.46
2021-07-01 01:03:00,409.06
2021-07-01 01:04:00,409.67
2021-07-01 01:05:00,414.79
2021-07-01 01:06:00,419.37
2021-07-01 01:07:00,414.71
2021-07-01 01:08:00,420.74
2021-07-01 01:09:00,431.68
2021-07-01 01:10:00,418.71
2021-07-01 01:11:00,423.04
2021-07-01 01:12:00,422.67
2021-07-01 01:13:00,418.19
2021-07-01 01:14:00,1292.04
2021-07-01 01:15:00,1500.92
2021-07-01 01:16:00,1241.95
2021-07-01 01:17:00,1130.77
2021-07-01 01:18:00,1076.99
2021-07-01 01:19:00,1052.59
2021-07-01 01:20:00,1056.29
2021-07-01 01:21:00,1057.91
2021-07-01 01:22:00,1052.5
2021-07-01 01:23:00,1044.59
2021-07-01 01:24:00,1059.34
2021-07-01 01:25:00,1066.18
2021-07-01 01:26:00,1067.51
2021-07-01 01:27:00,1071.22
2021-07-01 01:28:00,1085.83
2021-07-01 01:29:00,1553.71
2021-07-01 01:30:00,1578.95
2021-07-01 01:31:00,1485.36
2021-07-01 01:32:00,1431.86
2021-07-01 01:33:00,1432.8
2021-07-01 01:34:00,1421.55
2021-07-01 01:35:00,1429.69
2021-07-01 01:36:00,1447.38
2021-07-01 01:37:00,1450.31
2021-07-01 01:38:00,1449.89
2021-07-01 01:39:00,1474.15
2021-07-01 01:40:00,1488.39
2021-07-01 01:41:00,1489.17
2021-07-01 01:42:00,1511.39
2021-07-01 01:43:00,1502.65
2021-07-01 01:44:00,1806.97
2021-07-01 01:45:00,1937.79
2021-07-01 01:46:00,1266.23
2021-07-01 01:47:00,915.68
2021-07-01 01:48:00,821.54
2021-07-01 01:49:00,795.57
2021-07-01 01:50:00,812.74
2021-07-01 01:51:00,794.86
2021-07-01 01:52:00,811.72
2021-07-01 01:53:00,822.26
2021-07-01 01:54:00,810.37
2021-07-01 01:55:00,826.27
2021-07-01 01:56:00,809.11
2021-07-01 01:57:00,793.75
2021-07-01 01:58:00,834.09
2021-07-01 01:59:00,838.6
2021-07-01 02:00:00,810.49
2021-07-01 02:01:00,817.19
2021-07-01 02:02:00,824.02
2021-07-01 02:03:00,798.74
2021-07-01 02:04:00,805.07
2021-07-01 02:05:00,802.57
2021-07-01 02:06:00,783.82
2021-07-01 02:07:00,791.35
2021-07-01 02:08:00,794.17
2021-07-01 02:09:00,791.64
2021-07-01 02:10:00,787.01
2021-07-01 02:11:00,783.99
2021-07-01 02:12:00,794.79
2021-07-01 02:13:00,781.62
2021-07-01 02:14:00,783.02
2021-07-01 02:15:00,792.59
2021-07-01 02:16:00,782.62
2021-07-01 02:17:00,785.99
2021-07-01 02:18:00,788.04
2021-07-01 02:19:00,796.38
2021-07-01 02:20:00,791.49
2021-07-01 02:21:00,787.86
2021-07-01 02:22:00,787.6
2021-07-01 02:23:00,799.37
2021-07-01 02:24:00,810.63
2021-07-01 02:25:00,795.29
2021-07-01 02:26:00,818.71
2021-07-01 02:27:00,799.4
2021-07-01 02:28:00,798.69
2021-07-01 02:29:00,795.96
2021-07-01 02:30:00,798.75
2021-07-01 02:31:00,793.41
2021-07-01 02:32:00,804.56
2021-07-01 02:33:00,807.19
2021-07-01 02:34:00,813.2
2021-07-01 02:35:00,802.57
2021-07-01 02:36:00,810.98
2021-07-01 02:37:00,802.39
2021-07-01 02:38:00,829.12
2021-07-01 02:39:00,802.28
2021-07-01 02:40:00,818.67
2021-07-01 02:41:00,799.74
2021-07-01 02:42:00,790.62
2021-07-01 02:43:00,812.39
2021-07-01 02:44:00,792.34
2021-07-01 02:45:00,805.17
2021-07-01 02:46:00,805.95
2021-07-01 02:47:00,812.72
2021-07-01 02:48:00,813.6
2021-07-01 02:49:00,795.7
2021-07-01 02:50:00,797.7
2021-07-01 02:51:00,809.72
2021-07-01 02:52:00,820.39
2021-07-01 02:53:00,809.99
2021-07-01 02:54:00,811.34
2021-07-01 02:55:00,814.86
2021-07-01 02:56:00,819.43
2021-07-01 02:57:00,819.74
2021-07-01 02:58:00,807.77
2021-07-01 02:59:00,822.51
2021-07-01 03:00:00,814.83
2021-07-01 03:01:00,812.72
2021-07-01 03:02:00,816.04
2021-07-01 03:03:00,823.1
2021-07-01 03:04:00,835.92
2021-07-01 03:05:00,835.66
2021-07-01 03:06:00,834.37
2021-07-01 03:07:00,841.89
2021-07-01 03:08:00,846.62
2021-07-01 03:09:00,840.94
2021-07-01 03:10:00,844.45
2021-07-01 03:11:00,836.92
2021-07-01 03:12:00,855.83
2021-07-01 03:13:00,858.43
2021-07-01 03:14:00,841.92
2021-07-01 03:15:00,846.19
2021-07-01 03:16:00,850.99
2021-07-01 03:17:00,848.86
2021-07-01 03:18:00,849.14
2021-07-01 03:19:00,853.2
2021-07-01 03:20:00,849.24
2021-07-01 03:21:00,839.72
2021-07-01 03:22:00,845.81
2021-07-01 03:23:00,847.16
2021-07-01 03:24:00,845.61
2021-07-01 03:25:00,841.48
2021-07-01 03:26:00,845.69
2021-07-01 03:27:00,852.03
2021-07-01 03:28:00,850.99
2021-07-01 03:29:00,855.7
2021-07-01 03:30:00,840.25
2021-07-01 03:31:00,840.41
2021-07-01 03:32:00,851.24
2021-07-01 03:33:00,829.36
2021-07-01 03:34:00,839.57
2021-07-01 03:35:00,833.8
2021-07-01 03:36:00,822.53
2021-07-01 03:37:00,830.01
2021-07-01 03:38:00,840.5
2021-07-01 03:39:00,839.78
2021-07-01 03:40:00,822.01
2021-07-01 03:41:00,836.28
2021-07-01 03:42:00,833.56
2021-07-01 03:43:00,835.84
2021-07-01 03:44:00,817.97
2021-07-01 03:45:00,815.25
2021-07-01 03:46:00,829.58
2021-07-01 03:47:00,823.55
2021-07-01 03:48:00,826.51
2021-07-01 03:49:00,824.19
2021-07-01 03:50:00,822.93
2021-07-01 03:51:00,816.33
2021-07-01 03:52:00,825.03
2021-07-01 03:53:00,834.52
2021-07-01 03:54:00,828.6
2021-07-01 03:55:00,845.15
2021-07-01 03:56:00,825.19
2021-07-01 03:57:00,830.7
2021-07-01 03:58:00,828.33
2021-07-01 03:59:00,832.11
2021-07-01 04:00:00,842.71
2021-07-01 04:01:00,840.4
2021-07-01 04:02:00,832.77
2021-07-01 04:03:00,833.37
2021-07-01 04:04:00,829.01
2021-07-01 04:05:00,836.0
2021-07-01 04:06:00,835.87
2021-07-01 04:07:00,832.12
2021-07-01 04:08:00,829.57
2021-07-01 04:09:00,830.71
2021-07-01 04:10:00,819.83
2021-07-01 04:11:00,816.86
2021-07-01 04:12:00,812.26
2021-07-01 04:13:00,820.52
2021-07-01 04:14:00,817.88
2021-07-01 04:15:00,812.04
2021-07-01 04:16:00,810.95
2021-07-01 04:17:00,813.8
2021-07-01 04:18:00,815.43
2021-07-01 04:19:00,796.47
2021-07-01 04:20:00,795.01
2021-07-01 04:21:00,802.09
2021-07-01 04:22:00,802.33
2021-07-01 04:23:00,786.33
2021-07-01 04:24:00,776.65
2021-07-01 04:25:00,790.51
2021-07-01 04:26:00,779.95
2021-07-01 04:27:00,766.97
2021-07-01 04:28:00,773.49
2021-07-01 04:29:00,764.9
2021-07-01 04:30:00,773.67
2021-07-01 04:31:00,763.65
