Time,Value
2021-07-01 01:58:00,74.883
2021-07-01 02:38:00,74.654
2021-07-01 03:18:00,74.469
2021-07-01 04:38:00,74.841
2021-07-01 05:18:00,74.367
2021-07-01 05:58:00,74.407
2021-07-01 06:38:00,74.438
2021-07-01 07:18:00,74.355
2021-07-01 07:58:00,74.571
2021-07-01 08:38:00,74.5
2021-07-01 09:18:00,74.405
2021-07-01 09:58:00,74.357
2021-07-01 10:38:00,74.591
2021-07-01 11:18:00,74.749
2021-07-01 11:58:00,74.508
2021-07-01 12:38:00,74.439
2021-07-01 13:18:00,74.303
2021-07-01 13:58:00,74.47
2021-07-01 14:38:00,74.228
2021-07-01 15:18:00,74.46
2021-07-01 15:58:00,74.537
2021-07-01 16:38:00,74.535
2021-07-01 17:18:00,74.673
2021-07-01 17:58:00,74.655
2021-07-01 18:38:00,74.554
2021-07-01 19:18:00,74.666
2021-07-01 19:58:00,74.705
2021-07-01 20:38:00,74.6
2021-07-01 21:18:00,74.529
2021-07-01 21:58:00,74.504
2021-07-01 22:38:00,74.568
2021-07-01 23:18:00,74.611
2021-07-01 23:58:00,74.499
2021-07-02 01:58:00,74.635
2021-07-02 02:38:00,74.42
2021-07-02 03:18:00,74.79
2021-07-02 04:38:00,74.643
2021-07-02 05:18:00,74.738
2021-07-02 05:58:00,74.625
2021-07-02 06:38:00,74.575
2021-07-02 07:18:00,74.447
2021-07-02 07:58:00,74.536
2021-07-02 08:38:00,74.505
2021-07-02 09:18:00,74.544
2021-07-02 09:58:00,74.353
2021-07-02 10:38:00,74.743
2021-07-02 11:18:00,74.462
2021-07-02 11:58:00,74.602
2021-07-02 12:38:00,74.616
2021-07-02 13:18:00,74.62
2021-07-02 13:58:00,74.461
2021-07-02 14:38:00,74.81
2021-07-02 15:18:00,74.403
2021-07-02 15:58:00,74.302
2021-07-02 16:38:00,74.593
2021-07-02 17:18:00,74.812
2021-07-02 17:58:00,74.179
2021-07-02 18:38:00,74.58
2021-07-02 20:38:00,74.939
2021-07-02 21:18:00,74.176
2021-07-02 21:58:00,74.257
2021-07-02 22:38:00,74.693
2021-07-02 23:18:00,74.644
2021-07-02 23:58:00,74.707
2021-07-03 02:39:00,74.462
2021-07-03 03:19:00,74.281
2021-07-03 04:39:00,74.484
2021-07-03 05:19:00,74.219
2021-07-03 05:59:00,74.208
2021-07-03 06:39:00,74.452
2021-07-03 07:19:00,74.317
2021-07-03 07:59:00,74.08
2021-07-03 08:39:00,74.033
2021-07-03 09:19:00,74.105
2021-07-03 09:59:00,74.176
2021-07-03 10:39:00,74.266
2021-07-03 11:19:00,74.039
2021-07-03 11:59:00,74.387
2021-07-03 12:39:00,74.398
2021-07-03 13:19:00,74.174
2021-07-03 13:59:00,74.145
2021-07-03 14:39:00,74.034
2021-07-03 15:19:00,74.197
2021-07-03 15:59:00,74.601
2021-07-03 16:39:00,74.23
2021-07-03 17:19:00,74.491
2021-07-03 17:59:00,74.522
2021-07-03 18:39:00,74.313
