Time,Value
2021-07-01 01:58:00,220.884
2021-07-01 02:38:00,220.37
2021-07-01 03:18:00,220.572
2021-07-01 04:38:00,220.27
2021-07-01 05:18:00,219.989
2021-07-01 05:58:00,220.503
2021-07-01 06:38:00,220.442
2021-07-01 07:18:00,220.337
2021-07-01 07:58:00,220.545
2021-07-01 08:38:00,220.055
2021-07-01 09:18:00,220.274
2021-07-01 09:58:00,220.454
2021-07-01 10:38:00,220.172
2021-07-01 11:18:00,220.31
2021-07-01 11:58:00,220.362
2021-07-01 12:38:00,220.46
2021-07-01 13:18:00,220.366
2021-07-01 13:58:00,220.585
2021-07-01 14:38:00,220.59
2021-07-01 15:18:00,220.565
2021-07-01 15:58:00,220.331
2021-07-01 16:38:00,220.706
2021-07-01 17:18:00,220.515
2021-07-01 17:58:00,220.324
2021-07-01 18:38:00,220.513
2021-07-01 19:18:00,220.371
2021-07-01 19:58:00,220.258
2021-07-01 20:38:00,220.42
2021-07-01 21:18:00,220.196
2021-07-01 21:58:00,220.645
2021-07-01 22:38:00,220.903
2021-07-01 23:18:00,221.058
2021-07-01 23:58:00,222.039
2021-07-02 01:58:00,220.297
2021-07-02 02:38:00,220.541
2021-07-02 03:18:00,220.674
2021-07-02 04:38:00,220.392
2021-07-02 05:18:00,219.839
2021-07-02 05:58:00,220.565
2021-07-02 06:38:00,220.662
2021-07-02 07:18:00,220.315
2021-07-02 07:58:00,220.38
2021-07-02 08:38:00,220.621
2021-07-02 09:18:00,220.789
2021-07-02 09:58:00,220.263
2021-07-02 10:38:00,220.612
2021-07-02 11:18:00,220.377
2021-07-02 11:58:00,220.335
2021-07-02 12:38:00,220.356
2021-07-02 13:18:00,220.175
2021-07-02 13:58:00,220.239
2021-07-02 14:38:00,220.271
2021-07-02 15:18:00,220.291
2021-07-02 15:58:00,220.202
2021-07-02 16:38:00,220.088
2021-07-02 17:18:00,220.25
2021-07-02 17:58:00,220.285
2021-07-02 18:38:00,220.106
2021-07-02 19:18:00,220.627
2021-07-02 19:58:00,220.172
2021-07-02 20:38:00,220.41
2021-07-02 21:18:00,220.392
2021-07-02 21:58:00,219.684
2021-07-02 22:38:00,220.083
2021-07-02 23:18:00,220.376
2021-07-02 23:58:00,220.117
2021-07-03 01:59:00,220.039
2021-07-03 02:39:00,219.933
2021-07-03 03:19:00,220.067
2021-07-03 04:39:00,220.087
2021-07-03 05:19:00,219.551
2021-07-03 05:59:00,220.208
2021-07-03 06:39:00,219.995
2021-07-03 07:19:00,219.988
2021-07-03 07:59:00,220.134
2021-07-03 08:39:00,220.187
2021-07-03 09:19:00,220.139
2021-07-03 09:59:00,219.993
2021-07-03 10:39:00,220.053
2021-07-03 11:19:00,220.082
2021-07-03 11:59:00,220.215
2021-07-03 12:39:00,220.198
2021-07-03 13:19:00,220.095
2021-07-03 13:59:00,220.202
2021-07-03 14:39:00,220.095
2021-07-03 15:19:00,220.111
2021-07-03 15:59:00,220.118
2021-07-03 16:39:00,220.103
2021-07-03 17:19:00,220.156
2021-07-03 17:59:00,219.983
2021-07-03 18:39:00,220.037
2021-07-03 19:19:00,220.004
2021-07-03 20:39:00,220.118
2021-07-03 21:59:00,219.938
2021-07-03 23:19:00,220.27
2021-07-04 00:39:00,220.187
2021-07-04 01:59:00,220.273
2021-07-04 03:19:00,219.915
2021-07-04 04:39:00,220.244
2021-07-04 05:59:00,220.364
2021-07-04 07:19:00,219.999
2021-07-04 08:39:00,220.758
2021-07-04 09:59:00,220.564
2021-07-04 11:19:00,220.581
2021-07-04 12:39:00,220.154
2021-07-04 13:59:00,220.168
2021-07-04 15:19:00,220.179
2021-07-04 16:39:00,219.96
2021-07-04 18:00:00,220.136
2021-07-04 19:20:00,220.138
2021-07-04 20:00:00,220.033
2021-07-04 20:40:00,220.042
2021-07-04 21:20:00,219.973
2021-07-04 22:00:00,220.226
2021-07-04 22:40:00,220.186
2021-07-04 23:20:00,220.074
2021-07-05 00:00:00,220.178
2021-07-05 02:00:00,220.175
2021-07-05 02:40:00,220.058
2021-07-05 03:20:00,220.09
2021-07-05 04:40:00,220.167
2021-07-05 05:20:00,219.939
2021-07-05 06:00:00,220.148
2021-07-05 06:40:00,220.463
2021-07-05 07:20:00,220.119
2021-07-05 08:00:00,220.061
2021-07-05 08:40:00,220.068
2021-07-05 09:20:00,220.25
2021-07-05 10:00:00,220.004
2021-07-05 10:40:00,220.119
2021-07-05 11:20:00,220.291
2021-07-05 12:00:00,220.463
2021-07-05 12:40:00,220.266
2021-07-05 13:20:00,220.225
2021-07-05 14:00:00,220.502
2021-07-05 14:40:00,220.356
2021-07-05 15:20:00,220.35
2021-07-05 16:00:00,220.617
2021-07-05 16:40:00,220.211
2021-07-05 17:20:00,220.259
2021-07-05 18:00:00,220.422
2021-07-05 18:40:00,220.522
2021-07-05 19:20:00,220.476
2021-07-05 20:00:00,220.779
2021-07-05 20:40:00,220.659
2021-07-05 21:20:00,220.543
2021-07-05 22:00:00,220.605
2021-07-05 22:40:00,220.814
2021-07-05 23:20:00,220.409
2021-07-06 00:00:00,220.553
2021-07-06 02:00:00,220.612
2021-07-06 02:40:00,220.514
2021-07-06 03:20:00,220.524
2021-07-06 04:40:00,220.597
2021-07-06 05:20:00,219.521
2021-07-06 06:00:00,220.467
2021-07-06 06:40:00,220.344
2021-07-06 07:20:00,220.27
2021-07-06 08:00:00,220.276
2021-07-06 08:40:00,220.371
2021-07-06 09:20:00,220.288
2021-07-06 10:00:00,220.142
2021-07-06 10:40:00,220.349
2021-07-06 11:20:00,220.41
2021-07-06 12:00:00,220.386
2021-07-06 12:40:00,220.347
2021-07-06 13:20:00,220.465
2021-07-06 14:01:00,220.553
2021-07-06 14:41:00,220.47
2021-07-06 15:21:00,220.399
2021-07-06 16:01:00,220.402
2021-07-06 16:41:00,220.07
2021-07-06 17:21:00,220.297
2021-07-06 18:01:00,220.278
2021-07-06 18:41:00,220.321
2021-07-06 19:21:00,220.263
2021-07-06 20:01:00,220.181
2021-07-06 20:41:00,220.163
2021-07-06 21:21:00,220.376
2021-07-06 22:01:00,220.18
2021-07-06 22:41:00,220.154
2021-07-06 23:21:00,220.582
2021-07-07 00:01:00,220.101
2021-07-07 02:01:00,220.099
