Time,Value
2021-07-01 01:18:00,541.229
2021-07-01 01:58:00,544.383
2021-07-01 02:38:00,535.851
2021-07-01 03:18:00,531.974
2021-07-01 04:38:00,531.32
2021-07-01 05:18:00,529.12
2021-07-01 05:58:00,521.794
2021-07-01 06:38:00,518.095
2021-07-01 07:18:00,514.258
2021-07-01 07:58:00,511.488
2021-07-01 08:38:00,539.108
2021-07-01 09:18:00,529.514
2021-07-01 09:58:00,532.266
2021-07-01 10:38:00,524.742
2021-07-01 11:18:00,512.185
2021-07-01 11:58:00,513.012
2021-07-01 12:38:00,510.868
2021-07-01 13:18:00,510.972
2021-07-01 13:58:00,512.659
2021-07-01 14:38:00,515.192
2021-07-01 15:18:00,513.674
2021-07-01 15:58:00,514.247
2021-07-01 16:38:00,512.73
2021-07-01 17:18:00,512.19
2021-07-01 17:58:00,512.548
2021-07-01 18:38:00,511.487
2021-07-01 19:18:00,510.907
2021-07-01 19:58:00,508.304
2021-07-01 20:38:00,506.346
2021-07-01 21:18:00,507.011
2021-07-01 21:58:00,509.224
2021-07-01 22:38:00,522.003
2021-07-01 23:18:00,518.885
2021-07-01 23:58:00,525.646
2021-07-02 01:18:00,500.593
2021-07-02 01:58:00,515.245
2021-07-02 02:38:00,521.201
2021-07-02 03:18:00,523.664
2021-07-02 04:38:00,527.722
2021-07-02 05:18:00,524.437
2021-07-02 05:58:00,524.677
2021-07-02 06:38:00,522.922
2021-07-02 07:18:00,527.501
2021-07-02 07:58:00,526.587
2021-07-02 08:38:00,525.67
2021-07-02 09:18:00,526.083
2021-07-02 09:58:00,525.164
2021-07-02 10:38:00,526.783
2021-07-02 11:18:00,522.074
2021-07-02 11:58:00,520.018
2021-07-02 12:38:00,520.013
2021-07-02 13:18:00,549.867
2021-07-02 13:58:00,543.301
2021-07-02 14:38:00,549.81
2021-07-02 15:18:00,544.83
2021-07-02 15:58:00,538.243
2021-07-02 16:38:00,551.635
2021-07-02 17:18:00,551.348
2021-07-02 17:58:00,551.518
2021-07-02 18:38:00,550.842
2021-07-02 19:18:00,550.657
2021-07-02 19:58:00,548.556
2021-07-02 20:38:00,547.361
2021-07-02 21:18:00,549.232
2021-07-02 21:58:00,553.705
2021-07-02 22:38:00,553.854
2021-07-02 23:18:00,553.43
2021-07-02 23:58:00,554.328
2021-07-03 01:19:00,553.184
2021-07-03 01:59:00,554.631
2021-07-03 02:39:00,554.864
2021-07-03 03:19:00,554.179
2021-07-03 04:39:00,555.037
2021-07-03 05:19:00,555.428
2021-07-03 05:59:00,554.856
2021-07-03 06:39:00,554.038
2021-07-03 07:19:00,554.584
2021-07-03 07:59:00,553.823
2021-07-03 08:39:00,552.529
2021-07-03 09:19:00,554.318
2021-07-03 09:59:00,554.755
2021-07-03 10:39:00,554.169
2021-07-03 11:19:00,552.722
2021-07-03 11:59:00,553.238
2021-07-03 12:39:00,553.041
2021-07-03 13:19:00,553.575
2021-07-03 13:59:00,552.842
2021-07-03 14:39:00,552.063
2021-07-03 15:19:00,552.478
2021-07-03 15:59:00,552.262
2021-07-03 16:39:00,552.163
2021-07-03 17:19:00,551.764
2021-07-03 17:59:00,550.674
2021-07-03 18:39:00,550.006
2021-07-03 19:19:00,550.452
2021-07-03 20:39:00,552.828
2021-07-03 21:59:00,553.419
2021-07-03 23:19:00,552.33
2021-07-04 00:39:00,552.69
2021-07-04 01:59:00,552.71
2021-07-04 03:19:00,553.415
2021-07-04 04:39:00,552.506
2021-07-04 05:59:00,553.312
2021-07-04 07:19:00,554.006
2021-07-04 08:39:00,553.898
2021-07-04 09:59:00,553.177
2021-07-04 11:19:00,546.21
2021-07-04 12:39:00,544.319
2021-07-04 13:59:00,542.7
2021-07-04 15:19:00,551.738
2021-07-04 16:39:00,551.389
2021-07-04 18:00:00,553.995
2021-07-04 19:20:00,553.296
2021-07-04 20:00:00,553.873
2021-07-04 20:40:00,554.165
2021-07-04 21:20:00,552.424
2021-07-04 22:00:00,552.917
2021-07-04 22:40:00,549.266
2021-07-04 23:20:00,546.89
2021-07-05 00:00:00,543.871
2021-07-05 02:00:00,542.926
2021-07-05 02:40:00,544.661
2021-07-05 03:20:00,543.878
2021-07-05 04:40:00,541.312
2021-07-05 05:20:00,544.664
2021-07-05 06:00:00,545.463
2021-07-05 06:40:00,547.168
2021-07-05 07:20:00,550.417
2021-07-05 08:00:00,550.627
2021-07-05 08:40:00,552.781
2021-07-05 09:20:00,552.964
2021-07-05 10:00:00,552.199
2021-07-05 10:40:00,551.234
2021-07-05 11:20:00,552.233
2021-07-05 12:00:00,551.953
2021-07-05 12:40:00,553.359
2021-07-05 13:20:00,552.748
2021-07-05 14:00:00,553.439
2021-07-05 14:40:00,552.287
2021-07-05 15:20:00,552.263
2021-07-05 16:00:00,552.924
2021-07-05 16:40:00,553.272
2021-07-05 17:20:00,553.295
2021-07-05 18:00:00,552.815
2021-07-05 18:40:00,552.733
2021-07-05 19:20:00,551.633
2021-07-05 20:00:00,551.971
2021-07-05 20:40:00,551.884
2021-07-05 21:20:00,552.114
2021-07-05 22:00:00,552.898
2021-07-05 22:40:00,552.307
2021-07-05 23:20:00,551.297
2021-07-06 00:00:00,551.633
2021-07-06 01:20:00,551.647
2021-07-06 02:00:00,551.674
2021-07-06 02:40:00,552.306
2021-07-06 03:20:00,551.758
2021-07-06 04:40:00,551.632
2021-07-06 05:20:00,551.921
2021-07-06 06:00:00,551.408
2021-07-06 06:40:00,551.539
2021-07-06 07:20:00,551.344
2021-07-06 08:00:00,551.19
2021-07-06 08:40:00,551.126
2021-07-06 09:20:00,551.719
2021-07-06 10:00:00,551.47
2021-07-06 10:40:00,551.373
2021-07-06 11:20:00,551.684
2021-07-06 12:00:00,550.572
2021-07-06 12:40:00,551.173
2021-07-06 13:20:00,552.086
2021-07-06 14:01:00,551.048
2021-07-06 14:41:00,551.357
2021-07-06 15:21:00,551.789
2021-07-06 16:01:00,552.704
2021-07-06 16:41:00,553.075
