Time,Value
2021-07-01 00:00:00,148.6
2021-07-01 00:30:00,148.4
2021-07-01 01:00:00,148.0
2021-07-01 01:30:00,147.1
2021-07-01 02:00:00,146.9
2021-07-01 02:30:00,147.0
2021-07-01 03:00:00,147.6
2021-07-01 03:30:00,147.9
2021-07-01 04:00:00,147.7
2021-07-01 04:30:00,147.4
2021-07-01 05:00:00,147.4
2021-07-01 05:30:00,147.5
2021-07-01 06:00:00,147.5
2021-07-01 06:30:00,147.7
2021-07-01 07:00:00,147.6
2021-07-01 07:30:00,147.6
2021-07-01 08:00:00,147.8
2021-07-01 08:30:00,147.9
2021-07-01 09:00:00,148.4
2021-07-01 09:30:00,147.7
2021-07-01 10:00:00,147.6
2021-07-01 10:30:00,146.4
2021-07-01 11:00:00,147.3
2021-07-01 11:30:00,146.0
2021-07-01 12:00:00,145.7
2021-07-01 12:30:00,145.2
2021-07-01 13:00:00,145.5
2021-07-01 13:30:00,145.3
2021-07-01 14:00:00,145.5
2021-07-01 14:30:00,144.8
2021-07-01 15:00:00,145.7
2021-07-01 15:30:00,146.0
2021-07-01 16:00:00,145.7
2021-07-01 16:30:00,145.9
2021-07-01 17:00:00,146.1
2021-07-01 17:30:00,146.4
2021-07-01 18:00:00,146.4
2021-07-01 18:30:00,146.4
2021-07-01 19:00:00,146.7
2021-07-01 19:30:00,146.3
2021-07-01 20:00:00,146.5
2021-07-01 20:30:00,146.9
2021-07-01 21:00:00,147.1
2021-07-01 21:30:00,146.9
2021-07-01 22:00:00,146.9
2021-07-01 22:30:00,146.5
2021-07-01 23:00:00,146.8
2021-07-01 23:30:00,147.6
2021-07-02 00:00:00,145.6
2021-07-02 00:30:00,144.8
2021-07-02 01:00:00,144.1
2021-07-02 01:30:00,-73.8
2021-07-02 02:00:00,-85.7
2021-07-02 02:30:00,-85.4
2021-07-02 03:00:00,-85.9
2021-07-02 03:30:00,-86.1
2021-07-02 04:00:00,-85.6
2021-07-02 04:30:00,-85.9
2021-07-02 05:00:00,-86.3
2021-07-02 05:30:00,-85.7
2021-07-02 06:00:00,-85.8
2021-07-02 06:30:00,-84.3
2021-07-02 07:00:00,-84.8
2021-07-02 07:30:00,-86.2
2021-07-02 08:00:00,-86.2
2021-07-02 08:30:00,-85.1
2021-07-02 09:00:00,-85.7
2021-07-02 09:30:00,-85.3
2021-07-02 10:00:00,-85.9
2021-07-02 10:30:00,-85.1
2021-07-02 11:00:00,-86.3
2021-07-02 11:30:00,-86.3
2021-07-02 12:00:00,-85.4
2021-07-02 12:30:00,-85.1
2021-07-02 13:00:00,-85.8
2021-07-02 13:30:00,-88.3
2021-07-02 14:00:00,-86.8
2021-07-02 14:30:00,-86.9
2021-07-02 15:00:00,-86.8
2021-07-02 15:30:00,-87.0
2021-07-02 16:00:00,-86.7
2021-07-02 16:30:00,-87.1
2021-07-02 17:00:00,-87.3
2021-07-02 18:00:00,-86.9
2021-07-02 18:30:00,-86.9
2021-07-02 19:00:00,-86.9
2021-07-02 19:30:00,-86.9
2021-07-02 20:00:00,-86.9
2021-07-02 20:30:00,-86.9
2021-07-02 21:00:00,-86.8
2021-07-02 21:30:00,-86.9
2021-07-02 22:00:00,-87.2
2021-07-02 22:30:00,-86.9
2021-07-02 23:00:00,-87.1
2021-07-02 23:30:00,-87.1
2021-07-03 00:00:00,-87.0
2021-07-03 00:30:00,-87.3
2021-07-03 01:00:00,-86.9
2021-07-03 01:30:00,-86.9
2021-07-03 02:00:00,-87.0
2021-07-03 02:30:00,-87.2
2021-07-03 03:00:00,-86.8
2021-07-03 03:30:00,-86.9
2021-07-03 04:00:00,-86.9
2021-07-03 04:30:00,-86.9
2021-07-03 05:00:00,-87.0
2021-07-03 05:30:00,-86.9
2021-07-03 06:00:00,-86.9
2021-07-03 06:30:00,-86.9
2021-07-03 07:00:00,-86.9
2021-07-03 07:30:00,-86.8
2021-07-03 08:00:00,-86.7
2021-07-03 08:30:00,-87.2
2021-07-03 09:00:00,-86.9
2021-07-03 09:30:00,-86.8
2021-07-03 10:00:00,-87.3
2021-07-03 10:30:00,-87.3
2021-07-03 11:00:00,-86.7
2021-07-03 11:30:00,-86.9
2021-07-03 12:00:00,-87.4
2021-07-03 12:30:00,-86.9
2021-07-03 13:00:00,-87.5
2021-07-03 13:30:00,-87.6
2021-07-03 14:00:00,-86.9
2021-07-03 14:30:00,-87.1
2021-07-03 15:00:00,-87.7
2021-07-03 15:30:00,-87.3
2021-07-03 16:00:00,-87.0
2021-07-03 16:30:00,-87.3
2021-07-03 17:00:00,-87.1
