Time,Value
2021-07-01 01:36:00,116.439
2021-07-01 03:46:00,114.41
2021-07-01 05:56:00,113.939
2021-07-01 08:06:00,113.561
2021-07-01 10:16:00,112.896
2021-07-01 12:26:00,113.289
2021-07-01 14:36:00,113.262
2021-07-01 16:46:00,113.603
2021-07-01 18:56:00,113.758
2021-07-01 21:06:00,113.944
2021-07-01 23:16:00,115.618
2021-07-02 01:26:00,114.541
2021-07-02 03:36:00,113.903
2021-07-02 05:46:00,114.034
2021-07-02 07:56:00,114.172
2021-07-02 10:06:00,114.1
2021-07-02 12:16:00,113.522
2021-07-02 14:26:00,112.598
2021-07-02 16:36:00,112.535
2021-07-02 18:46:00,112.554
2021-07-02 20:56:00,112.679
2021-07-02 23:06:00,112.089
2021-07-03 01:16:00,112.322
2021-07-03 03:26:00,112.351
2021-07-03 05:36:00,112.154
2021-07-03 07:46:00,112.3
2021-07-03 09:56:00,112.088
2021-07-03 12:06:00,111.724
2021-07-03 14:16:00,112.125
2021-07-03 16:26:00,112.023
2021-07-03 18:36:00,112.103
2021-07-03 20:46:00,112.232
2021-07-03 22:56:00,112.255
2021-07-04 01:06:00,112.198
2021-07-04 03:16:00,111.988
2021-07-04 05:26:00,112.32
2021-07-04 07:36:00,111.675
2021-07-04 14:06:00,112.769
2021-07-04 16:16:00,112.785
2021-07-04 18:26:00,112.196
2021-07-04 20:36:00,111.889
2021-07-05 03:06:00,112.257
2021-07-05 05:16:00,112.715
2021-07-05 07:26:00,112.526
2021-07-05 09:36:00,112.465
2021-07-05 11:46:00,112.487
2021-07-05 13:56:00,112.583
2021-07-05 16:06:00,112.827
2021-07-05 18:16:00,112.534
2021-07-05 20:27:00,113.482
2021-07-05 22:37:00,113.209
2021-07-06 00:47:00,112.937
2021-07-06 02:57:00,113.317
2021-07-06 05:07:00,112.808
2021-07-06 07:17:00,112.521
2021-07-06 09:27:00,112.484
2021-07-06 11:37:00,112.786
2021-07-06 13:47:00,112.832
2021-07-06 15:57:00,112.393
2021-07-06 18:07:00,112.441
2021-07-06 20:17:00,112.519
2021-07-06 22:27:00,112.47
2021-07-07 00:37:00,112.359
2021-07-07 02:47:00,112.736
2021-07-07 04:57:00,112.565
2021-07-07 07:07:00,112.274
2021-07-07 09:17:00,112.482
2021-07-07 11:27:00,112.713
2021-07-07 22:17:00,112.994
2021-07-08 00:27:00,112.954
2021-07-08 02:37:00,113.288
2021-07-08 04:47:00,113.622
2021-07-08 06:57:00,115.775
2021-07-08 09:07:00,114.982
2021-07-08 11:17:00,113.64
2021-07-08 13:27:00,112.877
2021-07-08 15:37:00,114.645
2021-07-08 17:47:00,113.2
2021-07-08 19:57:00,112.244
2021-07-08 22:07:00,112.809
2021-07-09 00:17:00,113.92
2021-07-09 02:27:00,113.805
2021-07-09 04:37:00,113.048
2021-07-09 06:47:00,112.78
2021-07-09 08:57:00,112.987
2021-07-09 11:07:00,113.006
2021-07-09 13:17:00,113.238
2021-07-09 15:27:00,113.014
2021-07-09 17:37:00,113.283
2021-07-09 19:47:00,113.392
2021-07-09 21:57:00,113.713
