Time,Value
2021-07-01 01:36:00,26.5154
2021-07-01 03:46:00,25.9353
2021-07-01 05:56:00,25.6022
2021-07-01 08:06:00,25.5399
2021-07-01 10:16:00,25.0097
2021-07-01 12:26:00,25.157
2021-07-01 14:36:00,25.2396
2021-07-01 16:46:00,25.5195
2021-07-01 18:56:00,25.9354
2021-07-01 21:06:00,26.2371
2021-07-01 23:16:00,27.1541
2021-07-02 01:26:00,27.7176
2021-07-02 03:36:00,27.2773
2021-07-02 05:46:00,27.5532
2021-07-02 07:56:00,27.3899
2021-07-02 10:06:00,27.2265
2021-07-02 12:16:00,26.6088
2021-07-02 14:26:00,25.5721
2021-07-02 16:36:00,25.7642
2021-07-02 18:46:00,26.0599
2021-07-02 20:56:00,26.5189
2021-07-02 23:06:00,26.3633
2021-07-03 01:16:00,26.3213
2021-07-03 03:26:00,26.2355
2021-07-03 05:36:00,26.5121
2021-07-03 07:46:00,26.3625
2021-07-03 09:56:00,26.3926
2021-07-03 12:06:00,26.3666
2021-07-03 14:16:00,26.3897
2021-07-03 16:26:00,26.2147
2021-07-03 18:36:00,26.2916
2021-07-03 20:46:00,26.0961
2021-07-03 22:56:00,26.3324
2021-07-04 01:06:00,26.6136
2021-07-04 03:16:00,26.6109
2021-07-04 05:26:00,26.7063
2021-07-04 07:36:00,25.751
2021-07-04 16:16:00,25.2201
2021-07-04 18:26:00,25.1693
2021-07-04 20:36:00,25.0994
2021-07-05 03:06:00,25.4684
2021-07-05 05:16:00,25.3867
2021-07-05 07:26:00,25.1176
2021-07-05 09:36:00,25.401
2021-07-05 11:46:00,25.4443
2021-07-05 13:56:00,25.2012
2021-07-05 16:06:00,25.2466
2021-07-05 18:16:00,25.5607
2021-07-05 20:27:00,25.7458
2021-07-05 22:37:00,26.0516
2021-07-06 00:47:00,25.8875
2021-07-06 02:57:00,26.0832
2021-07-06 05:07:00,26.1179
2021-07-06 07:17:00,25.7398
2021-07-06 09:27:00,25.6452
2021-07-06 11:37:00,25.0899
2021-07-06 13:47:00,25.3755
2021-07-06 15:57:00,25.3801
2021-07-06 18:07:00,25.4684
2021-07-06 20:17:00,25.7525
2021-07-06 22:27:00,25.6597
2021-07-07 00:37:00,25.8325
2021-07-07 02:47:00,25.8097
2021-07-07 04:57:00,25.6935
2021-07-07 07:07:00,25.7445
2021-07-07 09:17:00,25.7641
2021-07-07 11:27:00,25.9303
2021-07-07 22:17:00,26.2782
2021-07-08 00:27:00,26.1812
2021-07-08 02:37:00,26.2418
2021-07-08 04:47:00,26.0463
2021-07-08 06:57:00,26.6371
2021-07-08 09:07:00,26.4634
2021-07-08 11:17:00,26.0836
2021-07-08 13:27:00,25.2678
2021-07-08 15:37:00,25.7232
2021-07-08 17:47:00,25.4734
2021-07-08 19:57:00,25.881
2021-07-08 22:07:00,25.9487
2021-07-09 00:17:00,27.247
2021-07-09 02:27:00,27.3639
2021-07-09 04:37:00,26.0878
2021-07-09 06:47:00,25.5653
2021-07-09 08:57:00,25.2454
2021-07-09 11:07:00,25.6748
2021-07-09 13:17:00,25.2884
2021-07-09 15:27:00,25.3089
2021-07-09 17:37:00,25.5937
2021-07-09 19:47:00,25.8818
2021-07-09 21:57:00,25.7436
