Time,Value
2021-07-01 01:36:00,10.4106
2021-07-01 03:46:00,10.384
2021-07-01 05:56:00,10.3362
2021-07-01 08:06:00,10.3201
2021-07-01 10:16:00,10.4106
2021-07-01 12:26:00,10.4436
2021-07-01 14:36:00,10.4638
2021-07-01 16:46:00,10.4337
2021-07-01 18:56:00,10.3893
2021-07-01 21:06:00,10.3978
2021-07-01 23:16:00,10.4276
2021-07-02 01:26:00,10.476
2021-07-02 03:36:00,10.4069
2021-07-02 05:46:00,10.3921
2021-07-02 07:56:00,10.3867
2021-07-02 10:06:00,10.3991
2021-07-02 12:16:00,10.3601
2021-07-02 14:26:00,10.3544
2021-07-02 16:36:00,10.3631
2021-07-02 18:46:00,10.3897
2021-07-02 20:56:00,10.4041
2021-07-02 23:06:00,10.4144
2021-07-03 01:16:00,10.3454
2021-07-03 03:26:00,10.3332
2021-07-03 05:36:00,10.3219
2021-07-03 07:46:00,10.3549
2021-07-03 09:56:00,10.3066
2021-07-03 12:06:00,10.3348
2021-07-03 14:16:00,10.3424
2021-07-03 16:26:00,10.3482
2021-07-03 18:36:00,10.4095
2021-07-03 20:46:00,10.3521
2021-07-03 22:56:00,10.3702
2021-07-04 01:06:00,10.3332
2021-07-04 03:16:00,10.3108
2021-07-04 05:26:00,10.4032
2021-07-04 07:36:00,10.3767
2021-07-04 14:06:00,10.3621
2021-07-04 16:16:00,10.4403
2021-07-04 18:26:00,10.356
2021-07-04 20:36:00,10.3392
2021-07-05 03:06:00,10.4625
2021-07-05 05:16:00,10.4183
2021-07-05 07:26:00,10.3824
2021-07-05 09:36:00,10.4361
2021-07-05 11:46:00,10.434
2021-07-05 13:56:00,10.4393
2021-07-05 16:06:00,10.3599
2021-07-05 18:16:00,10.3904
2021-07-05 20:27:00,10.4262
2021-07-05 22:37:00,10.48
2021-07-06 00:47:00,10.4469
2021-07-06 02:57:00,10.4025
2021-07-06 05:07:00,10.4026
2021-07-06 07:17:00,10.3848
2021-07-06 09:27:00,10.4235
2021-07-06 11:37:00,10.339
2021-07-06 13:47:00,10.4189
2021-07-06 15:57:00,10.3572
2021-07-06 18:07:00,10.4246
2021-07-06 20:17:00,10.4133
2021-07-06 22:27:00,10.4007
2021-07-07 00:37:00,10.3441
2021-07-07 02:47:00,10.436
2021-07-07 04:57:00,10.3831
2021-07-07 07:07:00,10.4056
2021-07-07 09:17:00,10.4684
2021-07-07 11:27:00,10.3663
2021-07-07 22:17:00,10.4398
2021-07-08 00:27:00,10.3521
2021-07-08 02:37:00,10.3922
2021-07-08 04:47:00,10.4043
2021-07-08 06:57:00,10.3953
2021-07-08 09:07:00,10.3668
2021-07-08 11:17:00,10.4091
2021-07-08 13:27:00,10.3745
2021-07-08 15:37:00,10.4209
2021-07-08 17:47:00,10.3974
2021-07-08 19:57:00,10.3127
2021-07-08 22:07:00,10.4051
2021-07-09 00:17:00,10.33
2021-07-09 02:27:00,10.3519
2021-07-09 04:37:00,10.4416
2021-07-09 06:47:00,10.4342
2021-07-09 08:57:00,10.4468
2021-07-09 11:07:00,10.437
2021-07-09 13:17:00,10.4188
2021-07-09 15:27:00,10.4108
2021-07-09 17:37:00,10.3706
2021-07-09 19:47:00,10.4487
2021-07-09 21:57:00,10.458
