Time,Value
2021-07-01 01:36:00,498.299
2021-07-01 03:46:00,497.315
2021-07-01 05:56:00,498.389
2021-07-01 08:06:00,497.664
2021-07-01 10:16:00,497.879
2021-07-01 12:26:00,497.776
2021-07-01 14:36:00,497.814
2021-07-01 16:46:00,497.506
2021-07-01 18:56:00,497.606
2021-07-01 21:06:00,497.56
2021-07-01 23:16:00,497.665
2021-07-02 01:26:00,497.195
2021-07-02 03:36:00,497.635
2021-07-02 05:46:00,497.19
2021-07-02 07:56:00,497.932
2021-07-02 10:06:00,497.23
2021-07-02 12:16:00,497.486
2021-07-02 14:26:00,497.57
2021-07-02 16:36:00,497.598
2021-07-02 18:46:00,497.38
2021-07-02 20:56:00,498.172
2021-07-03 01:16:00,497.855
2021-07-03 03:26:00,496.883
2021-07-03 05:36:00,497.276
2021-07-03 07:46:00,497.276
2021-07-03 09:56:00,497.187
2021-07-03 12:06:00,495.715
2021-07-03 14:16:00,496.821
2021-07-03 16:26:00,497.139
2021-07-03 18:36:00,496.68
2021-07-03 20:46:00,497.578
2021-07-03 22:56:00,497.227
2021-07-04 01:06:00,496.992
2021-07-04 03:16:00,496.655
2021-07-04 05:26:00,497.921
2021-07-04 07:36:00,495.511
2021-07-04 14:06:00,497.879
2021-07-04 16:16:00,497.658
2021-07-04 18:26:00,497.502
2021-07-04 20:36:00,498.284
2021-07-05 03:06:00,496.337
2021-07-05 05:16:00,496.495
2021-07-05 07:26:00,496.771
2021-07-05 09:36:00,497.119
2021-07-05 11:46:00,497.562
2021-07-05 13:56:00,497.694
2021-07-05 16:06:00,498.109
2021-07-05 18:16:00,497.411
2021-07-05 20:27:00,497.988
2021-07-05 22:37:00,497.98
2021-07-06 00:47:00,498.24
2021-07-06 02:57:00,498.063
2021-07-06 05:07:00,498.002
2021-07-06 07:17:00,497.617
2021-07-06 09:27:00,497.922
2021-07-06 11:37:00,497.53
2021-07-06 13:47:00,497.649
2021-07-06 15:57:00,498.037
2021-07-06 18:07:00,496.662
2021-07-06 20:17:00,497.484
2021-07-06 22:27:00,498.406
2021-07-07 00:37:00,496.109
2021-07-07 02:47:00,497.292
2021-07-07 04:57:00,496.851
2021-07-07 07:07:00,497.456
2021-07-07 09:17:00,497.371
2021-07-07 11:27:00,497.251
2021-07-07 22:17:00,497.762
2021-07-08 00:27:00,497.124
2021-07-08 02:37:00,497.016
2021-07-08 04:47:00,497.127
2021-07-08 06:57:00,497.158
2021-07-08 09:07:00,496.673
2021-07-08 11:17:00,496.987
2021-07-08 13:27:00,496.872
2021-07-08 15:37:00,497.589
2021-07-08 17:47:00,497.539
2021-07-08 19:57:00,496.371
2021-07-08 22:07:00,497.864
2021-07-09 00:17:00,497.197
2021-07-09 02:27:00,496.827
2021-07-09 04:37:00,497.239
2021-07-09 06:47:00,496.936
2021-07-09 08:57:00,496.566
2021-07-09 11:07:00,497.439
2021-07-09 13:17:00,496.839
2021-07-09 15:27:00,498.362
2021-07-09 21:57:00,498.581
