Time,Value
2021-07-01 01:36:00,0.2181
2021-07-01 03:46:00,0.2283
2021-07-01 05:56:00,0.2149
2021-07-01 08:06:00,0.2209
2021-07-01 10:16:00,0.2086
2021-07-01 12:26:00,0.2069
2021-07-01 14:36:00,0.2168
2021-07-01 16:46:00,0.2109
2021-07-01 18:56:00,0.2231
2021-07-01 21:06:00,0.2247
2021-07-01 23:16:00,0.2221
2021-07-02 01:26:00,0.2175
2021-07-02 03:36:00,0.2169
2021-07-02 05:46:00,0.2216
2021-07-02 07:56:00,0.2114
2021-07-02 10:06:00,0.2164
2021-07-02 12:16:00,0.2155
2021-07-02 14:26:00,0.2206
2021-07-02 16:36:00,0.217
2021-07-02 18:46:00,0.2139
2021-07-02 20:56:00,0.215
2021-07-02 23:06:00,0.2121
2021-07-03 01:16:00,0.2067
2021-07-03 03:26:00,0.2216
2021-07-03 05:36:00,0.2133
2021-07-03 07:46:00,0.2192
2021-07-03 09:56:00,0.2221
2021-07-03 12:06:00,0.2046
2021-07-03 14:16:00,0.2272
2021-07-03 16:26:00,0.2175
2021-07-03 18:36:00,0.2155
2021-07-03 20:46:00,0.2145
2021-07-03 22:56:00,0.2172
2021-07-04 01:06:00,0.2218
2021-07-04 03:16:00,0.2072
2021-07-04 05:26:00,0.2146
2021-07-04 07:36:00,0.2186
2021-07-04 14:06:00,0.2077
2021-07-04 16:16:00,0.2163
2021-07-04 18:26:00,0.2209
2021-07-04 20:36:00,0.2106
2021-07-05 03:06:00,0.2216
2021-07-05 05:16:00,0.2147
2021-07-05 07:26:00,0.2157
2021-07-05 09:36:00,0.2156
2021-07-05 11:46:00,0.2091
2021-07-05 13:56:00,0.2214
2021-07-05 16:06:00,0.2066
2021-07-05 18:16:00,0.2186
2021-07-05 20:27:00,0.2149
2021-07-05 22:37:00,0.2184
2021-07-06 00:47:00,0.2153
2021-07-06 02:57:00,0.2234
2021-07-06 05:07:00,0.2139
2021-07-06 07:17:00,0.2193
2021-07-06 09:27:00,0.2168
2021-07-06 11:37:00,0.2191
2021-07-06 13:47:00,0.2014
2021-07-06 15:57:00,0.2166
2021-07-06 18:07:00,0.2224
2021-07-06 20:17:00,0.2123
2021-07-06 22:27:00,0.2217
2021-07-07 00:37:00,0.2204
2021-07-07 02:47:00,0.2133
2021-07-07 04:57:00,0.2035
2021-07-07 07:07:00,0.209
2021-07-07 09:17:00,0.2113
2021-07-07 11:27:00,0.2181
2021-07-07 22:17:00,0.2204
2021-07-08 00:27:00,0.2102
2021-07-08 02:37:00,0.2138
2021-07-08 04:47:00,0.2205
2021-07-08 06:57:00,0.2113
2021-07-08 09:07:00,0.2194
2021-07-08 11:17:00,0.2155
2021-07-08 13:27:00,0.2147
2021-07-08 15:37:00,0.2086
2021-07-08 17:47:00,0.2119
2021-07-08 19:57:00,0.2218
2021-07-08 22:07:00,0.2198
2021-07-09 00:17:00,0.2161
2021-07-09 02:27:00,0.211
2021-07-09 04:37:00,0.2177
2021-07-09 06:47:00,0.2161
2021-07-09 08:57:00,0.2115
2021-07-09 11:07:00,0.2131
2021-07-09 13:17:00,0.2074
2021-07-09 15:27:00,0.2081
2021-07-09 17:37:00,0.2119
2021-07-09 19:47:00,0.2112
2021-07-09 21:57:00,0.2125
