Time,Value
2021-07-01 01:36:00,0.7801
2021-07-01 03:46:00,0.6785
2021-07-01 05:56:00,0.6422
2021-07-01 08:06:00,0.6422
2021-07-01 10:16:00,0.5196
2021-07-01 12:26:00,0.6068
2021-07-01 14:36:00,0.605
2021-07-01 16:46:00,0.6697
2021-07-01 18:56:00,0.6333
2021-07-01 21:06:00,0.7356
2021-07-01 23:16:00,0.7008
2021-07-02 01:26:00,0.6351
2021-07-02 03:36:00,0.5474
2021-07-02 05:46:00,0.6115
2021-07-02 07:56:00,0.5742
2021-07-02 10:06:00,0.5793
2021-07-02 12:16:00,0.4999
2021-07-02 14:26:00,0.4726
2021-07-02 16:36:00,0.4791
2021-07-02 18:46:00,0.438
2021-07-02 20:56:00,0.4539
2021-07-02 23:06:00,0.425
2021-07-03 01:16:00,0.4152
2021-07-03 03:26:00,0.4091
2021-07-03 05:36:00,0.4061
2021-07-03 07:46:00,0.4062
2021-07-03 09:56:00,0.4153
2021-07-03 12:06:00,0.4198
2021-07-03 14:16:00,0.4176
2021-07-03 16:26:00,0.4196
2021-07-03 18:36:00,0.4089
2021-07-03 20:46:00,0.4094
2021-07-03 22:56:00,0.4134
2021-07-04 01:06:00,0.4119
2021-07-04 03:16:00,0.4124
2021-07-04 05:26:00,0.4106
2021-07-04 07:36:00,0.4162
2021-07-04 14:06:00,0.5419
2021-07-04 16:16:00,0.6151
2021-07-04 18:26:00,0.4153
2021-07-04 20:36:00,0.4135
2021-07-05 03:06:00,0.4467
2021-07-05 05:16:00,0.4778
2021-07-05 07:26:00,0.4482
2021-07-05 09:36:00,0.4299
2021-07-05 11:46:00,0.449
2021-07-05 13:56:00,0.4428
2021-07-05 16:06:00,0.4432
2021-07-05 18:16:00,0.4451
2021-07-05 20:27:00,0.4612
2021-07-05 22:37:00,0.4703
2021-07-06 00:47:00,0.4648
2021-07-06 02:57:00,0.469
2021-07-06 05:07:00,0.463
2021-07-06 07:17:00,0.4506
2021-07-06 09:27:00,0.4522
2021-07-06 11:37:00,0.4453
2021-07-06 13:47:00,0.4425
2021-07-06 15:57:00,0.435
2021-07-06 18:07:00,0.4379
2021-07-06 20:17:00,0.434
2021-07-06 22:27:00,0.4346
2021-07-07 00:37:00,0.4396
2021-07-07 02:47:00,0.4381
2021-07-07 04:57:00,0.431
2021-07-07 07:07:00,0.4374
2021-07-07 09:17:00,0.4356
2021-07-07 11:27:00,0.4423
2021-07-07 22:17:00,0.466
2021-07-08 00:27:00,0.4536
2021-07-08 02:37:00,0.4706
2021-07-08 04:47:00,0.4929
2021-07-08 06:57:00,0.6722
2021-07-08 09:07:00,0.6382
2021-07-08 11:17:00,0.5234
2021-07-08 13:27:00,0.483
2021-07-08 15:37:00,0.5413
2021-07-08 17:47:00,0.477
2021-07-08 19:57:00,0.4509
2021-07-08 22:07:00,0.448
2021-07-09 00:17:00,0.5407
2021-07-09 02:27:00,0.5076
2021-07-09 04:37:00,0.4778
2021-07-09 06:47:00,0.4599
2021-07-09 08:57:00,0.4551
2021-07-09 11:07:00,0.4573
2021-07-09 13:17:00,0.4686
2021-07-09 15:27:00,0.4771
2021-07-09 17:37:00,0.7133
2021-07-09 19:47:00,0.9696
2021-07-09 21:57:00,0.806
