Time,Value
2021-07-01 00:02:17,0.95
2021-07-01 00:12:17,0.971
2021-07-01 00:22:17,23.647
2021-07-01 00:32:17,0.922
2021-07-01 00:42:17,0.931
2021-07-01 00:52:17,0.939
2021-07-01 01:02:17,0.976
2021-07-01 01:12:17,0.911
2021-07-01 01:22:17,0.955
2021-07-01 01:32:17,0.985
2021-07-01 01:42:17,0.978
2021-07-01 01:52:17,1.017
2021-07-01 02:02:17,0.995
2021-07-01 02:05:21,0.0
2021-07-01 02:13:17,0.0
2021-07-01 02:23:18,22.584
2021-07-01 02:34:20,0.0
2021-07-01 02:42:17,1.024
2021-07-01 02:52:17,23.596
2021-07-01 03:02:17,0.967
2021-07-01 03:12:17,0.973
2021-07-01 03:22:17,0.944
2021-07-01 03:32:17,0.957
2021-07-01 03:42:17,0.909
2021-07-01 03:52:17,0.923
2021-07-01 04:02:17,0.946
2021-07-01 04:12:17,0.975
2021-07-01 04:22:17,0.964
2021-07-01 04:32:17,0.973
2021-07-01 04:42:17,0.972
2021-07-01 04:52:17,0.961
2021-07-01 05:02:17,0.916
2021-07-01 05:12:17,0.937
2021-07-01 05:22:17,0.94
2021-07-01 05:32:17,0.93
2021-07-01 05:42:17,0.939
2021-07-01 05:52:17,0.934
2021-07-01 06:02:17,0.929
2021-07-01 06:12:17,0.905
2021-07-01 06:22:17,0.893
2021-07-01 06:32:17,0.955
2021-07-01 06:42:17,0.955
2021-07-01 06:52:17,0.943
2021-07-01 07:02:17,0.927
2021-07-01 07:12:17,0.886
2021-07-01 07:22:17,0.922
2021-07-01 07:32:17,0.956
2021-07-01 07:42:17,0.933
2021-07-01 07:52:17,0.866
2021-07-01 08:02:17,0.955
2021-07-01 08:12:17,0.974
2021-07-01 08:22:17,0.937
2021-07-01 08:32:17,0.968
2021-07-01 08:42:17,0.99
2021-07-01 08:52:17,1.019
2021-07-01 09:02:17,0.989
2021-07-01 09:12:17,1.018
2021-07-01 09:22:17,0.985
2021-07-01 09:32:17,0.953
2021-07-01 09:42:17,0.965
2021-07-01 09:52:17,0.986
2021-07-01 10:02:17,1.03
2021-07-01 10:12:17,0.926
2021-07-01 10:22:17,0.953
2021-07-01 10:32:17,0.957
2021-07-01 10:42:17,0.955
2021-07-01 10:52:17,0.936
2021-07-01 11:02:17,0.972
2021-07-01 11:12:17,0.964
2021-07-01 11:22:17,0.966
2021-07-01 11:32:17,0.97
2021-07-01 11:42:17,0.903
2021-07-01 11:52:17,0.946
2021-07-01 12:02:17,0.974
2021-07-01 12:12:17,0.948
2021-07-01 12:22:17,0.943
2021-07-01 12:32:17,0.889
2021-07-01 12:42:17,0.907
2021-07-01 12:52:17,0.954
2021-07-01 13:02:17,0.933
2021-07-01 13:12:17,0.917
2021-07-01 13:22:17,0.957
2021-07-01 13:32:17,0.947
2021-07-01 13:42:17,0.976
2021-07-01 13:52:17,0.937
2021-07-01 14:02:17,0.981
2021-07-01 14:12:17,0.967
2021-07-01 14:25:37,0.0
2021-07-01 14:33:34,0.0
2021-07-01 14:43:34,22.584
2021-07-01 15:24:20,0.0
2021-07-01 15:32:17,2.005
2021-07-01 15:43:58,0.0
2021-07-01 15:51:55,0.0
2021-07-01 16:01:55,22.584
2021-07-01 16:24:20,0.0
2021-07-01 16:32:17,1.193
2021-07-01 16:42:17,24.413
2021-07-01 16:52:17,1.122
2021-07-01 17:02:17,1.118
2021-07-01 17:12:17,1.015
2021-07-01 17:22:17,1.035
2021-07-01 17:32:17,1.086
2021-07-01 17:42:17,1.075
2021-07-01 17:52:17,1.028
2021-07-01 18:02:17,1.003
2021-07-01 18:12:17,1.023
2021-07-01 18:22:17,1.032
2021-07-01 18:32:17,1.036
2021-07-01 18:42:17,1.017
2021-07-01 18:52:17,1.035
2021-07-01 19:02:17,1.0
2021-07-01 19:12:17,0.99
2021-07-01 19:22:17,1.0
2021-07-01 19:32:17,0.925
2021-07-01 19:42:17,0.995
2021-07-01 19:52:17,0.963
2021-07-01 20:02:17,1.03
2021-07-01 20:12:17,0.939
2021-07-01 20:22:17,0.935
2021-07-01 20:32:17,1.004
2021-07-01 20:42:17,0.995
2021-07-01 20:52:17,1.004
2021-07-01 21:02:17,0.965
2021-07-01 21:12:17,0.916
2021-07-01 21:22:17,0.981
2021-07-01 21:32:17,0.93
2021-07-01 21:42:17,0.943
2021-07-01 21:52:17,1.02
2021-07-01 22:02:17,0.982
2021-07-01 22:12:17,0.976
2021-07-01 22:22:17,0.999
2021-07-01 22:32:17,0.997
2021-07-01 22:42:17,1.019
2021-07-01 22:52:17,1.007
2021-07-01 23:02:17,1.045
2021-07-01 23:12:17,0.95
2021-07-01 23:22:17,1.0
2021-07-01 23:32:17,1.051
2021-07-01 23:42:17,1.068
2021-07-01 23:52:17,1.093
2021-07-02 00:02:17,1.068
2021-07-02 00:12:17,1.039
2021-07-02 00:22:17,1.036
2021-07-02 00:32:17,1.101
2021-07-02 00:42:17,1.031
2021-07-02 00:52:17,1.064
2021-07-02 01:02:17,0.953
2021-07-02 01:12:17,0.969
2021-07-02 01:22:17,1.025
2021-07-02 01:32:17,1.022
2021-07-02 01:42:17,1.097
2021-07-02 01:52:17,0.965
2021-07-02 02:02:17,0.948
2021-07-02 02:12:17,1.063
2021-07-02 02:22:17,1.037
2021-07-02 02:32:17,1.086
2021-07-02 02:42:17,1.04
2021-07-02 02:52:17,1.053
2021-07-02 03:02:17,1.052
2021-07-02 03:05:21,0.0
2021-07-02 03:13:18,0.0
2021-07-02 03:23:18,22.584
2021-07-02 03:34:20,0.0
2021-07-02 03:42:17,1.044
2021-07-02 03:52:17,23.898
2021-07-02 04:02:17,1.016
2021-07-02 04:12:17,1.012
2021-07-02 04:22:17,0.996
2021-07-02 04:32:17,0.966
2021-07-02 04:42:17,0.98
2021-07-02 04:52:17,1.002
2021-07-02 05:02:17,0.949
2021-07-02 05:12:17,1.005
2021-07-02 05:22:17,0.972
2021-07-02 05:32:17,0.992
2021-07-02 05:42:17,0.95
2021-07-02 05:52:17,1.011
2021-07-02 06:02:17,1.005
2021-07-02 06:12:17,0.937
2021-07-02 06:22:17,1.007
2021-07-02 06:32:17,0.935
2021-07-02 06:42:17,0.949
2021-07-02 06:52:17,0.997
2021-07-02 07:02:17,1.055
2021-07-02 07:12:17,0.97
2021-07-02 07:22:17,1.016
2021-07-02 07:32:17,1.03
2021-07-02 07:42:17,1.038
2021-07-02 07:52:17,1.003
2021-07-02 08:02:17,1.008
2021-07-02 08:12:17,0.975
2021-07-02 08:22:17,1.066
2021-07-02 08:32:17,1.061
2021-07-02 08:42:17,1.074
2021-07-02 08:52:17,1.052
2021-07-02 09:02:17,1.024
2021-07-02 09:12:17,1.065
2021-07-02 09:22:17,1.046
2021-07-02 09:32:17,1.05
2021-07-02 09:42:17,1.045
2021-07-02 09:52:17,1.032
2021-07-02 10:02:17,1.041
2021-07-02 10:12:17,1.036
2021-07-02 10:22:17,1.009
2021-07-02 10:32:17,1.042
2021-07-02 10:42:17,1.078
2021-07-02 10:52:17,1.036
2021-07-02 11:02:17,1.076
2021-07-02 11:12:17,1.046
2021-07-02 11:22:17,0.978
2021-07-02 11:32:17,1.067
2021-07-02 11:42:17,0.999
2021-07-02 11:52:17,0.968
2021-07-02 12:02:17,0.996
2021-07-02 12:12:17,1.005
2021-07-02 12:22:17,1.058
2021-07-02 12:32:17,1.017
2021-07-02 12:42:17,1.041
2021-07-02 12:52:17,1.039
2021-07-02 13:02:17,0.993
2021-07-02 13:12:17,1.086
2021-07-02 13:22:17,1.104
2021-07-02 13:32:17,1.064
2021-07-02 13:42:17,1.075
2021-07-02 13:52:17,1.042
2021-07-02 14:02:17,1.049
2021-07-02 14:12:17,1.12
2021-07-02 14:22:17,1.048
2021-07-02 14:32:17,1.09
2021-07-02 14:42:17,1.087
2021-07-02 14:52:17,1.07
2021-07-02 15:02:17,1.053
2021-07-02 15:12:17,1.031
2021-07-02 15:22:17,1.057
2021-07-02 15:32:17,1.061
2021-07-02 15:42:17,1.037
2021-07-02 15:52:17,1.063
2021-07-02 16:02:17,1.027
2021-07-02 16:12:17,1.003
2021-07-02 16:22:17,1.078
2021-07-02 16:32:17,1.088
2021-07-02 16:42:17,1.04
2021-07-02 16:52:17,1.019
2021-07-02 17:02:17,1.007
2021-07-02 17:12:17,1.014
2021-07-02 17:22:17,1.071
2021-07-02 17:32:17,1.025
2021-07-02 17:42:17,0.999
