Time,Value
2021-07-01 00:07:17,0.961
2021-07-01 00:17:17,0.968
2021-07-01 00:27:17,0.966
2021-07-01 00:37:17,0.918
2021-07-01 00:47:17,0.988
2021-07-01 00:57:17,0.912
2021-07-01 01:07:17,0.998
2021-07-01 01:17:17,0.97
2021-07-01 01:27:17,0.878
2021-07-01 01:37:17,0.931
2021-07-01 01:47:17,1.004
2021-07-01 01:57:17,1.004
2021-07-01 02:08:18,0.0
2021-07-01 02:18:18,0.0
2021-07-01 02:28:17,22.584
2021-07-01 02:37:17,0.0
2021-07-01 02:47:17,0.953
2021-07-01 02:57:17,0.921
2021-07-01 03:07:17,0.942
2021-07-01 03:17:17,0.942
2021-07-01 03:27:17,0.973
2021-07-01 03:37:17,0.983
2021-07-01 03:47:17,0.909
2021-07-01 03:57:17,0.925
2021-07-01 04:07:17,0.955
2021-07-01 04:17:17,0.982
2021-07-01 04:27:17,0.936
2021-07-01 04:37:17,0.968
2021-07-01 04:47:17,1.009
2021-07-01 04:57:17,0.901
2021-07-01 05:07:17,0.952
2021-07-01 05:17:17,0.897
2021-07-01 05:27:17,0.941
2021-07-01 05:37:17,0.897
2021-07-01 05:47:17,0.933
2021-07-01 05:57:17,0.975
2021-07-01 06:07:17,0.926
2021-07-01 06:17:17,0.925
2021-07-01 06:27:17,0.911
2021-07-01 06:37:17,0.957
2021-07-01 06:47:17,0.986
2021-07-01 06:57:17,0.919
2021-07-01 07:07:17,0.911
2021-07-01 07:17:17,0.944
2021-07-01 07:27:17,0.86
2021-07-01 07:37:17,0.868
2021-07-01 07:47:17,0.974
2021-07-01 07:57:17,0.943
2021-07-01 08:07:17,0.859
2021-07-01 08:17:17,0.95
2021-07-01 08:27:17,0.963
2021-07-01 08:37:17,1.011
2021-07-01 08:47:17,0.924
2021-07-01 08:57:17,0.978
2021-07-01 09:07:17,0.969
2021-07-01 09:17:17,0.944
2021-07-01 09:27:17,0.933
2021-07-01 09:37:17,0.983
2021-07-01 09:47:17,0.968
2021-07-01 09:57:17,1.009
2021-07-01 10:07:17,0.956
2021-07-01 10:17:17,0.922
2021-07-01 10:27:17,0.98
2021-07-01 10:37:17,1.006
2021-07-01 10:47:17,0.8
2021-07-01 10:57:17,0.819
2021-07-01 11:07:17,0.984
2021-07-01 11:17:17,0.991
2021-07-01 11:27:17,0.873
2021-07-01 11:37:17,0.9
2021-07-01 11:47:17,0.813
2021-07-01 11:57:17,0.938
2021-07-01 12:07:17,0.867
2021-07-01 12:17:17,1.011
2021-07-01 12:27:17,0.879
2021-07-01 12:37:17,0.967
2021-07-01 12:47:17,0.881
2021-07-01 12:57:17,0.941
2021-07-01 13:07:17,0.927
2021-07-01 13:17:17,0.986
2021-07-01 13:27:17,0.855
2021-07-01 13:37:17,0.905
2021-07-01 13:47:17,0.939
2021-07-01 13:57:17,0.907
2021-07-01 14:07:17,23.98
2021-07-01 14:17:17,0.891
2021-07-01 14:28:35,0.0
2021-07-01 14:38:34,0.0
2021-07-01 14:48:34,22.584
2021-07-01 15:27:18,0.0
2021-07-01 15:37:17,2.068
2021-07-01 15:46:56,0.0
2021-07-01 15:56:55,0.0
2021-07-01 16:06:55,22.584
2021-07-01 16:27:18,0.0
2021-07-01 16:37:17,1.167
2021-07-01 16:47:17,1.071
2021-07-01 16:57:17,1.104
2021-07-01 17:07:17,1.02
2021-07-01 17:17:17,1.048
2021-07-01 17:27:17,1.078
2021-07-01 17:37:17,1.08
2021-07-01 17:47:17,1.088
2021-07-01 17:57:17,0.949
2021-07-01 18:07:17,1.045
2021-07-01 18:17:17,0.967
2021-07-01 18:27:17,0.992
2021-07-01 18:37:17,1.001
2021-07-01 18:47:17,0.905
2021-07-01 18:57:17,1.022
2021-07-01 19:07:17,1.011
2021-07-01 19:17:17,0.989
2021-07-01 19:27:17,1.021
2021-07-01 19:37:17,0.972
2021-07-01 19:47:17,0.97
2021-07-01 19:57:17,1.028
2021-07-01 20:07:17,0.983
2021-07-01 20:17:17,0.981
2021-07-01 20:27:17,0.951
2021-07-01 20:37:17,0.994
2021-07-01 20:47:17,1.007
2021-07-01 20:57:17,1.008
2021-07-01 21:07:17,1.001
2021-07-01 21:17:17,0.921
2021-07-01 21:27:17,0.984
2021-07-01 21:37:17,0.994
2021-07-01 21:47:17,0.948
2021-07-01 21:57:17,1.007
2021-07-01 22:07:17,1.013
2021-07-01 22:17:17,0.957
2021-07-01 22:27:17,0.985
2021-07-01 22:37:17,0.959
2021-07-01 22:47:17,1.032
2021-07-01 22:57:17,1.013
2021-07-01 23:07:17,1.05
2021-07-01 23:17:17,0.978
2021-07-01 23:27:17,1.005
2021-07-01 23:37:17,0.989
2021-07-01 23:47:17,1.014
2021-07-01 23:57:17,1.039
2021-07-02 00:07:17,1.027
2021-07-02 00:17:17,1.063
2021-07-02 00:27:17,1.024
2021-07-02 00:37:17,1.044
2021-07-02 00:47:17,1.028
2021-07-02 00:57:17,1.075
2021-07-02 01:07:17,0.999
2021-07-02 01:17:17,0.972
2021-07-02 01:27:17,0.952
2021-07-02 01:37:17,0.964
2021-07-02 01:47:17,0.991
2021-07-02 01:57:17,1.024
2021-07-02 02:07:17,1.023
2021-07-02 02:17:17,1.057
2021-07-02 02:27:17,1.01
2021-07-02 02:37:17,0.996
2021-07-02 02:47:17,1.046
2021-07-02 02:57:17,1.054
2021-07-02 03:08:19,0.0
2021-07-02 03:18:18,0.0
2021-07-02 03:28:18,22.584
2021-07-02 03:37:18,0.0
2021-07-02 03:47:17,0.998
2021-07-02 03:57:17,1.048
2021-07-02 04:07:17,1.005
2021-07-02 04:17:17,0.989
2021-07-02 04:27:17,1.0
2021-07-02 04:37:17,0.98
2021-07-02 04:47:17,1.075
2021-07-02 04:57:17,1.081
2021-07-02 05:07:17,0.989
2021-07-02 05:17:17,0.953
2021-07-02 05:27:17,0.966
2021-07-02 05:37:17,1.032
2021-07-02 05:47:17,1.026
2021-07-02 05:57:17,1.005
2021-07-02 06:07:17,1.042
2021-07-02 06:17:17,1.046
2021-07-02 06:27:17,0.992
2021-07-02 06:37:17,1.05
2021-07-02 06:47:17,1.041
2021-07-02 06:57:17,1.032
2021-07-02 07:07:17,0.967
2021-07-02 07:17:17,1.078
2021-07-02 07:27:17,0.993
2021-07-02 07:37:17,0.987
2021-07-02 07:47:17,0.983
2021-07-02 07:57:17,1.04
2021-07-02 08:07:17,1.021
2021-07-02 08:17:17,1.05
2021-07-02 08:27:17,1.019
2021-07-02 08:37:17,1.056
2021-07-02 08:47:17,1.081
2021-07-02 08:57:17,1.048
2021-07-02 09:07:17,1.044
2021-07-02 09:17:17,1.053
2021-07-02 09:27:17,1.107
2021-07-02 09:37:17,1.076
2021-07-02 09:47:17,1.053
2021-07-02 09:57:17,1.049
2021-07-02 10:07:17,0.888
2021-07-02 10:17:17,1.056
