Time,Value
2021-07-01 00:07:08,1.233
2021-07-01 00:10:18,0.0
2021-07-01 00:18:27,0.0
2021-07-01 00:28:27,36.48
2021-07-01 00:38:59,0.0
2021-07-01 00:47:08,1.258
2021-07-01 00:57:08,1.236
2021-07-01 01:07:08,1.247
2021-07-01 01:17:08,1.273
2021-07-01 01:27:08,1.242
2021-07-01 01:37:08,1.27
2021-07-01 01:47:08,1.235
2021-07-01 01:57:08,1.3
2021-07-01 02:07:08,1.29
2021-07-01 02:17:08,1.231
2021-07-01 02:27:08,1.259
2021-07-01 02:37:08,1.242
2021-07-01 02:47:08,1.184
2021-07-01 02:57:08,1.196
2021-07-01 03:07:08,1.23
2021-07-01 03:17:08,1.193
2021-07-01 03:27:08,1.212
2021-07-01 03:37:08,1.163
2021-07-01 03:47:08,1.13
2021-07-01 03:57:08,1.203
2021-07-01 04:07:08,1.192
2021-07-01 04:17:08,1.209
2021-07-01 04:27:08,1.156
2021-07-01 04:37:08,1.182
2021-07-01 04:47:08,1.154
2021-07-01 04:57:08,1.175
2021-07-01 05:07:08,1.184
2021-07-01 05:17:08,1.096
2021-07-01 05:27:08,1.075
2021-07-01 05:37:08,1.139
2021-07-01 05:47:08,1.097
2021-07-01 05:57:08,1.081
2021-07-01 06:07:08,1.077
2021-07-01 06:17:08,1.075
2021-07-01 06:27:08,1.047
2021-07-01 06:37:08,1.046
2021-07-01 06:47:08,1.09
2021-07-01 06:57:08,1.065
2021-07-01 07:07:08,1.077
2021-07-01 07:17:08,1.108
2021-07-01 07:27:08,1.066
2021-07-01 07:37:08,1.057
2021-07-01 07:47:08,1.034
2021-07-01 07:57:08,1.051
2021-07-01 08:07:08,1.031
2021-07-01 08:17:08,1.065
2021-07-01 08:27:08,1.087
2021-07-01 08:37:08,1.087
2021-07-01 08:47:08,1.086
2021-07-01 08:57:08,1.067
2021-07-01 09:07:08,1.126
2021-07-01 09:17:08,1.082
2021-07-01 09:27:08,1.079
2021-07-01 09:37:08,1.04
2021-07-01 09:47:08,1.126
2021-07-01 09:57:08,1.091
2021-07-01 10:07:08,1.047
2021-07-01 10:17:08,1.103
2021-07-01 10:27:08,1.081
2021-07-01 10:37:08,1.045
2021-07-01 10:47:08,1.094
2021-07-01 10:57:08,1.089
2021-07-01 11:07:08,1.064
2021-07-01 11:17:08,1.11
2021-07-01 11:27:08,1.126
2021-07-01 11:37:08,1.08
2021-07-01 11:47:08,1.084
2021-07-01 11:57:08,1.036
2021-07-01 12:07:08,1.095
2021-07-01 12:17:08,1.081
2021-07-01 12:27:08,1.059
2021-07-01 12:37:08,1.044
2021-07-01 12:47:08,1.069
2021-07-01 12:57:08,1.071
2021-07-01 13:07:08,1.06
2021-07-01 13:17:08,1.051
2021-07-01 13:27:08,1.102
2021-07-01 13:37:08,1.079
2021-07-01 13:47:08,1.046
2021-07-01 13:57:08,1.089
2021-07-01 14:07:08,1.078
2021-07-01 14:17:08,1.082
2021-07-01 14:36:14,0.0
2021-07-01 15:00:43,0.0
2021-07-01 15:20:10,0.0
2021-07-01 15:28:19,0.0
2021-07-01 15:38:19,36.48
2021-07-01 15:46:43,0.0
2021-07-01 15:54:53,2.036
2021-07-01 16:04:53,1.42
2021-07-01 16:14:53,1.449
2021-07-01 16:24:53,1.394
2021-07-01 16:34:53,1.407
2021-07-01 16:44:53,1.389
2021-07-01 16:54:53,1.403
2021-07-01 17:04:53,1.419
2021-07-01 17:14:53,1.432
2021-07-01 17:24:53,1.405
2021-07-01 17:34:53,1.418
2021-07-01 17:44:53,1.362
2021-07-01 17:54:53,1.394
2021-07-01 18:04:53,1.436
2021-07-01 18:14:53,1.397
2021-07-01 18:24:53,1.428
2021-07-01 18:34:53,1.428
2021-07-01 18:44:53,1.436
2021-07-01 18:54:53,1.454
2021-07-01 19:04:53,1.413
2021-07-01 19:14:53,1.456
2021-07-01 19:24:53,1.386
2021-07-01 19:34:53,1.403
2021-07-01 19:44:53,1.442
2021-07-01 19:54:53,1.405
2021-07-01 20:04:53,1.463
2021-07-01 20:14:53,1.45
2021-07-01 20:24:53,1.393
2021-07-01 20:34:53,1.376
2021-07-01 20:44:53,1.502
2021-07-01 20:54:53,1.393
2021-07-01 21:04:53,1.384
2021-07-01 21:14:53,1.4
2021-07-01 21:24:53,1.429
2021-07-01 21:34:53,1.471
2021-07-01 21:44:53,1.375
2021-07-01 21:54:53,1.398
2021-07-01 22:04:53,1.384
2021-07-01 22:14:53,1.392
2021-07-01 22:24:53,1.392
2021-07-01 22:34:53,1.461
2021-07-01 22:44:53,1.459
2021-07-01 22:54:53,1.456
2021-07-01 23:04:53,1.47
2021-07-01 23:14:53,1.501
2021-07-01 23:18:03,0.0
2021-07-01 23:26:12,0.0
2021-07-01 23:36:12,36.48
2021-07-01 23:48:59,0.0
2021-07-01 23:57:08,1.45
2021-07-02 00:07:08,1.374
2021-07-02 00:17:08,1.453
2021-07-02 00:27:08,1.386
2021-07-02 00:37:08,1.425
2021-07-02 00:47:08,1.437
2021-07-02 00:57:08,1.38
2021-07-02 01:07:08,1.331
2021-07-02 01:17:08,1.31
2021-07-02 01:27:08,1.353
2021-07-02 01:37:08,1.351
2021-07-02 01:47:08,1.421
2021-07-02 01:57:08,1.397
2021-07-02 02:07:08,1.432
2021-07-02 02:17:08,1.379
2021-07-02 02:27:08,1.431
2021-07-02 02:37:08,1.456
2021-07-02 02:47:08,1.431
2021-07-02 02:57:08,1.399
2021-07-02 03:07:08,1.437
2021-07-02 03:17:08,1.417
2021-07-02 03:27:08,1.399
2021-07-02 03:37:08,1.439
2021-07-02 03:47:08,1.421
2021-07-02 03:57:08,1.406
2021-07-02 04:07:08,1.475
2021-07-02 04:17:08,1.454
2021-07-02 04:27:08,1.403
2021-07-02 04:37:08,1.442
2021-07-02 04:47:08,1.429
2021-07-02 04:57:08,1.439
2021-07-02 05:07:08,1.407
2021-07-02 05:17:08,1.39
2021-07-02 05:27:08,1.426
2021-07-02 05:37:08,1.406
2021-07-02 05:47:08,1.417
2021-07-02 05:57:08,1.413
2021-07-02 06:07:08,1.372
2021-07-02 06:17:08,1.415
2021-07-02 06:27:08,1.367
2021-07-02 06:37:08,1.393
