Time,Value
2021-07-01 00:02:08,1.245
2021-07-01 00:13:27,0.0
2021-07-01 00:23:27,0.0
2021-07-01 00:33:27,36.48
2021-07-01 00:42:08,0.0
2021-07-01 00:52:08,1.205
2021-07-01 01:02:08,1.241
2021-07-01 01:12:08,1.302
2021-07-01 01:22:08,1.283
2021-07-01 01:32:08,1.253
2021-07-01 01:42:08,1.297
2021-07-01 01:52:08,1.31
2021-07-01 02:02:08,1.306
2021-07-01 02:12:08,1.25
2021-07-01 02:22:08,1.268
2021-07-01 02:32:08,1.302
2021-07-01 02:42:08,1.242
2021-07-01 02:52:08,1.189
2021-07-01 03:02:08,1.224
2021-07-01 03:12:08,1.215
2021-07-01 03:22:08,1.188
2021-07-01 03:32:08,1.193
2021-07-01 03:42:08,1.169
2021-07-01 03:52:08,1.211
2021-07-01 04:02:08,1.226
2021-07-01 04:12:08,1.185
2021-07-01 04:22:08,1.2
2021-07-01 04:32:08,1.242
2021-07-01 04:42:08,1.22
2021-07-01 04:52:08,1.182
2021-07-01 05:02:08,1.229
2021-07-01 05:12:08,1.203
2021-07-01 05:22:08,1.126
2021-07-01 05:32:08,1.144
2021-07-01 05:42:08,1.129
2021-07-01 05:52:08,1.092
2021-07-01 06:02:08,1.109
2021-07-01 06:12:08,1.131
2021-07-01 06:22:08,1.131
2021-07-01 06:32:08,1.107
2021-07-01 06:42:08,1.09
2021-07-01 06:52:08,1.04
2021-07-01 07:02:08,1.103
2021-07-01 07:12:08,1.105
2021-07-01 07:22:08,1.103
2021-07-01 07:32:08,1.115
2021-07-01 07:42:08,1.055
2021-07-01 07:52:08,1.062
2021-07-01 08:02:08,1.082
2021-07-01 08:12:08,1.056
2021-07-01 08:22:08,1.104
2021-07-01 08:32:08,1.122
2021-07-01 08:42:08,1.08
2021-07-01 08:52:08,1.169
2021-07-01 09:02:08,1.11
2021-07-01 09:12:08,1.113
2021-07-01 09:22:08,1.12
2021-07-01 09:32:08,1.108
2021-07-01 09:42:08,1.108
2021-07-01 09:52:08,1.097
2021-07-01 10:02:08,1.14
2021-07-01 10:12:08,1.111
2021-07-01 10:22:08,1.076
2021-07-01 10:32:08,1.1
2021-07-01 10:42:08,1.104
2021-07-01 10:52:08,1.115
2021-07-01 11:02:08,1.101
