Time,Value
2021-07-01 01:18:00,79.332
2021-07-01 01:58:00,85.799
2021-07-01 02:38:00,77.909
2021-07-01 03:18:00,73.187
2021-07-01 04:38:00,75.305
2021-07-01 05:18:00,73.873
2021-07-01 05:58:00,69.898
2021-07-01 06:38:00,68.95
2021-07-01 07:18:00,66.712
2021-07-01 07:58:00,70.308
2021-07-01 08:38:00,58.874
2021-07-01 09:18:00,64.016
2021-07-01 09:58:00,63.349
2021-07-01 10:38:00,64.735
2021-07-01 11:18:00,71.328
2021-07-01 11:58:00,71.229
2021-07-01 12:38:00,68.314
2021-07-01 13:18:00,67.049
2021-07-01 13:58:00,65.212
2021-07-01 14:38:00,67.016
2021-07-01 15:18:00,65.95
2021-07-01 15:58:00,66.885
2021-07-01 16:38:00,66.334
2021-07-01 17:18:00,66.351
2021-07-01 17:58:00,68.959
2021-07-01 18:38:00,67.521
2021-07-01 19:18:00,67.766
2021-07-01 19:58:00,66.511
2021-07-01 20:38:00,66.976
2021-07-01 21:18:00,70.929
2021-07-01 21:58:00,74.904
2021-07-01 22:38:00,68.481
2021-07-01 23:18:00,75.849
2021-07-01 23:58:00,81.786
2021-07-02 01:18:00,68.289
2021-07-02 01:58:00,70.319
2021-07-02 02:38:00,72.304
2021-07-02 03:18:00,70.889
2021-07-02 04:38:00,73.558
2021-07-02 05:18:00,74.135
2021-07-02 05:58:00,74.504
2021-07-02 06:38:00,70.483
2021-07-02 07:18:00,73.81
2021-07-02 07:58:00,69.882
2021-07-02 08:38:00,72.362
2021-07-02 09:18:00,70.27
2021-07-02 09:58:00,66.675
2021-07-02 10:38:00,68.13
2021-07-02 11:18:00,67.72
2021-07-02 11:58:00,63.146
2021-07-02 12:38:00,64.251
2021-07-02 13:18:00,58.648
2021-07-02 13:58:00,59.848
2021-07-02 14:38:00,56.957
2021-07-02 15:18:00,59.072
2021-07-02 15:58:00,59.345
2021-07-02 16:38:00,58.467
2021-07-02 17:18:00,58.086
2021-07-02 20:38:00,59.124
2021-07-02 21:18:00,56.65
2021-07-02 21:58:00,57.091
2021-07-02 22:38:00,55.847
2021-07-02 23:18:00,56.395
2021-07-02 23:58:00,56.657
2021-07-03 01:19:00,56.647
2021-07-03 01:59:00,55.853
2021-07-03 02:39:00,56.164
2021-07-03 03:19:00,56.373
2021-07-03 04:39:00,56.125
2021-07-03 05:19:00,54.827
2021-07-03 05:59:00,55.154
2021-07-03 06:39:00,54.641
2021-07-03 07:19:00,55.203
2021-07-03 07:59:00,53.782
2021-07-03 08:39:00,55.713
2021-07-03 09:19:00,54.46
2021-07-03 09:59:00,56.091
2021-07-03 10:39:00,54.371
2021-07-03 11:19:00,57.706
2021-07-03 11:59:00,57.509
2021-07-03 12:39:00,55.92
2021-07-03 13:19:00,55.879
2021-07-03 13:59:00,56.882
2021-07-03 14:39:00,56.473
2021-07-03 15:19:00,57.699
2021-07-03 15:59:00,55.978
2021-07-03 16:39:00,56.071
2021-07-03 17:19:00,55.838
2021-07-03 17:59:00,56.514
2021-07-03 18:39:00,56.653
2021-07-03 19:19:00,57.37
2021-07-03 20:39:00,57.014
2021-07-03 21:59:00,56.122
2021-07-03 23:19:00,55.444
2021-07-04 00:39:00,55.534
2021-07-04 01:59:00,55.327
2021-07-04 03:19:00,56.202
2021-07-04 04:39:00,56.528
2021-07-04 05:59:00,57.171
2021-07-04 07:19:00,54.02
2021-07-04 08:39:00,55.009
2021-07-04 09:59:00,55.508
2021-07-04 11:19:00,64.048
2021-07-04 12:39:00,61.168
2021-07-04 13:59:00,62.656
2021-07-04 15:19:00,58.371
2021-07-04 16:39:00,57.57
2021-07-04 18:00:00,56.035
2021-07-04 19:20:00,56.649
2021-07-04 20:00:00,54.688
2021-07-04 20:40:00,55.649
2021-07-04 21:20:00,55.737
2021-07-04 22:00:00,55.413
2021-07-04 22:40:00,58.486
2021-07-04 23:20:00,59.639
2021-07-05 00:00:00,59.223
2021-07-05 01:20:00,61.701
2021-07-05 02:00:00,59.802
2021-07-05 02:40:00,59.34
2021-07-05 03:20:00,58.819
2021-07-05 04:40:00,58.981
2021-07-05 05:20:00,59.461
2021-07-05 06:00:00,59.168
2021-07-05 06:40:00,58.462
2021-07-05 07:20:00,56.532
2021-07-05 08:00:00,56.094
2021-07-05 08:40:00,55.891
2021-07-05 09:20:00,57.917
2021-07-05 10:00:00,59.841
2021-07-05 10:40:00,58.292
2021-07-05 11:20:00,57.891
2021-07-05 12:00:00,59.049
2021-07-05 12:40:00,58.158
2021-07-05 13:20:00,56.566
2021-07-05 14:00:00,58.093
2021-07-05 14:40:00,60.805
2021-07-05 15:20:00,58.187
2021-07-05 16:00:00,58.465
2021-07-05 16:40:00,57.741
2021-07-05 17:20:00,57.882
2021-07-05 18:00:00,58.252
2021-07-05 18:40:00,59.842
2021-07-05 19:20:00,60.09
2021-07-05 20:00:00,61.731
2021-07-05 20:40:00,62.947
2021-07-05 21:20:00,62.267
2021-07-05 22:00:00,64.337
2021-07-05 22:40:00,62.309
2021-07-05 23:20:00,61.701
2021-07-06 00:00:00,61.151
2021-07-06 01:20:00,63.489
2021-07-06 02:00:00,62.773
2021-07-06 02:40:00,63.061
2021-07-06 03:20:00,62.848
2021-07-06 04:40:00,61.84
2021-07-06 05:20:00,60.011
2021-07-06 06:00:00,58.175
2021-07-06 06:40:00,58.699
2021-07-06 07:20:00,58.977
2021-07-06 08:00:00,58.787
2021-07-06 08:40:00,58.44
2021-07-06 09:20:00,57.536
