Time,Value
2021-07-01 00:00:00,77.434
2021-07-01 00:01:00,77.4383
2021-07-01 00:02:00,77.3232
2021-07-01 00:03:00,77.356
2021-07-01 00:04:00,77.0291
2021-07-01 00:05:00,77.0663
2021-07-01 00:06:00,77.0721
2021-07-01 00:07:00,76.9316
2021-07-01 00:08:00,76.7501
2021-07-01 00:09:00,77.0295
2021-07-01 00:10:00,77.1568
2021-07-01 00:11:00,77.1771
2021-07-01 00:12:00,77.0302
2021-07-01 00:13:00,77.0489
2021-07-01 00:14:00,77.0756
2021-07-01 00:15:00,77.1422
2021-07-01 00:16:00,77.0603
2021-07-01 00:17:00,77.0021
2021-07-01 00:18:00,76.9923
2021-07-01 00:19:00,77.0162
2021-07-01 00:20:00,76.6639
2021-07-01 00:21:00,76.4345
2021-07-01 00:22:00,76.6481
2021-07-01 00:23:00,76.7973
2021-07-01 00:24:00,76.4566
2021-07-01 00:25:00,76.5815
2021-07-01 00:26:00,76.8369
2021-07-01 00:27:00,76.7059
2021-07-01 00:28:00,76.4516
2021-07-01 00:29:00,76.1688
2021-07-01 00:30:00,76.2639
2021-07-01 00:31:00,76.1943
2021-07-01 00:32:00,76.179
2021-07-01 00:33:00,76.307
2021-07-01 00:34:00,75.927
2021-07-01 00:35:00,76.2169
2021-07-01 00:36:00,76.1226
2021-07-01 00:37:00,76.2109
2021-07-01 00:38:00,76.3297
2021-07-01 00:39:00,76.2186
2021-07-01 00:40:00,76.3386
2021-07-01 00:41:00,76.2627
2021-07-01 00:42:00,76.157
2021-07-01 00:43:00,76.271
2021-07-01 00:44:00,76.0492
2021-07-01 00:45:00,76.2597
2021-07-01 00:46:00,76.4631
2021-07-01 00:47:00,76.3001
2021-07-01 00:48:00,76.4346
2021-07-01 00:49:00,76.4631
2021-07-01 00:50:00,76.3853
2021-07-01 00:51:00,76.1294
2021-07-01 00:52:00,76.4403
2021-07-01 00:53:00,76.5127
2021-07-01 00:54:00,76.5742
2021-07-01 00:55:00,76.3549
2021-07-01 00:56:00,76.456
2021-07-01 00:57:00,76.3781
2021-07-01 00:58:00,76.4544
2021-07-01 00:59:00,76.4568
2021-07-01 01:00:00,76.4663
2021-07-01 01:01:00,76.2222
2021-07-01 01:02:00,76.5967
2021-07-01 01:03:00,76.2479
2021-07-01 01:04:00,76.527
2021-07-01 01:05:00,76.5334
2021-07-01 01:06:00,76.5601
2021-07-01 01:07:00,76.566
2021-07-01 01:08:00,76.5144
2021-07-01 01:09:00,76.6589
2021-07-01 01:10:00,76.6461
2021-07-01 01:11:00,76.668
2021-07-01 01:12:00,76.7908
2021-07-01 01:13:00,76.851
2021-07-01 01:14:00,76.9579
2021-07-01 01:15:00,77.0102
2021-07-01 01:16:00,77.0609
2021-07-01 01:17:00,77.2347
2021-07-01 01:18:00,77.3877
2021-07-01 01:19:00,77.7353
2021-07-01 01:20:00,77.8415
2021-07-01 01:21:00,78.0167
2021-07-01 01:22:00,78.3187
2021-07-01 01:23:00,78.7841
2021-07-01 01:24:00,79.2184
2021-07-01 01:25:00,79.8971
2021-07-01 01:26:00,80.0466
