Time,Value
2021-07-01 01:58:00,334.812
2021-07-01 02:38:00,334.34
2021-07-01 03:18:00,334.323
2021-07-01 04:38:00,334.034
2021-07-01 05:18:00,334.153
2021-07-01 05:58:00,334.63
2021-07-01 06:38:00,334.594
2021-07-01 07:18:00,334.45
2021-07-01 07:58:00,334.733
2021-07-01 08:38:00,333.636
2021-07-01 09:18:00,333.917
2021-07-01 09:58:00,333.866
2021-07-01 10:38:00,334.107
2021-07-01 11:18:00,334.416
2021-07-01 11:58:00,334.607
2021-07-01 12:38:00,334.696
2021-07-01 13:18:00,334.299
2021-07-01 13:58:00,334.359
2021-07-01 14:38:00,334.518
2021-07-01 15:18:00,334.258
2021-07-01 15:58:00,334.386
2021-07-01 16:38:00,334.284
2021-07-01 17:18:00,334.162
2021-07-01 17:58:00,334.123
2021-07-01 18:38:00,334.251
2021-07-01 19:18:00,334.523
2021-07-01 19:58:00,333.918
2021-07-01 20:38:00,334.651
2021-07-01 21:18:00,334.405
2021-07-01 21:58:00,334.712
2021-07-01 22:38:00,334.161
2021-07-01 23:18:00,334.558
2021-07-01 23:58:00,334.546
2021-07-02 01:58:00,334.135
2021-07-02 02:38:00,334.352
2021-07-02 03:18:00,334.541
2021-07-02 04:38:00,334.637
2021-07-02 05:18:00,334.528
2021-07-02 05:58:00,334.596
2021-07-02 06:38:00,334.5
2021-07-02 07:18:00,334.453
2021-07-02 07:58:00,334.707
2021-07-02 08:38:00,334.212
2021-07-02 09:18:00,334.197
2021-07-02 09:58:00,334.376
2021-07-02 10:38:00,334.489
2021-07-02 11:18:00,334.108
2021-07-02 11:58:00,334.296
2021-07-02 12:38:00,334.024
2021-07-02 13:18:00,333.463
2021-07-02 13:58:00,333.557
2021-07-02 14:38:00,333.428
2021-07-02 15:18:00,333.651
2021-07-02 15:58:00,333.626
2021-07-02 16:38:00,333.762
2021-07-02 17:18:00,333.544
2021-07-02 17:58:00,333.763
2021-07-02 18:38:00,333.852
2021-07-02 19:18:00,333.927
2021-07-02 19:58:00,333.515
2021-07-02 20:38:00,333.503
2021-07-02 21:18:00,333.417
2021-07-02 21:58:00,333.275
2021-07-02 22:38:00,333.801
2021-07-02 23:18:00,333.032
2021-07-02 23:58:00,333.15
2021-07-03 01:59:00,333.776
2021-07-03 02:39:00,333.226
2021-07-03 03:19:00,333.836
2021-07-03 04:39:00,333.319
2021-07-03 05:19:00,333.454
2021-07-03 05:59:00,333.215
2021-07-03 06:39:00,333.625
2021-07-03 07:19:00,333.579
2021-07-03 07:59:00,333.691
2021-07-03 08:39:00,333.522
2021-07-03 09:19:00,333.325
2021-07-03 09:59:00,333.372
2021-07-03 10:39:00,333.397
2021-07-03 11:19:00,333.47
2021-07-03 11:59:00,333.792
2021-07-03 12:39:00,333.655
2021-07-03 13:19:00,333.536
2021-07-03 13:59:00,333.496
2021-07-03 14:39:00,333.867
2021-07-03 15:19:00,333.637
2021-07-03 15:59:00,333.435
2021-07-03 16:39:00,333.651
2021-07-03 17:19:00,333.479
2021-07-03 17:59:00,333.811
2021-07-03 18:39:00,333.547
2021-07-03 19:19:00,333.632
2021-07-03 21:59:00,333.84
2021-07-03 23:19:00,334.019
2021-07-04 00:39:00,333.431
2021-07-04 01:59:00,333.584
2021-07-04 03:19:00,333.984
2021-07-04 04:39:00,334.026
2021-07-04 05:59:00,333.818
2021-07-04 07:19:00,333.493
2021-07-04 08:39:00,333.478
2021-07-04 09:59:00,333.275
2021-07-04 11:19:00,333.894
2021-07-04 12:39:00,334.026
2021-07-04 13:59:00,333.864
2021-07-04 15:19:00,333.529
2021-07-04 20:00:00,333.445
2021-07-04 20:40:00,333.277
2021-07-04 21:20:00,333.304
2021-07-04 22:00:00,333.437
2021-07-04 22:40:00,333.387
2021-07-04 23:20:00,333.494
2021-07-05 00:00:00,333.766
2021-07-05 02:00:00,333.644
2021-07-05 02:40:00,333.614
2021-07-05 03:20:00,333.602
2021-07-05 04:40:00,333.729
2021-07-05 05:20:00,333.962
2021-07-05 06:00:00,333.803
2021-07-05 06:40:00,333.583
2021-07-05 07:20:00,333.853
2021-07-05 08:00:00,333.626
2021-07-05 08:40:00,333.514
2021-07-05 09:20:00,333.283
2021-07-05 10:00:00,333.852
2021-07-05 10:40:00,333.56
2021-07-05 11:20:00,333.798
2021-07-05 12:00:00,333.613
2021-07-05 12:40:00,333.234
2021-07-05 13:20:00,333.53
2021-07-05 14:00:00,333.823
2021-07-05 14:40:00,333.757
2021-07-05 15:20:00,333.47
2021-07-05 16:00:00,333.61
2021-07-05 16:40:00,333.694
2021-07-05 17:20:00,333.665
2021-07-05 18:00:00,333.44
2021-07-05 18:40:00,334.441
2021-07-05 19:20:00,334.116
2021-07-05 20:40:00,333.84
2021-07-05 21:20:00,334.104
2021-07-05 22:00:00,333.908
2021-07-05 22:40:00,333.914
2021-07-05 23:20:00,333.982
2021-07-06 00:00:00,333.931
2021-07-06 02:00:00,333.813
2021-07-06 02:40:00,334.001
2021-07-06 03:20:00,334.156
2021-07-06 04:40:00,334.313
2021-07-06 05:20:00,334.19
2021-07-06 06:00:00,334.033
2021-07-06 06:40:00,333.694
2021-07-06 07:20:00,333.578
2021-07-06 08:00:00,333.704
2021-07-06 08:40:00,334.028
2021-07-06 09:20:00,333.982
2021-07-06 10:00:00,333.575
2021-07-06 10:40:00,333.588
2021-07-06 11:20:00,333.543
2021-07-06 12:00:00,333.787
2021-07-06 12:40:00,333.915
2021-07-06 13:20:00,333.619
2021-07-06 14:01:00,333.734
2021-07-06 14:41:00,333.586
2021-07-06 15:21:00,333.724
2021-07-06 16:01:00,333.763
2021-07-06 16:41:00,333.282
2021-07-06 17:21:00,333.341
2021-07-06 18:01:00,333.662
2021-07-06 18:41:00,333.783
2021-07-06 19:21:00,333.431
2021-07-06 20:01:00,333.578
2021-07-06 20:41:00,333.591
2021-07-06 21:21:00,333.572
2021-07-06 22:01:00,333.731
2021-07-06 22:41:00,333.703
2021-07-06 23:21:00,333.686
2021-07-07 00:01:00,333.79
2021-07-07 02:01:00,335.419
2021-07-07 02:41:00,333.307
2021-07-07 06:01:00,333.842
2021-07-07 06:41:00,333.619
2021-07-07 07:21:00,333.895
2021-07-07 08:41:00,333.727
2021-07-07 09:21:00,333.782
2021-07-07 10:01:00,333.74
2021-07-07 10:41:00,333.606
2021-07-07 11:21:00,334.26
2021-07-07 12:01:00,333.515
2021-07-07 12:41:00,333.584
2021-07-07 13:21:00,333.82
2021-07-07 14:01:00,333.892
2021-07-07 14:41:00,333.551
2021-07-07 15:21:00,333.687
2021-07-07 16:01:00,333.892
2021-07-07 16:41:00,333.762
2021-07-07 17:21:00,333.767
2021-07-07 18:01:00,333.879
2021-07-07 18:41:00,333.728
2021-07-07 19:21:00,333.879
2021-07-07 20:01:00,333.727
2021-07-07 20:41:00,333.946
2021-07-07 21:21:00,333.951
2021-07-07 22:01:00,334.032
2021-07-07 22:41:00,333.729
2021-07-07 23:21:00,334.028
2021-07-08 00:01:00,333.923
2021-07-08 02:01:00,333.785
2021-07-08 02:41:00,333.982
2021-07-08 03:21:00,334.102
2021-07-08 04:41:00,333.829
2021-07-08 05:21:00,333.785
2021-07-08 06:02:00,334.074
2021-07-08 06:42:00,334.086
2021-07-08 08:02:00,334.415
2021-07-08 08:42:00,334.273
2021-07-08 09:22:00,334.102
2021-07-08 10:02:00,334.034
2021-07-08 10:42:00,333.899
2021-07-08 11:22:00,333.716
2021-07-08 12:02:00,333.682
2021-07-08 12:42:00,333.867
2021-07-08 13:22:00,333.515
2021-07-08 14:02:00,333.642
2021-07-08 14:42:00,333.488
2021-07-08 16:02:00,333.853
2021-07-08 16:42:00,333.944
2021-07-08 17:22:00,333.915
2021-07-08 18:02:00,333.81
2021-07-08 18:42:00,333.746
2021-07-08 19:22:00,333.553
2021-07-08 20:02:00,333.685
2021-07-08 20:42:00,333.39
2021-07-08 21:22:00,333.633
2021-07-08 22:02:00,333.68
2021-07-08 22:42:00,333.772
2021-07-08 23:22:00,333.817
2021-07-09 00:02:00,334.655
2021-07-09 02:02:00,334.506
2021-07-09 02:42:00,334.604
2021-07-09 03:22:00,334.482
2021-07-09 04:42:00,333.937
2021-07-09 05:22:00,334.02
2021-07-09 06:02:00,333.931
2021-07-09 06:42:00,334.094
2021-07-09 07:22:00,334.072
2021-07-09 08:02:00,333.666
2021-07-09 08:42:00,333.93
2021-07-09 09:22:00,334.107
2021-07-09 10:02:00,333.85
2021-07-09 10:42:00,334.017
2021-07-09 11:22:00,334.078
2021-07-09 12:02:00,334.068
2021-07-09 12:42:00,333.971
2021-07-09 13:22:00,333.826
2021-07-09 14:02:00,333.911
2021-07-09 14:42:00,333.84
2021-07-09 15:22:00,333.568
2021-07-09 16:02:00,333.833
2021-07-09 16:42:00,333.852
2021-07-09 17:22:00,333.689
2021-07-09 18:02:00,333.733
2021-07-09 18:42:00,333.994
2021-07-09 19:22:00,333.514
2021-07-09 20:02:00,333.74
2021-07-09 20:42:00,333.756
2021-07-09 21:22:00,333.671
2021-07-09 22:02:00,333.692
2021-07-09 22:42:00,333.79
2021-07-09 23:22:00,333.741
