Time,Value
2021-07-01 00:00:57,22.727
2021-07-01 00:01:57,22.741
2021-07-01 00:02:57,22.741
2021-07-01 00:03:57,22.737
2021-07-01 00:04:57,22.741
2021-07-01 00:05:57,22.734
2021-07-01 00:06:57,22.744
2021-07-01 00:07:57,22.759
2021-07-01 00:08:57,22.734
2021-07-01 00:09:57,22.741
2021-07-01 00:10:57,22.734
2021-07-01 00:11:57,22.741
2021-07-01 00:12:57,22.744
2021-07-01 00:13:57,22.748
2021-07-01 00:14:57,22.734
2021-07-01 00:15:57,22.737
2021-07-01 00:16:57,22.751
2021-07-01 00:17:57,22.741
2021-07-01 00:18:57,22.744
2021-07-01 00:19:57,22.755
2021-07-01 00:20:57,22.73
2021-07-01 00:21:57,22.737
2021-07-01 00:22:57,22.709
2021-07-01 00:23:57,22.737
2021-07-01 00:24:57,22.73
2021-07-01 00:25:57,22.727
2021-07-01 00:26:57,22.73
2021-07-01 00:27:57,22.737
2021-07-01 00:28:57,22.751
2021-07-01 00:29:57,22.748
2021-07-01 00:30:57,22.751
2021-07-01 00:31:57,22.766
2021-07-01 00:32:57,22.759
2021-07-01 00:33:57,22.766
2021-07-01 00:34:57,22.78
2021-07-01 00:35:57,22.783
2021-07-01 00:36:57,22.794
2021-07-01 00:37:57,22.801
2021-07-01 00:38:57,22.837
2021-07-01 00:39:57,22.84
2021-07-01 00:40:57,22.858
2021-07-01 00:41:57,22.858
2021-07-01 00:42:57,22.879
2021-07-01 00:43:57,22.901
2021-07-01 00:44:57,22.915
2021-07-01 00:45:57,22.918
2021-07-01 00:46:57,22.95
2021-07-01 00:47:57,22.964
2021-07-01 00:48:57,22.961
2021-07-01 00:49:57,22.993
2021-07-01 00:50:57,23.0
2021-07-01 00:51:57,23.007
2021-07-01 00:52:57,23.035
2021-07-01 00:53:57,23.05
2021-07-01 00:54:57,23.067
2021-07-01 00:55:57,23.103
2021-07-01 00:56:57,23.121
2021-07-01 00:57:57,23.145
2021-07-01 00:58:57,23.167
2021-07-01 00:59:57,23.188
2021-07-01 01:00:57,23.191
2021-07-01 01:01:57,23.213
2021-07-01 01:02:57,23.227
2021-07-01 01:03:57,23.227
2021-07-01 01:04:57,23.259
2021-07-01 01:05:57,23.252
2021-07-01 01:06:57,23.255
2021-07-01 01:07:57,23.294
2021-07-01 01:08:57,23.309
2021-07-01 01:09:57,23.323
2021-07-01 01:10:57,23.326
2021-07-01 01:11:57,23.351
2021-07-01 01:12:57,23.358
2021-07-01 01:13:57,23.365
2021-07-01 01:14:58,23.38
2021-07-01 01:15:57,23.387
2021-07-01 01:16:58,23.408
2021-07-01 01:17:57,23.404
2021-07-01 01:18:58,23.397
2021-07-01 01:19:57,23.422
2021-07-01 01:20:58,23.408
2021-07-01 01:21:57,23.433
2021-07-01 01:22:58,23.447
2021-07-01 01:23:57,23.44
2021-07-01 01:24:58,23.433
2021-07-01 01:25:57,23.426
2021-07-01 01:26:58,23.436
2021-07-01 01:27:57,23.426
2021-07-01 01:28:58,23.422
2021-07-01 01:29:57,23.433
2021-07-01 01:30:58,23.422
2021-07-01 01:31:57,23.419
2021-07-01 01:32:58,23.426
2021-07-01 01:33:57,23.404
2021-07-01 01:34:58,23.412
2021-07-01 01:35:57,23.401
2021-07-01 01:36:58,23.404
2021-07-01 01:37:57,23.39
2021-07-01 01:38:58,23.376
2021-07-01 01:39:57,23.369
2021-07-01 01:41:57,23.355
2021-07-01 01:42:57,23.355
2021-07-01 01:43:57,23.337
2021-07-01 01:44:57,23.319
2021-07-01 01:45:57,23.326
2021-07-01 01:46:57,23.309
2021-07-01 01:47:57,23.309
2021-07-01 01:48:57,23.298
2021-07-01 01:49:57,23.294
2021-07-01 01:50:57,23.277
2021-07-01 01:51:58,23.277
2021-07-01 01:52:57,23.27
2021-07-01 01:53:58,23.266
2021-07-01 01:54:57,23.259
2021-07-01 01:55:58,23.262
2021-07-01 01:56:57,23.248
2021-07-01 01:57:58,23.238
2021-07-01 01:58:57,23.241
2021-07-01 01:59:58,23.223
2021-07-01 02:00:57,23.209
2021-07-01 02:01:57,23.206
2021-07-01 02:02:57,23.202
