Time,Value
2021-07-01 00:00:57,23.51
2021-07-01 00:01:57,23.493
2021-07-01 00:02:57,23.504
2021-07-01 00:03:57,23.487
2021-07-01 00:04:57,23.493
2021-07-01 00:05:57,23.507
2021-07-01 00:06:57,23.493
2021-07-01 00:07:57,23.493
2021-07-01 00:08:57,23.476
2021-07-01 00:09:57,23.493
2021-07-01 00:10:57,23.493
2021-07-01 00:11:57,23.504
2021-07-01 00:12:57,23.496
2021-07-01 00:13:57,23.487
2021-07-01 00:14:57,23.479
2021-07-01 00:15:57,23.482
2021-07-01 00:16:57,23.493
2021-07-01 00:17:57,23.479
2021-07-01 00:18:57,23.476
2021-07-01 00:19:57,23.493
2021-07-01 00:20:57,23.49
2021-07-01 00:21:57,23.49
2021-07-01 00:22:57,23.51
2021-07-01 00:23:57,23.51
2021-07-01 00:24:57,23.535
2021-07-01 00:25:57,23.543
2021-07-01 00:26:57,23.56
2021-07-01 00:27:57,23.615
2021-07-01 00:28:57,23.632
2021-07-01 00:29:57,23.652
2021-07-01 00:30:57,23.665
2021-07-01 00:31:57,23.685
2021-07-01 00:32:57,23.716
2021-07-01 00:33:57,23.738
2021-07-01 00:34:57,23.763
2021-07-01 00:35:57,23.782
2021-07-01 00:36:57,23.819
2021-07-01 00:37:57,23.819
2021-07-01 00:38:57,23.841
2021-07-01 00:39:57,23.871
2021-07-01 00:40:57,23.902
2021-07-01 00:41:57,23.944
2021-07-01 00:42:57,23.972
2021-07-01 00:43:57,23.972
2021-07-01 00:44:57,23.997
2021-07-01 00:45:57,24.011
2021-07-01 00:46:57,24.016
2021-07-01 00:47:57,24.039
2021-07-01 00:48:57,24.064
2021-07-01 00:49:57,24.053
2021-07-01 00:50:57,24.105
2021-07-01 00:51:57,24.117
2021-07-01 00:52:57,24.092
2021-07-01 00:53:57,24.066
2021-07-01 00:54:57,24.08
2021-07-01 00:55:57,24.083
2021-07-01 00:56:57,24.097
2021-07-01 00:57:57,24.075
2021-07-01 00:58:57,24.092
2021-07-01 00:59:57,24.094
2021-07-01 01:00:57,24.1
2021-07-01 01:01:57,24.094
2021-07-01 01:02:57,24.103
2021-07-01 01:03:57,24.094
2021-07-01 01:04:57,24.105
2021-07-01 01:05:57,24.122
2021-07-01 01:06:57,24.119
2021-07-01 01:07:57,24.117
2021-07-01 01:08:57,24.105
2021-07-01 01:09:57,24.117
2021-07-01 01:10:57,24.111
2021-07-01 01:11:57,24.122
2021-07-01 01:12:57,24.133
2021-07-01 01:13:57,24.125
2021-07-01 01:14:58,24.139
2021-07-01 01:15:57,24.145
2021-07-01 01:16:58,24.133
2021-07-01 01:17:57,24.125
2021-07-01 01:18:58,24.139
2021-07-01 01:19:57,24.131
2021-07-01 01:20:58,24.117
2021-07-01 01:21:57,24.133
2021-07-01 01:22:58,24.156
2021-07-01 01:23:57,24.142
2021-07-01 01:24:58,24.131
2021-07-01 01:25:57,24.1
2021-07-01 01:26:58,24.094
2021-07-01 01:27:57,24.072
2021-07-01 01:28:58,24.033
2021-07-01 01:29:57,24.016
2021-07-01 01:30:58,24.005
2021-07-01 01:31:57,23.994
2021-07-01 01:32:58,23.972
2021-07-01 01:33:57,23.952
2021-07-01 01:34:58,23.949
2021-07-01 01:35:57,23.944
2021-07-01 01:36:58,23.955
2021-07-01 01:37:57,23.938
2021-07-01 01:38:58,23.91
2021-07-01 01:39:57,23.894
2021-07-01 01:41:57,23.877
2021-07-01 01:42:57,23.871
2021-07-01 01:43:57,23.863
2021-07-01 01:44:57,23.858
2021-07-01 01:45:57,23.838
2021-07-01 01:46:57,23.832
2021-07-01 01:47:57,23.832
2021-07-01 01:48:57,23.838
2021-07-01 01:49:57,23.827
2021-07-01 01:50:57,23.838
2021-07-01 01:51:58,23.832
2021-07-01 01:52:57,23.821
2021-07-01 01:53:58,23.81
2021-07-01 01:54:57,23.805
2021-07-01 01:55:58,23.788
2021-07-01 01:56:57,23.777
2021-07-01 01:57:58,23.78
2021-07-01 01:58:57,23.777
2021-07-01 01:59:58,23.782
2021-07-01 02:00:57,23.788
2021-07-01 02:01:57,23.78
2021-07-01 02:02:57,23.777
2021-07-01 02:03:57,23.766
2021-07-01 02:04:57,23.771
2021-07-01 02:06:57,23.766
2021-07-01 02:07:58,23.763
2021-07-01 02:08:57,23.768
2021-07-01 02:09:58,23.76
2021-07-01 02:10:57,23.738
2021-07-01 02:11:58,23.741
2021-07-01 02:12:57,23.754
2021-07-01 02:13:58,23.735
2021-07-01 02:14:57,23.749
2021-07-01 02:15:58,23.738
2021-07-01 02:16:57,23.732
2021-07-01 02:17:58,23.738
2021-07-01 02:18:57,23.754
2021-07-01 02:19:58,23.754
2021-07-01 02:20:57,23.757
2021-07-01 02:21:58,23.752
2021-07-01 02:22:57,23.743
2021-07-01 02:23:58,23.732
2021-07-01 02:24:57,23.727
2021-07-01 02:26:57,23.721
2021-07-01 02:27:57,23.727
2021-07-01 02:28:57,23.741
2021-07-01 02:29:57,23.713
2021-07-01 02:30:57,23.713
2021-07-01 02:31:57,23.716
2021-07-01 02:32:57,23.721
2021-07-01 02:33:57,23.704
2021-07-01 02:34:57,23.71
2021-07-01 02:35:57,23.71
2021-07-01 02:36:57,23.704
2021-07-01 02:37:57,23.704
2021-07-01 02:38:57,23.721
2021-07-01 02:39:57,23.721
2021-07-01 02:40:57,23.718
2021-07-01 02:41:57,23.721
2021-07-01 02:42:57,23.718
2021-07-01 02:43:57,23.721
2021-07-01 02:44:57,23.718
2021-07-01 02:45:57,23.693
2021-07-01 02:46:57,23.693
2021-07-01 02:47:57,23.688
2021-07-01 02:48:57,23.699
2021-07-01 02:49:57,23.699
2021-07-01 02:50:57,23.704
2021-07-01 02:51:57,23.693
2021-07-01 02:52:57,23.693
2021-07-01 02:53:57,23.704
2021-07-01 02:54:57,23.704
2021-07-01 02:55:57,23.699
2021-07-01 02:56:57,23.693
2021-07-01 02:57:57,23.682
2021-07-01 02:58:57,23.699
2021-07-01 02:59:57,23.696
2021-07-01 03:00:57,23.69
2021-07-01 03:01:57,23.688
2021-07-01 03:02:57,23.69
2021-07-01 03:03:57,23.696
2021-07-01 03:04:57,23.682
2021-07-01 03:05:57,23.682
2021-07-01 03:06:57,23.671
2021-07-01 03:08:57,23.677
2021-07-01 03:09:58,23.668
2021-07-01 03:10:57,23.654
2021-07-01 03:11:58,23.654
2021-07-01 03:12:57,23.665
2021-07-01 03:13:58,23.665
2021-07-01 03:14:57,23.646
2021-07-01 03:15:58,23.649
2021-07-01 03:16:57,23.654
2021-07-01 03:18:57,23.677
2021-07-01 03:19:57,23.693
2021-07-01 03:20:57,23.665
2021-07-01 03:21:57,23.66
2021-07-01 03:22:57,23.649
2021-07-01 03:23:57,23.654
2021-07-01 03:24:57,23.649
2021-07-01 03:25:57,23.654
2021-07-01 03:26:57,23.665
2021-07-01 03:27:57,23.654
2021-07-01 03:28:58,23.632
2021-07-01 03:29:58,23.632
2021-07-01 03:30:57,23.638
2021-07-01 03:31:57,23.649
2021-07-01 03:32:57,23.654
2021-07-01 03:33:57,23.671
2021-07-01 03:34:57,23.66
2021-07-01 03:35:57,23.643
2021-07-01 03:36:57,23.643
2021-07-01 03:37:57,23.632
2021-07-01 03:38:57,23.626
2021-07-01 03:39:57,23.638
2021-07-01 03:40:57,23.654
2021-07-01 03:41:57,23.643
2021-07-01 03:42:57,23.638
2021-07-01 03:43:57,23.638
2021-07-01 03:44:58,23.638
2021-07-01 03:45:58,23.632
2021-07-01 03:46:58,23.626
2021-07-01 03:47:58,23.626
2021-07-01 03:48:58,23.632
2021-07-01 03:49:58,23.626
2021-07-01 03:50:57,23.621
2021-07-01 03:51:57,23.615
2021-07-01 03:52:57,23.61
2021-07-01 03:53:57,23.615
2021-07-01 03:54:57,23.615
2021-07-01 03:55:57,23.621
2021-07-01 03:56:58,23.615
2021-07-01 03:57:57,23.621
2021-07-01 03:58:57,23.621
2021-07-01 03:59:57,23.638
2021-07-01 04:00:57,23.615
2021-07-01 04:01:58,23.61
2021-07-01 04:02:57,23.587
2021-07-01 04:03:57,23.61
2021-07-01 04:04:57,23.621
2021-07-01 04:05:58,23.599
2021-07-01 04:06:57,23.604
2021-07-01 04:07:57,23.599
2021-07-01 04:08:57,23.61
2021-07-01 04:09:57,23.61
2021-07-01 04:10:57,23.613
2021-07-01 04:11:57,23.615
2021-07-01 04:12:57,23.604
2021-07-01 04:13:57,23.615
2021-07-01 04:14:57,23.621
2021-07-01 04:15:57,23.621
2021-07-01 04:16:57,23.618
2021-07-01 04:17:57,23.61
2021-07-01 04:18:57,23.624
2021-07-01 04:19:57,23.626
2021-07-01 04:20:57,23.621
2021-07-01 04:21:57,23.621
2021-07-01 04:22:57,23.607
2021-07-01 04:23:57,23.599
2021-07-01 04:24:57,23.599
2021-07-01 04:25:57,23.621
2021-07-01 04:26:57,23.626
2021-07-01 04:27:57,23.615
2021-07-01 04:28:57,23.613
2021-07-01 04:29:58,23.615
2021-07-01 04:30:57,23.635
2021-07-01 04:31:57,23.629
2021-07-01 04:32:57,23.615
2021-07-01 04:33:57,23.618
2021-07-01 04:34:58,23.615
2021-07-01 04:35:58,23.626
2021-07-01 04:36:58,23.635
2021-07-01 04:37:57,23.643
2021-07-01 04:38:57,23.624
2021-07-01 04:39:57,23.621
2021-07-01 04:40:57,23.615
2021-07-01 04:41:57,23.626
2021-07-01 04:42:58,23.61
2021-07-01 04:43:57,23.61
2021-07-01 04:44:57,23.626
2021-07-01 04:45:58,23.632
2021-07-01 04:46:58,23.654
2021-07-01 04:47:57,23.66
2021-07-01 04:48:57,23.649
2021-07-01 04:49:57,23.649
2021-07-01 04:50:57,23.638
2021-07-01 04:51:57,23.615
2021-07-01 04:52:57,23.626
2021-07-01 04:53:58,23.61
2021-07-01 04:54:58,23.621
2021-07-01 04:55:58,23.615
2021-07-01 04:56:57,23.621
2021-07-01 04:57:57,23.599
2021-07-01 04:58:58,23.599
2021-07-01 04:59:58,23.621
2021-07-01 05:00:58,23.621
2021-07-01 05:01:58,23.615
2021-07-01 05:02:58,23.621
2021-07-01 05:03:58,23.618
2021-07-01 05:04:58,23.632
2021-07-01 05:05:58,23.626
2021-07-01 05:06:58,23.649
2021-07-01 05:07:58,23.649
2021-07-01 05:08:58,23.654
2021-07-01 05:09:57,23.638
2021-07-01 05:10:57,23.643
2021-07-01 05:11:57,23.643
2021-07-01 05:12:57,23.626
2021-07-01 05:13:58,23.621
2021-07-01 05:14:58,23.638
2021-07-01 05:15:58,23.632
2021-07-01 05:16:58,23.626
2021-07-01 05:17:58,23.635
2021-07-01 05:18:58,23.632
2021-07-01 05:19:58,23.638
2021-07-01 05:20:58,23.626
2021-07-01 05:21:58,23.632
2021-07-01 05:22:57,23.624
2021-07-01 05:23:57,23.626
2021-07-01 05:24:57,23.632
2021-07-01 05:25:58,23.632
2021-07-01 05:26:58,23.615
2021-07-01 05:27:57,23.607
2021-07-01 05:28:57,23.618
2021-07-01 05:29:58,23.626
2021-07-01 05:30:57,23.615
2021-07-01 05:31:58,23.632
2021-07-01 05:32:57,23.629
2021-07-01 05:33:57,23.638
2021-07-01 05:34:58,23.643
2021-07-01 05:35:57,23.624
2021-07-01 05:36:57,23.624
2021-07-01 05:37:57,23.593
2021-07-01 05:38:57,23.615
2021-07-01 05:39:57,23.618
2021-07-01 05:40:57,23.618
2021-07-01 05:41:57,23.626
2021-07-01 05:42:57,23.626
2021-07-01 05:43:57,23.626
2021-07-01 05:44:57,23.638
2021-07-01 05:45:57,23.624
2021-07-01 05:46:57,23.601
2021-07-01 05:47:57,23.599
2021-07-01 05:48:57,23.604
2021-07-01 05:49:57,23.604
2021-07-01 05:50:57,23.601
2021-07-01 05:51:57,23.596
2021-07-01 05:52:57,23.593
2021-07-01 05:53:57,23.59
2021-07-01 05:54:57,23.582
2021-07-01 05:55:57,23.582
2021-07-01 05:56:57,23.587
2021-07-01 05:57:57,23.576
2021-07-01 05:58:57,23.587
2021-07-01 05:59:57,23.587
2021-07-01 06:00:57,23.587
2021-07-01 06:01:57,23.593
2021-07-01 06:02:57,23.599
2021-07-01 06:03:57,23.593
2021-07-01 06:04:57,23.587
2021-07-01 06:05:57,23.571
2021-07-01 06:06:57,23.576
2021-07-01 06:07:57,23.587
2021-07-01 06:08:57,23.568
2021-07-01 06:09:57,23.565
2021-07-01 06:10:57,23.565
2021-07-01 06:11:57,23.562
2021-07-01 06:12:57,23.571
2021-07-01 06:13:57,23.593
2021-07-01 06:14:57,23.585
2021-07-01 06:15:57,23.587
2021-07-01 06:16:58,23.593
2021-07-01 06:17:58,23.604
2021-07-01 06:18:58,23.604
2021-07-01 06:19:57,23.61
2021-07-01 06:20:58,23.615
2021-07-01 06:21:58,23.61
2021-07-01 06:22:57,23.61
2021-07-01 06:23:58,23.626
2021-07-01 06:24:57,23.626
2021-07-01 06:25:58,23.621
2021-07-01 06:26:58,23.621
2021-07-01 06:27:57,23.626
2021-07-01 06:28:57,23.629
2021-07-01 06:29:57,23.621
2021-07-01 06:30:57,23.626
2021-07-01 06:31:57,23.624
2021-07-01 06:32:57,23.646
2021-07-01 06:33:57,23.64
2021-07-01 06:34:57,23.638
2021-07-01 06:35:58,23.638
2021-07-01 06:36:58,23.629
2021-07-01 06:37:58,23.624
2021-07-01 06:38:58,23.624
2021-07-01 06:39:58,23.629
2021-07-01 06:40:58,23.643
2021-07-01 06:41:58,23.665
2021-07-01 06:42:58,23.668
2021-07-01 06:43:58,23.652
2021-07-01 06:44:58,23.663
2021-07-01 06:45:58,23.66
2021-07-01 06:46:58,23.652
2021-07-01 06:47:57,23.649
2021-07-01 06:49:58,23.649
2021-07-01 06:50:58,23.646
2021-07-01 06:51:58,23.649
2021-07-01 06:52:57,23.663
2021-07-01 06:53:57,23.693
2021-07-01 06:54:57,23.677
2021-07-01 06:55:57,23.682
2021-07-01 06:56:57,23.688
2021-07-01 06:57:57,23.671
2021-07-01 06:58:58,23.665
2021-07-01 06:59:58,23.66
2021-07-01 07:00:57,23.654
2021-07-01 07:01:58,23.671
2021-07-01 07:02:57,23.671
2021-07-01 07:03:58,23.66
2021-07-01 07:04:57,23.679
2021-07-01 07:05:58,23.693
2021-07-01 07:06:58,23.693
2021-07-01 07:07:58,23.699
2021-07-01 07:08:58,23.679
2021-07-01 07:09:58,23.685
2021-07-01 07:10:57,23.693
2021-07-01 07:11:57,23.677
2021-07-01 07:12:57,23.677
2021-07-01 07:13:57,23.671
2021-07-01 07:14:57,23.674
2021-07-01 07:15:57,23.665
2021-07-01 07:16:57,23.66
2021-07-01 07:17:57,23.654
2021-07-01 07:18:57,23.657
2021-07-01 07:19:58,23.688
2021-07-01 07:20:58,23.677
2021-07-01 07:21:58,23.665
2021-07-01 07:22:58,23.665
2021-07-01 07:23:58,23.671
2021-07-01 07:24:58,23.696
2021-07-01 07:25:58,23.682
2021-07-01 07:26:58,23.685
2021-07-01 07:27:58,23.677
2021-07-01 07:28:58,23.688
2021-07-01 07:29:58,23.685
2021-07-01 07:30:58,23.696
2021-07-01 07:31:57,23.699
2021-07-01 07:32:57,23.696
2021-07-01 07:33:57,23.693
2021-07-01 07:34:58,23.699
2021-07-01 07:35:57,23.699
2021-07-01 07:36:58,23.718
2021-07-01 07:37:57,23.724
2021-07-01 07:38:58,23.724
2021-07-01 07:39:58,23.716
2021-07-01 07:40:57,23.704
2021-07-01 07:41:57,23.71
2021-07-01 07:42:57,23.721
2021-07-01 07:43:57,23.718
2021-07-01 07:44:58,23.71
2021-07-01 07:45:58,23.702
2021-07-01 07:46:58,23.688
2021-07-01 07:47:58,23.693
2021-07-01 07:48:58,23.699
2021-07-01 07:49:57,23.707
2021-07-01 07:50:57,23.727
2021-07-01 07:51:57,23.716
2021-07-01 07:52:57,23.716
2021-07-01 07:53:57,23.721
2021-07-01 07:54:57,23.732
2021-07-01 07:55:57,23.716
2021-07-01 07:56:57,23.721
2021-07-01 07:57:57,23.735
2021-07-01 07:58:57,23.721
