Time,Value
2021-07-01 00:00:57,31.726
2021-07-01 00:01:57,31.781
2021-07-01 00:02:57,31.781
2021-07-01 00:03:57,31.773
2021-07-01 00:04:57,31.781
2021-07-01 00:05:57,31.733
2021-07-01 00:06:57,31.748
2021-07-01 00:07:57,31.733
2021-07-01 00:08:57,31.718
2021-07-01 00:09:57,31.74
2021-07-01 00:10:57,31.74
2021-07-01 00:11:57,31.733
2021-07-01 00:12:57,31.85
2021-07-01 00:13:57,31.751
2021-07-01 00:14:57,31.74
2021-07-01 00:15:57,31.835
2021-07-01 00:16:57,31.733
2021-07-01 00:17:57,31.715
2021-07-01 00:18:57,31.821
2021-07-01 00:19:57,31.795
2021-07-01 00:20:57,31.846
2021-07-01 00:21:57,31.832
2021-07-01 00:22:57,31.579
2021-07-01 00:23:57,30.496
2021-07-01 00:24:57,29.713
2021-07-01 00:25:57,29.398
2021-07-01 00:26:57,29.211
2021-07-01 00:27:57,29.083
2021-07-01 00:28:57,28.973
2021-07-01 00:29:57,28.842
2021-07-01 00:30:57,28.695
2021-07-01 00:31:57,28.552
2021-07-01 00:32:57,28.508
2021-07-01 00:33:57,28.505
2021-07-01 00:34:57,28.483
2021-07-01 00:35:57,28.468
2021-07-01 00:36:57,28.428
2021-07-01 00:37:57,28.34
2021-07-01 00:38:57,28.234
2021-07-01 00:39:57,28.12
2021-07-01 00:40:57,28.088
2021-07-01 00:41:57,28.124
2021-07-01 00:42:57,28.135
2021-07-01 00:43:57,28.139
2021-07-01 00:44:57,28.088
2021-07-01 00:45:57,27.981
2021-07-01 00:46:57,27.875
2021-07-01 00:47:57,27.839
2021-07-01 00:48:57,27.883
2021-07-01 00:49:57,27.901
2021-07-01 00:50:57,27.908
2021-07-01 00:51:57,27.927
2021-07-01 00:52:57,27.754
2021-07-01 00:53:57,26.448
2021-07-01 00:54:57,21.898
2021-07-01 00:55:57,17.378
2021-07-01 00:56:57,14.102
2021-07-01 00:57:57,12.353
2021-07-01 00:58:57,11.09
2021-07-01 00:59:57,10.241
2021-07-01 01:00:57,9.586
2021-07-01 01:01:57,8.997
2021-07-01 01:02:57,8.576
2021-07-01 01:03:57,8.188
2021-07-01 01:04:57,7.873
2021-07-01 01:05:57,7.551
2021-07-01 01:06:57,7.349
2021-07-01 01:07:57,7.108
2021-07-01 01:08:57,6.899
2021-07-01 01:09:57,6.687
2021-07-01 01:10:57,6.522
2021-07-01 01:11:57,6.387
2021-07-01 01:12:57,6.226
2021-07-01 01:13:57,6.105
2021-07-01 01:14:58,5.951
2021-07-01 01:15:57,6.043
2021-07-01 01:16:58,6.2
2021-07-01 01:17:57,6.255
2021-07-01 01:18:58,6.273
2021-07-01 01:19:57,6.273
2021-07-01 01:20:58,6.237
2021-07-01 01:21:57,6.2
2021-07-01 01:22:58,11.507
2021-07-01 01:23:57,17.631
2021-07-01 01:24:58,20.863
2021-07-01 01:25:57,22.989
2021-07-01 01:26:58,24.416
2021-07-01 01:27:57,25.544
2021-07-01 01:28:58,26.397
2021-07-01 01:29:57,27.066
2021-07-01 01:30:58,27.637
2021-07-01 01:31:57,28.102
2021-07-01 01:32:58,28.53
2021-07-01 01:33:57,28.885
2021-07-01 01:34:58,29.193
2021-07-01 01:35:57,29.493
2021-07-01 01:36:58,29.72
2021-07-01 01:37:57,29.943
2021-07-01 01:38:58,30.097
2021-07-01 01:39:57,30.291
2021-07-01 01:41:57,30.613
2021-07-01 01:42:57,30.763
2021-07-01 01:43:57,30.888
2021-07-01 01:44:57,31.001
2021-07-01 01:45:57,31.096
2021-07-01 01:46:57,31.147
2021-07-01 01:47:57,31.25
2021-07-01 01:48:57,31.334
2021-07-01 01:49:57,31.491
2021-07-01 01:50:57,31.568
2021-07-01 01:51:58,31.554
2021-07-01 01:52:57,31.546
2021-07-01 01:53:58,31.583
2021-07-01 01:54:57,31.594
2021-07-01 01:55:58,31.62
2021-07-01 01:56:57,31.652
2021-07-01 01:57:58,31.696
2021-07-01 01:58:57,31.7
2021-07-01 01:59:58,31.759
2021-07-01 02:00:57,31.792
2021-07-01 02:01:57,31.766
2021-07-01 02:02:57,31.773
2021-07-01 02:03:57,31.762
2021-07-01 02:04:57,31.656
2021-07-01 02:06:57,31.667
2021-07-01 02:07:58,31.696
2021-07-01 02:08:57,31.682
2021-07-01 02:09:58,31.704
2021-07-01 02:10:57,31.678
2021-07-01 02:11:58,31.781
2021-07-01 02:12:57,31.799
2021-07-01 02:13:58,31.726
2021-07-01 02:14:57,31.722
2021-07-01 02:15:58,31.766
2021-07-01 02:16:57,31.685
2021-07-01 02:17:58,31.645
2021-07-01 02:18:57,31.645
2021-07-01 02:19:58,31.726
2021-07-01 02:20:57,31.7
2021-07-01 02:21:58,31.652
2021-07-01 02:22:57,31.7
2021-07-01 02:23:58,31.579
2021-07-01 02:24:57,31.627
2021-07-01 02:26:57,31.631
2021-07-01 02:27:57,31.685
2021-07-01 02:28:57,31.66
2021-07-01 02:29:57,31.641
2021-07-01 02:30:57,31.74
2021-07-01 02:31:57,31.634
2021-07-01 02:32:57,31.587
2021-07-01 02:33:57,31.744
2021-07-01 02:34:57,31.671
2021-07-01 02:35:57,31.726
2021-07-01 02:36:57,31.715
2021-07-01 02:37:57,31.722
2021-07-01 02:38:57,31.729
2021-07-01 02:39:57,31.748
2021-07-01 02:40:57,31.744
2021-07-01 02:41:57,31.759
2021-07-01 02:42:57,31.737
2021-07-01 02:43:57,31.733
2021-07-01 02:44:57,31.693
2021-07-01 02:45:57,31.744
