Time,Value
2021-07-01 00:00:00,29.175
2021-07-01 00:01:00,29.195
2021-07-01 00:02:00,29.216
2021-07-01 00:03:00,29.234
2021-07-01 00:04:00,29.237
2021-07-01 00:05:00,29.237
2021-07-01 00:06:00,29.216
2021-07-01 00:07:00,29.195
2021-07-01 00:08:00,29.218
2021-07-01 00:09:00,29.216
2021-07-01 00:10:00,29.216
2021-07-01 00:11:00,29.255
2021-07-01 00:12:00,29.259
2021-07-01 00:13:00,29.29
2021-07-01 00:14:00,29.299
2021-07-01 00:15:00,29.319
2021-07-01 00:16:00,29.328
2021-07-01 00:17:00,29.328
2021-07-01 00:18:00,29.358
2021-07-01 00:19:00,29.4
2021-07-01 00:20:00,29.44
2021-07-01 00:21:00,29.482
2021-07-01 00:22:00,29.503
2021-07-01 00:23:00,29.062
2021-07-01 00:24:00,28.868
2021-07-01 00:25:00,28.774
2021-07-01 00:26:00,28.723
2021-07-01 00:27:00,28.684
2021-07-01 00:28:00,28.662
2021-07-01 00:29:00,28.662
2021-07-01 00:30:00,28.653
2021-07-01 00:31:00,28.623
2021-07-01 00:32:00,28.581
2021-07-01 00:33:00,28.551
2021-07-01 00:34:00,28.52
2021-07-01 00:35:00,28.52
2021-07-01 00:36:00,28.52
2021-07-01 00:37:00,28.54
2021-07-01 00:38:00,28.563
2021-07-01 00:39:00,28.6
2021-07-01 00:40:00,28.662
2021-07-01 00:41:00,28.733
2021-07-01 00:42:00,28.827
2021-07-01 00:43:00,28.921
2021-07-01 00:44:00,28.999
2021-07-01 00:45:00,28.629
2021-07-01 00:46:00,27.245
2021-07-01 00:47:00,26.661
2021-07-01 00:48:00,26.514
2021-07-01 00:49:00,26.512
2021-07-01 00:50:00,26.494
2021-07-01 00:51:00,26.473
2021-07-01 00:52:00,26.452
2021-07-01 00:53:00,26.342
2021-07-01 00:54:00,26.228
2021-07-01 00:55:00,26.104
2021-07-01 00:56:00,26.084
2021-07-01 00:57:00,26.169
2021-07-01 00:58:00,26.187
2021-07-01 00:59:00,26.185
2021-07-01 01:00:00,26.077
2021-07-01 01:01:00,25.941
2021-07-01 01:02:00,25.838
2021-07-01 01:03:00,25.87
2021-07-01 01:04:00,25.921
2021-07-01 01:05:00,25.921
2021-07-01 01:06:00,25.923
2021-07-01 01:07:00,25.902
2021-07-01 01:08:00,25.848
2021-07-01 01:09:00,25.706
2021-07-01 01:10:00,25.541
2021-07-01 01:11:00,25.421
2021-07-01 01:12:00,25.43
2021-07-01 01:13:00,25.502
2021-07-01 01:14:00,25.532
2021-07-01 01:16:00,25.309
2021-07-01 01:17:00,25.027
2021-07-01 01:18:00,23.396
2021-07-01 01:19:00,20.85
2021-07-01 01:20:00,18.323
2021-07-01 01:21:00,15.834
2021-07-01 01:22:00,13.602
2021-07-01 01:23:00,11.316
2021-07-01 01:24:00,8.194
2021-07-01 01:25:00,6.535
2021-07-01 01:26:00,5.417
2021-07-01 01:27:00,4.803
2021-07-01 01:28:00,4.352
2021-07-01 01:29:00,4.036
2021-07-01 01:30:00,3.745
2021-07-01 01:31:00,3.532
2021-07-01 01:32:00,3.371
2021-07-01 01:33:00,3.147
2021-07-01 01:34:00,2.933
2021-07-01 01:35:00,2.841
2021-07-01 01:36:00,2.668
2021-07-01 01:37:00,2.608
2021-07-01 01:39:00,11.602
2021-07-01 01:40:00,18.048
2021-07-01 01:41:00,20.559
2021-07-01 01:42:00,22.204
2021-07-01 01:43:00,23.368
2021-07-01 01:44:00,24.296
2021-07-01 01:45:00,25.03
2021-07-01 01:46:00,25.603
2021-07-01 01:47:00,26.097
2021-07-01 01:48:00,26.526
2021-07-01 01:49:00,26.904
2021-07-01 01:50:00,27.204
2021-07-01 01:51:00,27.477
2021-07-01 01:52:00,27.699
2021-07-01 01:53:00,27.898
2021-07-01 01:54:00,28.072
2021-07-01 01:55:00,28.215
2021-07-01 01:56:00,28.316
2021-07-01 01:57:00,28.449
2021-07-01 01:58:00,28.545
2021-07-01 01:59:00,28.634
2021-07-01 02:00:00,28.726
2021-07-01 02:01:00,28.787
2021-07-01 02:02:00,28.85
2021-07-01 02:03:00,28.895
2021-07-01 02:04:00,28.932
2021-07-01 02:05:00,28.953
2021-07-01 02:06:00,28.971
2021-07-01 02:07:00,28.973
2021-07-01 02:08:00,28.95
2021-07-01 02:09:00,28.952
2021-07-01 02:10:00,28.992
2021-07-01 02:11:00,29.035
2021-07-01 02:12:00,29.074
2021-07-01 02:13:00,29.117
2021-07-01 02:14:00,29.099
2021-07-01 02:15:00,29.095
2021-07-01 02:16:00,29.056
2021-07-01 02:17:00,29.035
2021-07-01 02:18:00,29.014
2021-07-01 02:19:00,28.992
2021-07-01 02:20:00,28.971
2021-07-01 02:21:00,28.971
2021-07-01 02:22:00,28.962
2021-07-01 02:23:00,28.95
2021-07-01 02:24:00,28.93
2021-07-01 02:25:00,28.953
2021-07-01 02:26:00,28.973
2021-07-01 02:27:00,28.971
2021-07-01 02:28:00,28.95
2021-07-01 02:29:00,28.953
2021-07-01 02:30:00,28.953
2021-07-01 02:31:00,28.952
2021-07-01 02:32:00,28.95
2021-07-01 02:33:00,28.973
2021-07-01 02:34:00,29.014
2021-07-01 02:35:00,29.033
2021-07-01 02:36:00,29.053
2021-07-01 02:37:00,29.053
2021-07-01 02:38:00,29.053
2021-07-01 02:39:00,29.053
2021-07-01 02:40:00,29.095
2021-07-01 02:41:00,29.117
2021-07-01 02:42:00,29.159
2021-07-01 02:43:00,29.179
2021-07-01 02:44:00,29.177
2021-07-01 02:45:00,29.198
2021-07-01 02:46:00,29.2
2021-07-01 02:47:00,29.198
2021-07-01 02:48:00,29.196
2021-07-01 02:49:00,29.195
2021-07-01 02:50:00,29.195
2021-07-01 02:51:00,29.196
2021-07-01 02:52:00,29.157
2021-07-01 02:53:00,29.156
2021-07-01 02:54:00,29.157
2021-07-01 02:55:00,29.177
2021-07-01 02:56:00,29.177
2021-07-01 02:57:00,29.205
2021-07-01 02:58:00,29.237
2021-07-01 02:59:00,29.26
2021-07-01 03:00:00,29.298
2021-07-01 03:01:00,29.321
2021-07-01 03:02:00,29.361
2021-07-01 03:03:00,29.395
2021-07-01 03:04:00,29.422
2021-07-01 03:05:00,29.432
2021-07-01 03:06:00,29.432
2021-07-01 03:07:00,29.404
2021-07-01 03:08:00,29.379
2021-07-01 03:09:00,29.36
2021-07-01 03:10:00,29.361
2021-07-01 03:11:00,29.34
2021-07-01 03:12:00,29.298
2021-07-01 03:13:00,29.259
2021-07-01 03:14:00,29.239
2021-07-01 03:15:00,29.196
2021-07-01 03:16:00,29.136
2021-07-01 03:17:00,29.117
2021-07-01 03:18:00,29.074
2021-07-01 03:19:00,29.072
2021-07-01 03:20:00,29.074
2021-07-01 03:21:00,29.074
2021-07-01 03:22:00,29.074
2021-07-01 03:23:00,29.074
2021-07-01 03:24:00,29.074
2021-07-01 03:25:00,29.094
2021-07-01 03:26:00,29.115
2021-07-01 03:27:00,29.156
2021-07-01 03:28:00,29.196
2021-07-01 03:29:00,29.216
2021-07-01 03:30:00,29.195
2021-07-01 03:31:00,29.196
2021-07-01 03:32:00,29.198
2021-07-01 03:33:00,29.198
2021-07-01 03:34:00,29.177
2021-07-01 03:35:00,29.195
2021-07-01 03:36:00,29.175
2021-07-01 03:37:00,29.177
2021-07-01 03:38:00,29.196
2021-07-01 03:39:00,29.195
2021-07-01 03:40:00,29.175
2021-07-01 03:41:00,29.173
2021-07-01 03:42:00,29.156
2021-07-01 03:43:00,29.138
2021-07-01 03:44:00,29.113
2021-07-01 03:45:00,29.092
2021-07-01 03:46:00,29.094
2021-07-01 03:47:00,29.074
2021-07-01 03:48:00,29.095
2021-07-01 03:49:00,29.095
2021-07-01 03:50:00,29.156
2021-07-01 03:51:00,29.216
2021-07-01 03:52:00,29.287
2021-07-01 03:53:00,29.367
2021-07-01 03:54:00,29.464
2021-07-01 03:55:00,29.503
2021-07-01 03:56:00,29.564
