Time,Value
2021-07-01 00:00:00,8.269
2021-07-01 00:01:00,8.267
2021-07-01 00:02:00,8.257
2021-07-01 00:03:00,8.259
2021-07-01 00:04:00,8.249
2021-07-01 00:05:00,8.234
2021-07-01 00:06:00,8.216
2021-07-01 00:07:00,8.159
2021-07-01 00:08:00,8.185
2021-07-01 00:09:00,8.173
2021-07-01 00:10:00,8.172
2021-07-01 00:11:00,8.142
2021-07-01 00:12:00,8.124
2021-07-01 00:13:00,8.122
2021-07-01 00:14:00,8.127
2021-07-01 00:15:00,8.118
2021-07-01 00:16:00,8.132
2021-07-01 00:17:00,8.142
2021-07-01 00:18:00,8.111
2021-07-01 00:19:00,8.105
2021-07-01 00:20:00,8.114
2021-07-01 00:21:00,8.097
2021-07-01 00:22:00,8.111
2021-07-01 00:23:00,8.037
2021-07-01 00:24:00,8.033
2021-07-01 00:25:00,8.075
2021-07-01 00:26:00,8.085
2021-07-01 00:27:00,8.146
2021-07-01 00:28:00,8.183
2021-07-01 00:29:00,8.217
2021-07-01 00:30:00,8.273
2021-07-01 00:31:00,8.288
2021-07-01 00:32:00,8.292
2021-07-01 00:33:00,8.296
2021-07-01 00:34:00,8.317
2021-07-01 00:35:00,8.373
2021-07-01 00:36:00,8.408
2021-07-01 00:37:00,8.42
2021-07-01 00:38:00,8.484
2021-07-01 00:39:00,8.494
2021-07-01 00:40:00,8.524
2021-07-01 00:41:00,8.554
2021-07-01 00:42:00,8.593
2021-07-01 00:43:00,8.611
2021-07-01 00:44:00,8.598
2021-07-01 00:45:00,7.946
2021-07-01 00:46:00,7.565
2021-07-01 00:47:00,7.235
2021-07-01 00:48:00,6.118
2021-07-01 00:49:00,4.751
2021-07-01 00:50:00,3.367
2021-07-01 00:51:00,1.877
2021-07-01 00:52:00,0.866
2021-07-01 00:53:00,0.628
2021-07-01 00:54:00,0.415
2021-07-01 00:55:00,-0.059
2021-07-01 00:56:00,-0.018
2021-07-01 00:57:00,-0.214
2021-07-01 00:58:00,-0.142
2021-07-01 00:59:00,-0.012
2021-07-01 01:00:00,-0.114
2021-07-01 01:01:00,-0.304
2021-07-01 01:02:00,-0.338
2021-07-01 01:03:00,-0.392
2021-07-01 01:04:00,-0.357
2021-07-01 01:05:00,-0.268
2021-07-01 01:06:00,-0.314
2021-07-01 01:07:00,-0.312
2021-07-01 01:08:00,-0.328
2021-07-01 01:09:00,-0.339
2021-07-01 01:10:00,-0.407
2021-07-01 01:11:00,-0.439
2021-07-01 01:12:00,-0.47
2021-07-01 01:13:00,-0.491
2021-07-01 01:14:00,-0.477
2021-07-01 01:16:00,-0.503
2021-07-01 01:17:00,-0.268
2021-07-01 01:18:00,-0.121
2021-07-01 01:19:00,0.331
2021-07-01 01:20:00,0.886
2021-07-01 01:21:00,1.52
2021-07-01 01:22:00,2.137
2021-07-01 01:23:00,2.747
2021-07-01 01:24:00,3.416
2021-07-01 01:25:00,4.5
2021-07-01 01:26:00,5.472
2021-07-01 01:27:00,7.992
2021-07-01 01:28:00,11.652
2021-07-01 01:29:00,15.277
2021-07-01 01:30:00,18.563
2021-07-01 01:31:00,20.585
2021-07-01 01:32:00,21.828
2021-07-01 01:33:00,22.599
2021-07-01 01:34:00,23.011
2021-07-01 01:35:00,23.275
2021-07-01 01:36:00,23.678
2021-07-01 01:37:00,23.683
2021-07-01 01:39:00,24.099
2021-07-01 01:40:00,21.701
2021-07-01 01:41:00,18.931
2021-07-01 01:42:00,16.465
2021-07-01 01:43:00,14.326
2021-07-01 01:44:00,12.237
2021-07-01 01:45:00,11.34
2021-07-01 01:46:00,10.415
2021-07-01 01:47:00,10.017
2021-07-01 01:48:00,9.488
2021-07-01 01:49:00,9.835
2021-07-01 01:50:00,9.756
2021-07-01 01:51:00,9.745
2021-07-01 01:52:00,9.976
2021-07-01 01:53:00,10.012
2021-07-01 01:54:00,10.043
2021-07-01 01:55:00,9.795
2021-07-01 01:56:00,9.893
2021-07-01 01:57:00,9.98
2021-07-01 01:58:00,9.837
2021-07-01 01:59:00,9.87
2021-07-01 02:00:00,9.855
2021-07-01 02:01:00,9.739
2021-07-01 02:02:00,9.767
2021-07-01 02:03:00,9.649
2021-07-01 02:04:00,9.613
2021-07-01 02:05:00,9.661
2021-07-01 02:06:00,9.73
2021-07-01 02:07:00,9.661
2021-07-01 02:08:00,9.659
2021-07-01 02:09:00,9.558
2021-07-01 02:10:00,9.479
2021-07-01 02:11:00,9.431
2021-07-01 02:12:00,9.385
2021-07-01 02:13:00,9.367
2021-07-01 02:14:00,9.349
2021-07-01 02:15:00,9.308
2021-07-01 02:16:00,9.329
2021-07-01 02:17:00,9.306
2021-07-01 02:18:00,9.289
2021-07-01 02:19:00,9.29
2021-07-01 02:20:00,9.311
2021-07-01 02:21:00,9.223
2021-07-01 02:22:00,9.212
2021-07-01 02:23:00,9.165
2021-07-01 02:24:00,9.187
2021-07-01 02:25:00,9.13
2021-07-01 02:26:00,9.068
2021-07-01 02:27:00,9.086
2021-07-01 02:28:00,9.068
2021-07-01 02:29:00,9.067
2021-07-01 02:30:00,9.029
2021-07-01 02:31:00,9.02
2021-07-01 02:32:00,9.02
2021-07-01 02:33:00,9.018
2021-07-01 02:34:00,8.983
2021-07-01 02:35:00,8.945
2021-07-01 02:36:00,8.881
2021-07-01 02:37:00,8.882
2021-07-01 02:38:00,8.886
2021-07-01 02:39:00,8.874
2021-07-01 02:40:00,8.85
2021-07-01 02:41:00,8.829
2021-07-01 02:42:00,8.833
2021-07-01 02:43:00,8.831
2021-07-01 02:44:00,8.825
2021-07-01 02:45:00,8.823
2021-07-01 02:46:00,8.808
2021-07-01 02:47:00,8.777
2021-07-01 02:48:00,8.777
2021-07-01 02:49:00,8.784
2021-07-01 02:50:00,8.743
2021-07-01 02:51:00,8.732
2021-07-01 02:52:00,8.708
2021-07-01 02:53:00,8.684
2021-07-01 02:54:00,8.652
2021-07-01 02:55:00,8.645
2021-07-01 02:56:00,8.639
2021-07-01 02:57:00,8.632
2021-07-01 02:58:00,8.601
2021-07-01 02:59:00,8.587
2021-07-01 03:00:00,8.581
2021-07-01 03:01:00,8.57
2021-07-01 03:02:00,8.532
2021-07-01 03:03:00,8.518
2021-07-01 03:04:00,8.531
2021-07-01 03:05:00,8.54
2021-07-01 03:06:00,8.518
2021-07-01 03:07:00,8.489
2021-07-01 03:08:00,8.47
2021-07-01 03:09:00,8.452
2021-07-01 03:10:00,8.446
2021-07-01 03:11:00,8.422
2021-07-01 03:12:00,8.406
2021-07-01 03:13:00,8.362
2021-07-01 03:14:00,8.319
2021-07-01 03:15:00,8.304
2021-07-01 03:16:00,8.299
2021-07-01 03:17:00,8.276
2021-07-01 03:18:00,8.268
2021-07-01 03:19:00,8.246
2021-07-01 03:20:00,8.227
2021-07-01 03:21:00,8.198
2021-07-01 03:22:00,8.169
2021-07-01 03:23:00,8.19
2021-07-01 03:24:00,8.156
2021-07-01 03:25:00,8.146
2021-07-01 03:26:00,8.142
2021-07-01 03:27:00,8.143
2021-07-01 03:28:00,8.154
2021-07-01 03:29:00,8.176
2021-07-01 03:30:00,8.158
2021-07-01 03:31:00,8.166
2021-07-01 03:32:00,8.128
2021-07-01 03:33:00,8.138
2021-07-01 03:34:00,8.137
2021-07-01 03:35:00,8.124
2021-07-01 03:36:00,8.101
2021-07-01 03:37:00,8.091
2021-07-01 03:38:00,8.076
2021-07-01 03:39:00,8.052
2021-07-01 03:40:00,8.026
2021-07-01 03:41:00,8.018
2021-07-01 03:42:00,8.009
2021-07-01 03:43:00,7.995
2021-07-01 03:44:00,7.946
2021-07-01 03:45:00,7.94
2021-07-01 03:46:00,7.915
2021-07-01 03:47:00,7.912
2021-07-01 03:48:00,7.896
2021-07-01 03:49:00,7.922
2021-07-01 03:50:00,7.893
2021-07-01 03:51:00,7.884
2021-07-01 03:52:00,7.879
2021-07-01 03:53:00,7.891
2021-07-01 03:54:00,7.886
2021-07-01 03:55:00,7.893
2021-07-01 03:56:00,7.903
2021-07-01 03:57:00,7.925
2021-07-01 03:58:00,7.914
2021-07-01 03:59:00,7.872
2021-07-01 04:00:00,7.872
2021-07-01 04:01:00,7.86
2021-07-01 04:02:00,7.854
2021-07-01 04:03:00,7.875
2021-07-01 04:04:00,7.881
2021-07-01 04:05:00,7.9
2021-07-01 04:06:00,7.898
2021-07-01 04:07:00,7.891
2021-07-01 04:08:00,7.91
2021-07-01 04:09:00,7.924
2021-07-01 04:10:00,7.928
2021-07-01 04:11:00,7.924
2021-07-01 04:12:00,7.922
2021-07-01 04:13:00,7.918
2021-07-01 04:14:00,7.917
2021-07-01 04:15:00,7.914
2021-07-01 04:16:00,7.913
2021-07-01 04:17:00,7.894
2021-07-01 04:18:00,7.901
2021-07-01 04:19:00,7.923
2021-07-01 04:20:00,7.901
2021-07-01 04:21:00,7.885
2021-07-01 04:22:00,7.863
2021-07-01 04:23:00,7.872
2021-07-01 04:24:00,7.893
2021-07-01 04:25:00,7.866
2021-07-01 04:26:00,7.893
2021-07-01 04:27:00,7.863
2021-07-01 04:28:00,7.852
2021-07-01 04:29:00,7.836
2021-07-01 04:30:00,7.831
2021-07-01 04:31:00,7.818
2021-07-01 04:32:00,7.819
2021-07-01 04:33:00,7.827
2021-07-01 04:34:00,7.827
2021-07-01 04:35:00,7.825
2021-07-01 04:36:00,7.836
2021-07-01 04:37:00,7.826
2021-07-01 04:38:00,7.832
2021-07-01 04:39:00,7.833
2021-07-01 04:40:00,7.816
2021-07-01 04:41:00,7.808
2021-07-01 04:42:00,7.785
2021-07-01 04:43:00,7.811
2021-07-01 04:44:00,7.82
2021-07-01 04:45:00,7.81
2021-07-01 04:46:00,7.802
2021-07-01 04:47:00,7.796
2021-07-01 04:48:00,7.825
2021-07-01 04:49:00,7.841
2021-07-01 04:50:00,7.832
2021-07-01 04:51:00,7.838
2021-07-01 04:52:00,7.866
2021-07-01 04:53:00,7.85
2021-07-01 04:54:00,7.846
2021-07-01 04:55:00,7.84
