Time,Value
2021-07-08 16:01:00,0.0
2021-07-08 16:01:10,0.0
2021-07-08 16:01:20,0.0
2021-07-08 16:01:30,0.0
2021-07-08 16:01:40,0.0
2021-07-08 16:01:50,0.0
2021-07-08 16:02:00,0.0
2021-07-08 16:03:10,0.0
2021-07-08 16:03:20,0.0
2021-07-08 16:03:30,0.0
2021-07-08 16:03:40,0.0
2021-07-08 16:03:50,0.0
2021-07-08 16:04:00,0.0
2021-07-08 16:04:10,0.0
2021-07-08 16:04:20,0.0
2021-07-08 16:04:30,0.0
2021-07-08 16:04:40,0.0
2021-07-08 16:04:50,0.0
2021-07-08 16:05:00,0.0
2021-07-08 16:05:10,0.0
2021-07-08 16:05:20,0.0
2021-07-08 16:05:30,0.0
2021-07-08 16:05:40,0.0
2021-07-08 16:05:50,0.0
2021-07-08 16:06:00,0.0
2021-07-08 16:06:10,0.0
2021-07-08 16:06:20,0.0
2021-07-08 16:06:30,0.0
2021-07-08 16:06:40,0.0
2021-07-08 16:06:50,0.0
2021-07-08 16:07:00,0.0
2021-07-08 16:07:10,0.0
2021-07-08 16:07:20,0.0
2021-07-08 16:07:30,0.0
2021-07-08 16:07:40,0.0
2021-07-08 16:07:50,0.0
2021-07-08 16:08:00,0.0
2021-07-08 16:08:10,0.0
2021-07-08 16:08:20,0.0
2021-07-08 16:08:30,0.0
2021-07-08 16:08:40,0.0
2021-07-08 16:08:50,0.0
2021-07-08 16:09:00,0.0
2021-07-08 16:09:10,0.0
2021-07-08 16:09:30,92.17
2021-07-08 16:09:50,61.3
2021-07-08 16:10:10,40.09
2021-07-08 16:10:30,26.71
2021-07-08 16:10:50,18.13
2021-07-08 16:11:10,12.43
2021-07-08 16:11:30,8.131
2021-07-08 16:11:50,5.359
2021-07-08 16:12:00,-3.614
2021-07-08 16:12:10,3.438
2021-07-08 16:12:20,-2.047
2021-07-08 16:12:30,2.058
2021-07-08 16:12:40,-0.6161
2021-07-08 16:12:50,0.9519
2021-07-08 16:13:00,0.6954
2021-07-08 16:13:10,0.0172
2021-07-08 16:13:20,0.9803
2021-07-08 16:13:30,-0.4491
2021-07-08 16:13:40,1.317
2021-07-08 16:13:50,-1.124
2021-07-08 16:14:00,1.668
2021-07-08 16:14:10,-1.441
2021-07-08 16:14:20,1.791
2021-07-08 16:14:30,-1.65
2021-07-08 16:14:40,1.926
2021-07-08 16:14:50,-1.58
2021-07-08 16:15:00,2.098
2021-07-08 16:15:10,-1.937
2021-07-08 16:15:20,1.865
2021-07-08 16:15:30,-2.074
2021-07-08 16:15:40,2.107
2021-07-08 16:15:50,-1.696
2021-07-08 16:16:00,1.852
2021-07-08 16:16:10,-1.866
2021-07-08 16:16:20,2.06
2021-07-08 16:16:30,-1.71
2021-07-08 16:16:40,1.999
2021-07-08 16:16:50,-1.654
2021-07-08 16:17:00,1.432
2021-07-08 16:17:10,-1.506
2021-07-08 16:17:20,1.48
2021-07-08 16:17:30,-1.472
2021-07-08 16:17:40,1.492
2021-07-08 16:17:50,-1.295
2021-07-08 16:18:00,1.454
2021-07-08 16:18:10,-1.429
2021-07-08 16:18:20,1.383
2021-07-08 16:18:30,-0.648
2021-07-08 16:18:40,1.459
2021-07-08 16:18:50,-0.5093
2021-07-08 16:19:00,1.266
2021-07-08 16:19:10,-0.5368
2021-07-08 16:19:20,0.7194
2021-07-08 16:19:30,-0.5067
2021-07-08 16:19:40,1.089
2021-07-08 16:19:50,-0.116
2021-07-08 16:20:00,0.8721
2021-07-08 16:20:10,-0.3019
2021-07-08 16:20:20,0.4975
2021-07-08 16:20:30,0.0038
2021-07-08 16:20:40,0.1227
2021-07-08 16:20:50,-0.3021
2021-07-08 16:21:00,0.3705
2021-07-08 16:21:10,0.5591
2021-07-08 16:21:20,0.0892
2021-07-08 16:21:30,0.5785
2021-07-08 16:21:40,0.2837
2021-07-08 16:21:50,0.595
2021-07-08 16:22:00,-0.0606
2021-07-08 16:22:10,0.4118
2021-07-08 16:22:20,-0.2972
2021-07-08 16:22:30,0.4229
2021-07-08 16:22:40,-0.7834
2021-07-08 16:22:50,0.2699
2021-07-08 16:23:00,-0.894
2021-07-08 16:23:10,0.5406
2021-07-08 16:23:20,-0.7925
2021-07-08 16:23:30,0.5627
2021-07-08 16:23:40,-0.7867
2021-07-08 16:23:50,0.9965
2021-07-08 16:24:00,-0.5038
2021-07-08 16:24:10,0.9631
2021-07-08 16:24:20,-0.7983
2021-07-08 16:24:30,1.128
2021-07-08 16:24:40,-1.107
2021-07-08 16:24:50,1.781
2021-07-08 16:25:00,-0.9515
2021-07-08 16:25:10,0.8214
2021-07-08 16:25:20,-1.158
2021-07-08 16:25:30,1.134
2021-07-08 16:25:40,-1.306
2021-07-08 16:25:50,1.48
2021-07-08 16:26:00,-1.23
2021-07-08 16:26:10,1.499
2021-07-08 16:26:20,-1.156
2021-07-08 16:26:30,1.535
2021-07-08 16:26:40,-1.493
2021-07-08 16:26:50,1.442
2021-07-08 16:27:00,-1.55
2021-07-08 16:27:10,1.514
2021-07-08 16:27:20,-1.513
2021-07-08 16:27:30,1.682
2021-07-08 16:27:40,-1.537
2021-07-08 16:27:50,1.693
2021-07-08 16:28:00,-1.568
2021-07-08 16:28:10,2.067
2021-07-08 16:28:20,-1.637
2021-07-08 16:28:30,2.152
2021-07-08 16:28:40,-1.305
2021-07-08 16:28:50,2.018
2021-07-08 16:29:00,-1.847
2021-07-08 16:29:10,2.046
2021-07-08 16:29:20,-1.859
2021-07-08 16:29:30,1.893
2021-07-08 16:29:40,-1.862
2021-07-08 16:29:50,2.349
2021-07-08 16:30:00,-2.413
2021-07-08 16:30:10,1.919
2021-07-08 16:30:20,-1.849
2021-07-08 16:30:30,1.93
2021-07-08 16:30:40,-2.433
2021-07-08 16:30:50,1.864
2021-07-08 16:31:00,-2.372
2021-07-08 16:31:10,2.016
2021-07-08 16:31:20,-1.872
2021-07-08 16:31:30,1.903
2021-07-08 16:31:40,-2.091
2021-07-08 16:31:50,2.144
2021-07-08 16:32:00,-2.31
2021-07-08 16:32:10,1.901
2021-07-08 16:32:20,-2.248
2021-07-08 16:32:30,2.044
2021-07-08 16:32:40,-2.112
