Time,Value
2021-07-01 00:00:00,5783.0
2021-07-01 01:00:00,6424.0
2021-07-01 02:00:00,6140.0
2021-07-01 03:00:00,4508.0
2021-07-01 04:00:00,4258.0
2021-07-01 05:00:00,4036.0
2021-07-01 06:00:00,3400.0
2021-07-01 07:00:00,3299.0
2021-07-01 08:00:00,3349.0
2021-07-01 09:00:00,2050.0
2021-07-01 10:00:00,2740.0
2021-07-01 11:00:00,2876.0
2021-07-01 12:00:00,2666.0
2021-07-01 13:00:00,2439.0
2021-07-01 14:00:00,2433.0
2021-07-01 15:00:00,2281.0
2021-07-01 16:00:00,2329.0
2021-07-01 17:00:00,2392.0
2021-07-01 18:00:00,2387.0
2021-07-01 19:00:00,2424.0
2021-07-01 20:00:00,2460.0
2021-07-01 21:00:00,2354.0
2021-07-01 22:00:00,2907.0
2021-07-01 23:00:00,3407.0
2021-07-02 00:00:00,3501.0
2021-07-02 01:00:00,2320.0
2021-07-02 02:00:00,2569.0
2021-07-02 03:00:00,3566.0
2021-07-02 04:00:00,3173.0
2021-07-02 05:00:00,2826.0
2021-07-02 06:00:00,2549.0
2021-07-02 07:00:00,2682.0
2021-07-02 08:00:00,2247.0
2021-07-02 09:00:00,2214.0
2021-07-02 10:00:00,1871.0
2021-07-02 11:00:00,1987.0
2021-07-02 12:00:00,2003.0
2021-07-02 13:00:00,2078.0
2021-07-02 14:00:00,1212.0
2021-07-02 15:00:00,1252.0
2021-07-02 16:00:00,1543.0
2021-07-02 17:00:00,540.8
2021-07-02 18:00:00,887.2
2021-07-02 19:00:00,1686.0
2021-07-02 20:00:00,1602.6
2021-07-02 21:00:00,1164.0
2021-07-02 22:00:00,447.5
2021-07-02 23:00:00,503.2
2021-07-03 00:00:00,583.0
2021-07-03 01:00:00,917.6
2021-07-03 02:00:00,1307.7
2021-07-03 03:00:00,1270.0
2021-07-03 04:00:00,1249.0
2021-07-03 05:00:00,845.3
2021-07-03 06:00:00,916.3
2021-07-03 07:00:00,501.4
2021-07-03 08:00:00,1109.0
2021-07-03 09:00:00,780.8
2021-07-03 10:00:00,473.2
2021-07-03 11:00:00,754.1
2021-07-03 12:00:00,1050.4
2021-07-03 13:00:00,5198.0
2021-07-03 14:00:00,509.3
2021-07-03 15:00:00,350.9
2021-07-03 16:00:00,856.3
2021-07-03 17:00:00,1101.0
2021-07-03 18:00:00,643.4
2021-07-03 19:00:00,630.6
2021-07-03 20:00:00,1889.0
2021-07-03 21:00:00,1858.0
2021-07-03 22:00:00,1192.0
2021-07-03 23:00:00,1289.0
2021-07-04 00:00:00,616.3
2021-07-04 01:00:00,475.6
2021-07-04 02:00:00,2436.0
2021-07-04 03:00:00,1861.0
2021-07-04 04:00:00,928.3
2021-07-04 05:00:00,1648.0
2021-07-04 06:00:00,1569.0
2021-07-04 07:00:00,1249.0
2021-07-04 08:00:00,1566.0
2021-07-04 09:00:00,1137.8
2021-07-04 10:00:00,1357.0
2021-07-04 11:00:00,1469.0
2021-07-04 12:00:00,1569.0
2021-07-04 13:00:00,8355.0
2021-07-04 14:00:00,5940.0
2021-07-04 15:00:00,2884.0
2021-07-04 16:00:00,2761.0
2021-07-04 17:00:00,1098.0
2021-07-04 18:00:00,880.7
2021-07-04 19:00:00,338.7
2021-07-04 20:00:00,348.3
2021-07-04 21:00:00,435.0
2021-07-04 22:00:00,556.0
2021-07-04 23:00:00,777.2
2021-07-05 00:00:00,742.5
2021-07-05 01:00:00,722.0
2021-07-05 02:00:00,554.0
2021-07-05 03:00:00,151.7
2021-07-05 04:00:00,182.0
2021-07-05 05:00:00,169.5
2021-07-05 06:00:00,219.7
2021-07-05 07:00:00,260.2
2021-07-05 08:00:00,272.6
2021-07-05 09:00:00,215.1
2021-07-05 10:00:00,135.4
2021-07-05 11:00:00,93.37
2021-07-05 12:00:00,155.45
2021-07-05 13:00:00,142.7
2021-07-05 14:00:00,145.7
2021-07-05 15:00:00,177.3
2021-07-05 16:00:00,153.0
2021-07-05 17:00:00,100.41
2021-07-05 18:00:00,156.0
2021-07-05 19:00:00,170.6
2021-07-05 20:00:00,164.9
2021-07-05 21:00:00,136.2
2021-07-05 22:00:00,123.96
2021-07-05 23:00:00,140.5
2021-07-06 00:00:00,130.7
2021-07-06 01:00:00,171.4
2021-07-06 02:00:00,173.8
2021-07-06 03:00:00,108.83
2021-07-06 04:00:00,113.68
2021-07-06 05:00:00,118.79
2021-07-06 06:00:00,129.4
2021-07-06 07:00:00,133.25
2021-07-06 08:00:00,110.8
2021-07-06 09:00:00,129.69
2021-07-06 10:00:00,177.5
2021-07-06 11:00:00,1265.0
2021-07-06 12:00:00,146.5
2021-07-06 13:00:00,147.2
2021-07-06 14:00:00,144.2
2021-07-06 15:00:00,160.6
2021-07-06 16:00:00,508.5
2021-07-06 17:00:00,228.9
2021-07-06 18:00:00,281.6
2021-07-06 19:00:00,395.1
2021-07-06 20:00:00,480.3
2021-07-06 21:00:00,164.5
2021-07-06 22:00:00,159.9
2021-07-06 23:00:00,163.0
2021-07-07 00:00:00,174.4
2021-07-07 01:00:00,627.3
2021-07-07 02:00:00,582.8
2021-07-07 03:00:00,248.0
2021-07-07 04:00:00,2121.0
2021-07-07 05:00:00,1473.9
2021-07-07 06:00:00,420.2
2021-07-07 07:00:00,1204.4
2021-07-07 08:00:00,2951.0
2021-07-07 09:00:00,28390.0
2021-07-07 10:00:00,43100.0
2021-07-07 11:00:00,19950.0
2021-07-07 12:00:00,6103.0
2021-07-07 13:00:00,4071.0
2021-07-07 14:00:00,3954.0
2021-07-07 15:00:00,4515.0
2021-07-07 16:00:00,781.5
2021-07-07 17:00:00,452.3
2021-07-07 18:00:00,654.3
2021-07-07 19:00:00,359.5
2021-07-07 20:00:00,412.5
2021-07-07 21:00:00,461.8
2021-07-07 22:00:00,1126.7
2021-07-07 23:00:00,1091.7
2021-07-08 00:00:00,1255.0
2021-07-08 01:00:00,3919.0
2021-07-08 02:00:00,3843.0
2021-07-08 03:00:00,3227.0
2021-07-08 04:00:00,2685.0
2021-07-08 05:00:00,3630.0
2021-07-08 06:00:00,4655.0
2021-07-08 07:00:00,4541.0
2021-07-08 08:00:00,4197.0
2021-07-08 09:00:00,4610.0
2021-07-08 10:00:00,4298.0
2021-07-08 11:00:00,3075.0
2021-07-08 12:00:00,1299.0
2021-07-08 13:00:00,1024.4
2021-07-08 14:00:00,1035.8
2021-07-08 15:00:00,5829.0
2021-07-08 16:00:00,6042.0
2021-07-08 17:00:00,6930.0
2021-07-08 18:00:00,5767.0
2021-07-08 19:00:00,1009.7
2021-07-08 20:00:00,1891.0
2021-07-08 21:00:00,1936.0
2021-07-08 22:00:00,1843.0
2021-07-08 23:00:00,4705.0
2021-07-09 00:00:00,4915.0
2021-07-09 01:00:00,4612.0
2021-07-09 02:00:00,3857.0
2021-07-09 03:00:00,3736.0
2021-07-09 04:00:00,3647.0
2021-07-09 05:00:00,3369.0
2021-07-09 06:00:00,4043.0
2021-07-09 07:00:00,2989.0
2021-07-09 08:00:00,4108.0
2021-07-09 09:00:00,47780.0
2021-07-09 10:00:00,66140.0
2021-07-09 11:00:00,52620.0
2021-07-09 12:00:00,3578.0
2021-07-09 13:00:00,3816.0
2021-07-09 14:00:00,3790.0
2021-07-09 15:00:00,4645.0
2021-07-09 16:00:00,6318.0
2021-07-09 17:00:00,7649.0
2021-07-09 18:00:00,7524.0
2021-07-09 19:00:00,6979.0
2021-07-09 20:00:00,6762.0
2021-07-09 21:00:00,5109.0
2021-07-09 22:00:00,4811.0
2021-07-09 23:00:00,6412.0
2021-07-10 00:00:00,4886.0
