Time,Value
2021-07-01 00:00:00,5207.0
2021-07-01 00:01:00,5185.0
2021-07-01 00:02:00,5161.0
2021-07-01 00:03:00,5134.0
2021-07-01 00:04:00,5103.0
2021-07-01 00:05:00,5056.0
2021-07-01 00:06:00,5091.0
2021-07-01 00:07:00,5058.0
2021-07-01 00:08:00,5044.0
2021-07-01 00:09:00,5042.0
2021-07-01 00:10:00,5037.0
2021-07-01 00:11:00,5017.0
2021-07-01 00:12:00,5016.0
2021-07-01 00:13:00,5004.0
2021-07-01 00:14:00,5025.0
2021-07-01 00:15:00,5006.0
2021-07-01 00:16:00,4990.0
2021-07-01 00:17:00,5011.0
2021-07-01 00:18:00,5029.0
2021-07-01 00:19:00,4988.0
2021-07-01 00:20:00,4984.0
2021-07-01 00:21:00,4985.0
2021-07-01 00:22:00,4973.0
2021-07-01 00:23:00,4958.0
2021-07-01 00:24:00,4953.0
2021-07-01 00:25:00,4945.0
2021-07-01 00:26:00,4947.0
2021-07-01 00:27:00,4930.0
2021-07-01 00:28:00,4952.0
2021-07-01 00:29:00,4929.0
2021-07-01 00:30:00,4920.0
2021-07-01 00:31:00,4882.0
2021-07-01 00:32:00,4903.0
2021-07-01 00:33:00,4901.0
2021-07-01 00:34:00,4879.0
2021-07-01 00:35:00,4870.0
2021-07-01 00:36:00,4881.0
2021-07-01 00:37:00,4882.0
2021-07-01 00:38:00,4918.0
2021-07-01 00:39:00,4898.0
2021-07-01 00:40:00,4930.0
2021-07-01 00:41:00,4927.0
2021-07-01 00:42:00,4916.0
2021-07-01 00:43:00,4926.0
2021-07-01 00:44:00,4900.0
2021-07-01 00:45:00,4912.0
2021-07-01 00:46:00,4903.0
2021-07-01 00:47:00,4912.0
2021-07-01 00:48:00,4915.0
2021-07-01 00:49:00,4921.0
2021-07-01 00:50:00,4904.0
2021-07-01 00:51:00,4898.0
2021-07-01 00:52:00,4876.0
2021-07-01 00:53:00,4905.0
2021-07-01 00:54:00,4874.0
2021-07-01 00:55:00,4886.0
2021-07-01 00:56:00,4883.0
2021-07-01 00:57:00,4875.0
2021-07-01 00:58:00,4882.0
2021-07-01 00:59:00,4867.0
2021-07-01 01:00:00,4875.0
2021-07-01 01:01:00,4860.0
2021-07-01 01:02:00,4853.0
2021-07-01 01:03:00,4844.0
2021-07-01 01:04:00,4846.0
2021-07-01 01:05:00,4830.0
2021-07-01 01:06:00,4842.0
2021-07-01 01:07:00,4865.0
2021-07-01 01:08:00,4826.0
2021-07-01 01:09:00,4807.0
2021-07-01 01:10:00,4810.0
2021-07-01 01:11:00,4827.0
2021-07-01 01:12:00,4842.0
2021-07-01 01:13:00,4850.0
2021-07-01 01:14:00,4848.0
2021-07-01 01:15:00,4898.0
2021-07-01 01:16:00,4903.0
2021-07-01 01:17:00,4893.0
2021-07-01 01:18:00,4957.0
2021-07-01 01:19:00,4981.0
2021-07-01 01:20:00,5009.0
2021-07-01 01:21:00,5049.0
2021-07-01 01:22:00,5110.0
2021-07-01 01:23:00,5084.0
2021-07-01 01:24:00,5202.0
2021-07-01 01:25:00,5339.0
2021-07-01 01:26:00,5402.0
2021-07-01 01:27:00,5423.0
2021-07-01 01:28:00,5424.0
2021-07-01 01:29:00,5438.0
2021-07-01 01:30:00,5460.0
