Time,Value
2021-07-01 00:00:00,1008.4
2021-07-01 01:00:00,1007.9
2021-07-01 02:00:00,1007.8
2021-07-01 03:00:00,1007.6
2021-07-01 04:00:00,1007.3
2021-07-01 05:00:00,1007.3
2021-07-01 06:00:00,1007.4
2021-07-01 07:00:00,1007.8
2021-07-01 08:00:00,1008.1
2021-07-01 09:00:00,1008.3
2021-07-01 10:00:00,1008.2
2021-07-01 11:00:00,1007.6
2021-07-01 12:00:00,1007.0
2021-07-01 13:00:00,1006.5
2021-07-01 14:00:00,1006.2
2021-07-01 15:00:00,1006.1
2021-07-01 16:00:00,1005.9
2021-07-01 17:00:00,1005.9
2021-07-01 18:00:00,1006.0
2021-07-01 19:00:00,1006.1
2021-07-01 20:00:00,1005.8
2021-07-01 21:00:00,1005.1
2021-07-01 22:00:00,1004.4
2021-07-01 23:00:00,1004.1
2021-07-02 00:00:00,1003.4
2021-07-02 01:00:00,1002.8
2021-07-02 02:00:00,1002.1
2021-07-02 03:00:00,1001.4
2021-07-02 04:00:00,1000.9
2021-07-02 05:00:00,1000.7
2021-07-02 06:00:00,1000.5
2021-07-02 07:00:00,1000.5
2021-07-02 08:00:00,1000.2
2021-07-02 09:00:00,999.7
2021-07-02 10:00:00,999.2
2021-07-02 11:00:00,998.6
2021-07-02 12:00:00,998.0
2021-07-02 13:00:00,997.5
2021-07-02 14:00:00,997.1
2021-07-02 15:00:00,997.0
2021-07-02 16:00:00,996.8
2021-07-02 17:00:00,996.9
2021-07-02 18:00:00,996.6
2021-07-02 19:00:00,996.2
2021-07-02 20:00:00,996.2
2021-07-02 21:00:00,995.9
2021-07-02 22:00:00,996.5
2021-07-02 23:00:00,996.7
2021-07-03 00:00:00,996.8
2021-07-03 01:00:00,996.6
2021-07-03 02:00:00,997.1
2021-07-03 03:00:00,997.5
2021-07-03 04:00:00,997.9
2021-07-03 05:00:00,998.4
2021-07-03 06:00:00,999.1
2021-07-03 07:00:00,999.8
2021-07-03 08:00:00,1000.4
2021-07-03 09:00:00,1000.9
2021-07-03 10:00:00,1001.5
2021-07-03 11:00:00,1001.3
2021-07-03 12:00:00,1000.7
2021-07-03 13:00:00,1000.5
2021-07-03 14:00:00,1000.5
2021-07-03 15:00:00,1000.5
2021-07-03 16:00:00,1000.5
2021-07-03 17:00:00,1000.6
2021-07-03 18:00:00,1000.8
2021-07-03 19:00:00,1001.0
2021-07-03 20:00:00,1000.9
2021-07-03 21:00:00,1000.9
2021-07-03 22:00:00,1000.6
2021-07-03 23:00:00,1000.2
2021-07-04 00:00:00,999.8
2021-07-04 01:00:00,999.7
2021-07-04 02:00:00,999.7
2021-07-04 03:00:00,999.4
2021-07-04 04:00:00,999.2
2021-07-04 05:00:00,999.1
2021-07-04 06:00:00,999.0
2021-07-04 07:00:00,998.7
2021-07-04 08:00:00,998.6
2021-07-04 09:00:00,998.9
2021-07-04 10:00:00,999.5
2021-07-04 11:00:00,999.4
2021-07-04 12:00:00,999.4
2021-07-04 13:00:00,999.4
2021-07-04 14:00:00,999.9
2021-07-04 15:00:00,1000.4
2021-07-04 16:00:00,1001.3
2021-07-04 17:00:00,1001.8
2021-07-04 18:00:00,1002.8
2021-07-04 19:00:00,1003.6
2021-07-04 20:00:00,1004.5
2021-07-04 21:00:00,1005.2
2021-07-04 22:00:00,1005.4
2021-07-04 23:00:00,1005.6
2021-07-05 00:00:00,1005.7
2021-07-05 01:00:00,1005.9
2021-07-05 02:00:00,1006.3
2021-07-05 03:00:00,1006.5
2021-07-05 04:00:00,1007.0
2021-07-05 05:00:00,1006.9
2021-07-05 06:00:00,1007.4
2021-07-05 07:00:00,1007.6
2021-07-05 08:00:00,1007.9
2021-07-05 09:00:00,1008.5
2021-07-05 10:00:00,1008.9
2021-07-05 11:00:00,1008.4
2021-07-05 12:00:00,1007.8
2021-07-05 13:00:00,1007.4
2021-07-05 14:00:00,1007.2
2021-07-05 15:00:00,1007.4
2021-07-05 16:00:00,1007.4
2021-07-05 17:00:00,1007.4
2021-07-05 18:00:00,1007.3
2021-07-05 19:00:00,1007.8
2021-07-05 20:00:00,1007.8
2021-07-05 21:00:00,1007.8
