Time,Value
2021-07-01 00:00:00,12.705
2021-07-01 01:00:00,12.6067
2021-07-01 02:00:00,12.6233
2021-07-01 03:00:00,12.6017
2021-07-01 04:00:00,12.5567
2021-07-01 05:00:00,12.5517
2021-07-01 06:00:00,12.6783
2021-07-01 07:00:00,12.575
2021-07-01 08:00:00,12.1583
2021-07-01 09:00:00,12.3083
2021-07-01 10:00:00,12.6133
2021-07-01 11:00:00,13.19
2021-07-01 12:00:00,12.8067
2021-07-01 13:00:00,13.3517
2021-07-01 14:00:00,13.1933
2021-07-01 15:00:00,12.6983
2021-07-01 16:00:00,12.3483
2021-07-01 17:00:00,11.77
2021-07-01 18:00:00,11.4783
2021-07-01 19:00:00,11.4783
2021-07-01 20:00:00,11.4267
2021-07-01 21:00:00,11.0667
2021-07-01 22:00:00,11.425
2021-07-01 23:00:00,11.395
2021-07-02 00:00:00,11.4867
2021-07-02 01:00:00,12.1383
2021-07-02 02:00:00,12.28
2021-07-02 03:00:00,12.3767
2021-07-02 04:00:00,12.1783
2021-07-02 05:00:00,12.165
2021-07-02 06:00:00,12.1767
2021-07-02 07:00:00,12.1783
2021-07-02 08:00:00,12.325
2021-07-02 09:00:00,12.7033
2021-07-02 10:00:00,13.12
2021-07-02 11:00:00,13.0767
2021-07-02 12:00:00,13.09
2021-07-02 13:00:00,11.2383
2021-07-02 14:00:00,11.3467
2021-07-02 15:00:00,11.36
2021-07-02 16:00:00,10.8733
2021-07-02 17:00:00,9.89667
2021-07-02 18:00:00,9.705
2021-07-02 19:00:00,9.19667
2021-07-02 20:00:00,9.13167
2021-07-02 21:00:00,9.10167
2021-07-02 22:00:00,8.80167
2021-07-02 23:00:00,8.59667
2021-07-03 00:00:00,7.84
2021-07-03 01:00:00,7.87
2021-07-03 02:00:00,7.57667
2021-07-03 03:00:00,7.395
2021-07-03 04:00:00,7.28833
2021-07-03 05:00:00,7.06667
2021-07-03 06:00:00,6.98667
2021-07-03 07:00:00,6.225
2021-07-03 08:00:00,7.06167
2021-07-03 09:00:00,9.08333
2021-07-03 10:00:00,10.0783
2021-07-03 11:00:00,9.42333
2021-07-03 12:00:00,10.5417
2021-07-03 13:00:00,10.1983
2021-07-03 14:00:00,10.13
2021-07-03 15:00:00,10.0183
2021-07-03 16:00:00,8.89
2021-07-03 17:00:00,8.20667
2021-07-03 18:00:00,7.77
2021-07-03 19:00:00,7.57167
2021-07-03 20:00:00,7.35
2021-07-03 21:00:00,7.175
2021-07-03 22:00:00,6.735
2021-07-03 23:00:00,6.14833
2021-07-04 00:00:00,5.81333
2021-07-04 01:00:00,5.58167
2021-07-04 02:00:00,5.98667
2021-07-04 03:00:00,6.74333
2021-07-04 04:00:00,6.575
2021-07-04 05:00:00,6.42833
2021-07-04 06:00:00,6.15333
2021-07-04 07:00:00,6.54167
2021-07-04 08:00:00,7.07
2021-07-04 09:00:00,7.09
