Time,Value
2021-07-01 00:00:00,356.45
2021-07-01 00:01:00,356.13
2021-07-01 00:02:00,358.6
2021-07-01 00:03:00,358.3
2021-07-01 00:04:00,1.62
2021-07-01 00:05:00,358.37
2021-07-01 00:06:00,358.43
2021-07-01 00:07:00,358.0
2021-07-01 00:08:00,356.73
2021-07-01 00:09:00,357.57
2021-07-01 00:10:00,358.67
2021-07-01 00:11:00,359.12
2021-07-01 00:12:00,357.03
2021-07-01 00:13:00,356.53
2021-07-01 00:14:00,358.43
2021-07-01 00:15:00,357.48
2021-07-01 00:16:00,357.62
2021-07-01 00:17:00,0.83
2021-07-01 00:18:00,357.85
2021-07-01 00:19:00,358.3
2021-07-01 00:20:00,357.6
2021-07-01 00:21:00,359.55
2021-07-01 00:22:00,358.22
2021-07-01 00:23:00,0.15
2021-07-01 00:24:00,357.78
2021-07-01 00:25:00,358.73
2021-07-01 00:26:00,357.63
2021-07-01 00:27:00,357.72
2021-07-01 00:28:00,358.1
2021-07-01 00:29:00,357.8
2021-07-01 00:30:00,357.95
2021-07-01 00:31:00,359.73
2021-07-01 00:32:00,359.45
2021-07-01 00:33:00,1.8
2021-07-01 00:34:00,359.6
2021-07-01 00:35:00,2.8
2021-07-01 00:36:00,359.22
2021-07-01 00:37:00,2.22
2021-07-01 00:38:00,2.72
2021-07-01 00:39:00,2.65
2021-07-01 00:40:00,5.47
2021-07-01 00:41:00,5.6
2021-07-01 00:42:00,3.45
2021-07-01 00:43:00,4.87
2021-07-01 00:44:00,5.0
2021-07-01 00:45:00,6.17
2021-07-01 00:46:00,4.45
2021-07-01 00:47:00,4.48
2021-07-01 00:48:00,3.98
2021-07-01 00:49:00,4.2
2021-07-01 00:50:00,6.42
2021-07-01 00:51:00,3.52
2021-07-01 00:52:00,2.77
2021-07-01 00:53:00,1.2
2021-07-01 00:54:00,3.85
2021-07-01 00:55:00,3.42
2021-07-01 00:56:00,0.72
2021-07-01 00:57:00,1.27
2021-07-01 00:58:00,359.37
2021-07-01 00:59:00,3.77
2021-07-01 01:00:00,3.92
2021-07-01 01:01:00,0.63
2021-07-01 01:02:00,358.95
2021-07-01 01:03:00,3.92
2021-07-01 01:04:00,0.18
2021-07-01 01:05:00,0.62
2021-07-01 01:06:00,1.28
2021-07-01 01:07:00,1.05
2021-07-01 01:08:00,358.75
2021-07-01 01:09:00,1.03
2021-07-01 01:10:00,357.77
2021-07-01 01:11:00,356.85
2021-07-01 01:12:00,2.97
2021-07-01 01:13:00,359.4
2021-07-01 01:14:00,359.67
2021-07-01 01:15:00,359.23
2021-07-01 01:16:00,359.53
2021-07-01 01:17:00,357.78
2021-07-01 01:18:00,357.97
2021-07-01 01:19:00,0.62
